"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"portal-software","Portal Software, Inc.","company","ISP-billing-software","acquired","Oracle (2006)","1985-2006","portal-99-fe5656","20863 Stevens Creek Blvd, Cupertino CA 95014; (408) 343-4400; www.portal.com; IPO May 6 1999 NASDAQ: PRSF"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2001)","1988-2014","portal-99-fe5656","Author of profile"
"solect","Solect","company","ISP-billing-software","dissolved","unknown","unknown","portal-99-fe5656","Toronto-based; targeted smaller ISPs up to 30K subscribers; single-server limitation"
"kenan-systems","Kenan Systems (EC/Arbor)","company","telecom-billing-software","acquired","Lucent Technologies (1999)","1982-1999","portal-99-fe5656","Acquired by Lucent; extending to Energy/Utilities; traditional telecom focus"
"hewlett-packard","Hewlett-Packard","company","IT-hardware-software","split","HP Inc./HPE (2015)","1939-2015","portal-99-fe5656","Joint marketing and Infranet scalability demos"
"sun-microsystems","Sun Microsystems","company","IT-hardware-software","acquired","Oracle (2010)","1982-2010","portal-99-fe5656","Joint marketing and Infranet scalability demos on Unix"
"compaq","Compaq","company","IT-hardware","dissolved","HP (2002)","1982-2002","portal-99-fe5656","Joint marketing and Infranet scalability demos on NT"
"cisco","Cisco Systems","company","networking","active","","1984-present","portal-99-fe5656","Portal partnership for metered billing with Cisco Netflow technology"
"microsoft","Microsoft","company","software","active","","1975-present","portal-99-fe5656","Tight integration: NT Server, SQL Server 7, MCIS"
"oracle","Oracle","company","enterprise-software","active","","1977-present","portal-99-fe5656","Business Alliance Partner; actively co-markets with Portal"
"andersen-consulting","Andersen Consulting (Accenture)","firm","IT-consulting","active","Accenture","1989-present","portal-99-fe5656","System integrator partner for Portal Infranet implementations"
"pricewaterhousecoopers","PriceWaterhouseCoopers","firm","IT-consulting","active","","1998-present","portal-99-fe5656","System integrator partner for Portal Infranet"
"compuserve","CompuServe","company","internet-services","acquired","AOL (1998)","1969-2009","portal-99-fe5656","World-class ISP using Infranet"
"sprint","Sprint","company","telecommunications","merged","T-Mobile (2020)","1899-2020","portal-99-fe5656","Sprint's Internet Passport service uses Infranet"
"france-telecom","France Telecom Interactive","company","telecommunications","active","Orange","1988-present","portal-99-fe5656","Overseas Infranet customer"
"juno-online","Juno Online Services","company","internet-services","acquired","United Online (merged 2001)","unknown","portal-99-fe5656","Fast-growing ISP with national aspirations; uses Infranet"
"verisign","VeriSign","company","internet-security","active","","1995-present","portal-99-fe5656","Digital authentication leader; chose Infranet"
"vocaltec","VocalTec","company","IP-telephony","acquired","Acquired by MagicJack VTX 2010","unknown","portal-99-fe5656","IP telephony partner; Portal-VocalTec relationship for metered billing"
"john-little","John Little","person","software","unknown","","unknown","portal-99-fe5656","CEO and founder of Portal Software; founded 1985"
