"theme","1980s","1990s","2000s","TOTAL"
"databases-and-middleware","6","30","2","38"
"emerging-tech","0","5","7","12"
"enterprise-servers-and-architecture","6","27","8","41"
"fault-tolerant-and-high-availability","0","9","0","9"
"it-spend-and-market-outlook","0","3","5","8"
"mobile-and-wireless","0","0","7","7"
"networking-and-comms","0","0","4","4"
"os-and-platforms","4","15","3","22"
"pcs-and-clients","4","15","20","39"
"security","0","0","4","4"
"storage","0","0","3","3"
"vendor-strategy-and-ma","4","33","6","43"
"TOTAL","24","137","69","230"
