"code_id","code_type","label","definition"
"ot-stat","observation_type","statistic","A quantitative measurement or percentage derived from survey data or benchmark analysis"
"ot-kpi","observation_type","key-performance-indicator","A named metric used to evaluate organizational performance against benchmarks"
"ot-surv","observation_type","survey-finding","A finding or data point derived from primary survey research"
"ot-pred","observation_type","prediction","A forward-looking forecast or projection about future trends or adoption rates"
"ot-rank","observation_type","ranking","An ordered comparison or prioritized list of items by measured criteria"
"ot-expt","observation_type","expert-opinion","An interpretive or analytical statement by the study author or research team"
"ot-mrkt","observation_type","market-data","Quantitative data about market size, scope, or industry participation"
"ot-frmk","observation_type","framework","A conceptual model, research framework, or analytical classification scheme"
"ot-tech","observation_type","technology-assessment","An evaluation of a technology's maturity, adoption, or strategic positioning"
"mc-bench","methodology_code","benchmarking","Comparative analysis against defined performance standards or peer groups"
"mc-surv","methodology_code","survey-research","Primary data collection through structured questionnaires or polls"
"mc-anal","methodology_code","industry-analysis","Secondary analysis of market trends, competitive dynamics, and industry structure"
"mc-qual","methodology_code","qualitative-research","Interviews, focus groups, or case study methodology"
"cf-high","confidence","high","Strong evidentiary support from explicit data in the source; directly stated"
"cf-med","confidence","medium","Reasonable inference from source material; indirectly supported or partially stated"
"cf-low","confidence","low","Weak inference; extrapolated from limited or ambiguous source data"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
