"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"software-market-safegu~1-ea7453-OBS-001","software-market-safegu~1-ea7453","","","topic-insight","1995","Core thesis: software change velocity","Software is changing slower than hardware advances but faster than the typical company can assimilate change","high","expert-opinion","Title slide","OCR correction: ""chawgiwg""=changing, ""thhaw""=than, ""compawy""=company, ""assimilathe""=assimilate"
"software-market-safegu~1-ea7453-OBS-002","software-market-safegu~1-ea7453","microsoft","windows-95","viability-prediction","1995","Windows 95 market adoption","Windows 95 will gain rapid acceptance by 1996 after a rocky start","high","expert-opinion","Slide: Operating Systems",""
"software-market-safegu~1-ea7453-OBS-003","software-market-safegu~1-ea7453","microsoft","windows-95","actual-outcome","1996","Windows 95 market adoption — outcome","Confirmed — Windows 95 achieved massive adoption; became dominant consumer/business OS","verified","","","Windows 95 sold 40M copies in first year; widely considered rapid acceptance"
"software-market-safegu~1-ea7453-OBS-004","software-market-safegu~1-ea7453","microsoft","windows-nt","viability-prediction","1995","Windows NT enterprise ascendancy","NT Advanced Server sweeps up from workgroup toward enterprise; ISVs eyeing NT as next step","high","expert-opinion","Slide: Operating Systems","Predicted NT would challenge Unix server revenues"
"software-market-safegu~1-ea7453-OBS-005","software-market-safegu~1-ea7453","microsoft","windows-nt","actual-outcome","2000","Windows NT enterprise ascendancy — outcome","Confirmed — Windows NT (evolved to 2000/XP/Server) swept enterprise market by early 2000s","verified","","","NT/Windows 2000 did surpass Unix in server shipments by late 1990s"
"software-market-safegu~1-ea7453-OBS-006","software-market-safegu~1-ea7453","ibm","os2-warp","viability-prediction","1995","OS/2 Warp recovery potential","IBM OS/2 Warp missed the window. Can never recover.","high","expert-opinion","Slide: Operating Systems","Strong declarative prediction; no hedging"
"software-market-safegu~1-ea7453-OBS-007","software-market-safegu~1-ea7453","ibm","os2-warp","actual-outcome","2001","OS/2 Warp recovery — outcome","Not confirmed — OS/2 Warp never recovered; IBM discontinued OS/2 in 2001","verified","","","IBM ended mainstream OS/2 support in 1996; product discontinued 2006"
"software-market-safegu~1-ea7453-OBS-008","software-market-safegu~1-ea7453","","unix","competitive-position","1995","UNIX market status","Mature market; variants capable of single enterprise-size applications","high","expert-opinion","Slide: Operating Systems",""
"software-market-safegu~1-ea7453-OBS-009","software-market-safegu~1-ea7453","ibm","mvs","trend-analysis","1995","Legacy proprietary OS relevance","Old proprietary OS (MVS, VMS) do not matter for new platform decisions","high","expert-opinion","Slide: Operating Systems","VMS also included"
"software-market-safegu~1-ea7453-OBS-010","software-market-safegu~1-ea7453","","rdbms","market-sizing","1995","RDBMS attach rate to Unix servers","9 RDBMS licenses for every 10 multiuser Unix servers sold","high","expert-opinion","Slide: Database Management Systems","Kastner estimate"
