"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-001","stratus-et1-tp1-tandem-dossier-1986-26871a","tandem-computers","tandem-nonstop-txp","market-data","1986","Tandem TXP price/performance claim","$49,300/tps (2 TXPs, 4 MIPS, 10 tps, $493,000 total)","high","competitive-circular","p.3","From Tandem-authored circular distributed to Minneapolis prospects"
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-002","stratus-et1-tp1-tandem-dossier-1986-26871a","stratus-computer","stratus-xa600","market-data","1986","Stratus XA600 price/performance claim (per Tandem)","$98,600/tps — 50% worse than Tandem TXP at same capacity, per Tandem circular","low","competitive-circular","p.3","Adversarial source; needs Stratus rebuttal via configuration parity"
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-003","stratus-et1-tp1-tandem-dossier-1986-26871a","bill-ojile","debitcredit-et1-tp1","expert-opinion","1986","ET-1 vs TP-1 benchmark difficulty","The ET-1 benchmark is about 2 times as easy as TP-1","medium","internal-correspondence","p.2","Jan 14 1986 memo to Kastner; foreshadows TPC-A formalization 1989"
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-004","stratus-et1-tp1-tandem-dossier-1986-26871a","bill-ojile","","personal-recollection","1985","Ojile cover letter context","Handwritten Jan 2 1985 letter from Ojile (Stratus Minneapolis) transmitting Tandem competitive piece to Stratus colleague for rebuttal prep","high","internal-correspondence","p.2",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-005","stratus-et1-tp1-tandem-dossier-1986-26871a","tandem-computers","tandem-nonstop-ii","market-data","1986","NonStop II benchmark numbers","1.75 tps ET-1; 0.8 MIPS per processor","high","competitive-circular","p.3",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-006","stratus-et1-tp1-tandem-dossier-1986-26871a","stratus-computer","stratus-xa400","market-data","1986","XA400 benchmark","3.4 TP-1 tps; 2 MIPS","high","competitive-circular","p.3",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-007","stratus-et1-tp1-tandem-dossier-1986-26871a","stratus-computer","stratus-ft200-250","market-data","1986","FT200/FT250 benchmark","1.7 TP-1 tps; 0.7 MIPS","high","competitive-circular","p.3",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-008","stratus-et1-tp1-tandem-dossier-1986-26871a","management-information-corp","stratus-xa600","market-data","1986","MIC pricing source","Stratus configurations priced from May 1985 Management Information Corporation report","medium","competitive-circular","p.3",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-009","stratus-et1-tp1-tandem-dossier-1986-26871a","data-decisions","tandem-nonstop-txp","market-data","1986","Data Decisions pricing source","Tandem pricing from December 1984 Data Decisions report","medium","competitive-circular","p.3",""
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-010","stratus-et1-tp1-tandem-dossier-1986-26871a","tandem-computers","stratus-xa600","expert-opinion","1986","Tandem 20-tps incremental cost claim","Stratus must add another processing module at ~$280,000 to reach 10 tps granted linearity","low","competitive-circular","p.3","Adversarial source — actual Stratus linearity was debated"
"stratus-et1-tp1-tandem-dossier-1986-26871a-OBS-011","stratus-et1-tp1-tandem-dossier-1986-26871a","peter-s-kastner","debitcredit-et1-tp1","personal-recollection","1986","Kastner role as competitive-intel compiler","Kastner received Ojile correspondence and Tandem circular; served as Stratus's central competitive-intel node feeding the 1987 Sales Support newsletter","high","archival-inference","provenance","Precedes May 1987 'Stratus Sales Support Competitive News' edited by Kastner"
