"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-001","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","stratus-32","viability-prediction","1981","Hardware costs will continue to fall","Ad asserts hardware-component cost trajectory continues downward while software/people costs rise","high","ingest-extraction","competitive-positioning","p.1","Validated over 40+ years by Moore's Law and salary inflation",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-002","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","hardware-fault-tolerance","expert-opinion","1981","Hardware FT vs software FT positioning","Software FT 'robs' system resources via checkpointing at 4 levels (OS, user, file, terminal); hardware FT eliminates this burden","medium","ingest-extraction","competitive-positioning","p.1","",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-003","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","stratus-32","market-data","1981","Stratus/32 entry price","$130,000 fully-duplexed, 2MB memory, peripherals, and software included","high","ingest-extraction","advertised-pricing","p.1","",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-004","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","stratus-processing-module","market-data","1981","Stratus/32 scalability","1 to 32 Processing Modules per local system; hot-add while processing","high","ingest-extraction","advertised-specs","p.1","",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-005","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","vos","expert-opinion","1981","Stratus VOS feature set","VOS with DMS, CRT command language, COBOL, Basic, PL/1, X.25 networking, IBM communications, full-screen editor, symbolic debugger, word processing","high","ingest-extraction","advertised-specs","p.1","",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-006","stratus-fault-tolerant-revolution-ad-198-797e0e","tandem-computers","software-fault-tolerance","expert-opinion","1981","Tandem SW FT developer complexity","Analyst/programmer works with two computer systems; risk of checkpointing too often destroying performance","medium","ingest-extraction","competitive-positioning","p.1","Kastner-era Stratus positioning vs Tandem",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-007","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","hardware-fault-tolerance","framework-component","1981","Stratus hardware checking logic benefits","3 benefits: (1) prevent fault contamination, (2) eliminate complex recovery software, (3) reduce repair time via failed-component pinpointing","high","ingest-extraction","marketing-claim","p.1","",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-008","stratus-fault-tolerant-revolution-ad-198-797e0e","stratus-computer","stratus-32","market-data","1981","Stratus contact HQ","17 Strathmore Road, Natick MA 01760; HQ marketing 617-653-1466 ext. 32","high","ingest-extraction","advertised-contact","p.1","Natick MA was Stratus founding HQ",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-009","stratus-fault-tolerant-revolution-ad-198-797e0e","peter-s-kastner","stratus-32","personal-recollection","1981","Kastner Stratus marketing era","Ad dates to Kastner's Stratus Computer marketing tenure (early 1980s)","medium","ingest-extraction","employer-record-inference","filename","Kastner held marketing/management positions at Stratus per 1988 Aberdeen PR",""
"stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-010","stratus-fault-tolerant-revolution-ad-198-797e0e","computerworld","","market-data","1981","Computerworld as launch venue","Ad appears in Computerworld — the dominant IT trade weekly in 1981","high","ingest-extraction","publication-metadata","p.1","",""
