"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","market-research","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-2019","nvidia-personal-cinema-lab-report-2002",""
"nvidia","NVIDIA Corporation","company","semiconductor","active","","1993-present","nvidia-personal-cinema-lab-report-2002","Report addressee"
"compro-technology","Compro Technology","company","PC-peripheral","active","","1988-present","nvidia-personal-cinema-lab-report-2002","Card OEM for Personal Cinema kit"
"ati-technologies","ATI Technologies","company","semiconductor","acquired","amd","1985-2006","nvidia-personal-cinema-lab-report-2002","Existing card uninstalled"
"dell","Dell","company","PC-manufacturing","active","","1984-present","nvidia-personal-cinema-lab-report-2002","Dell 8100 lab PC"
"microsoft","Microsoft","company","software","active","","1975-present","nvidia-personal-cinema-lab-report-2002",""
"sony","Sony","company","consumer-electronics","active","","1946-present","nvidia-personal-cinema-lab-report-2002","TR65 camcorder"
"turtle-beach","Turtle Beach","company","audio-peripheral","active","","1985-present","nvidia-personal-cinema-lab-report-2002","Santa Cruz audio card"
"scientific-atlanta","Scientific Atlanta","company","broadcast-equipment","acquired","cisco-systems","1951-2005","nvidia-personal-cinema-lab-report-2002","Digital set-top box"
"att-broadband","AT&T Broadband","company","telecommunications","acquired","comcast","1998-2002","nvidia-personal-cinema-lab-report-2002","STB provider"
"intervideo","InterVideo","company","software","acquired","corel","1993-2006","nvidia-personal-cinema-lab-report-2002","WinDVD/WinDVR vendor"
"philips","Royal Philips","company","consumer-electronics","active","","1891-present","nvidia-personal-cinema-lab-report-2002","Teletext app"
