"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"topic-iia-pc-management-best-practices-2003-10-OBS-001","topic-iia-pc-management-best-practices-2003-10","iia-research-foundation","","market-data","2003","survey-n","221 responses as of 2003-07-16","high","ingest-extraction","survey","app-A","GAIN flash survey",""
"topic-iia-pc-management-best-practices-2003-10-OBS-002","topic-iia-pc-management-best-practices-2003-10","iia-research-foundation","","market-data","2003","forum-date","2003-07-24 through 2003-07-25","high","ingest-extraction","direct-observation","app-B","Technology Audit Forum",""
"topic-iia-pc-management-best-practices-2003-10-OBS-003","topic-iia-pc-management-best-practices-2003-10","peter-kastner","pc-tco","expert-opinion","2003","tco-per-seat-usd","8000-9000 TCO per system typical enterprise","high","ingest-extraction","aberdeen-research","ch-1","Via Kastner keynote",""
"topic-iia-pc-management-best-practices-2003-10-OBS-004","topic-iia-pc-management-best-practices-2003-10","peter-kastner","pc-tco","expert-opinion","2003","tco-reduction-pct","20-25% cost reduction from PC best practices","high","ingest-extraction","aberdeen-research","ch-1","Via Kastner keynote",""
"topic-iia-pc-management-best-practices-2003-10-OBS-005","topic-iia-pc-management-best-practices-2003-10","peter-kastner","pc-tco","expert-opinion","2003","tco-operational-share","70-80% of PC TCO in operations; only 20-30% in acquisition/deployment","high","ingest-extraction","aberdeen-research","ch-7","Kastner keynote",""
"topic-iia-pc-management-best-practices-2003-10-OBS-006","topic-iia-pc-management-best-practices-2003-10","peter-kastner","","expert-opinion","2003","cost-per-user-savings","$4000 per user annual savings (~50% reduction) from automated PC mgmt tools","high","ingest-extraction","aberdeen-research","ch-7","Per Aberdeen",""
"topic-iia-pc-management-best-practices-2003-10-OBS-007","topic-iia-pc-management-best-practices-2003-10","microsoft","windows-95","market-data","2003","outdated-os-installed-base","40 million+ desktops running outdated operating systems","high","ingest-extraction","aberdeen-research","ch-6","Kastner cited",""
"topic-iia-pc-management-best-practices-2003-10-OBS-008","topic-iia-pc-management-best-practices-2003-10","microsoft","windows-98","market-data","2003","eol-year","Microsoft ending Windows 98 support in 2003","high","ingest-extraction","editorial","ch-6","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-009","topic-iia-pc-management-best-practices-2003-10","microsoft","windows-nt-4","market-data","2003","eol-year","Microsoft ending Windows NT 4.0 support in 2003","high","ingest-extraction","editorial","ch-6","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-010","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","security-policy-coverage","93% respondents have overall security policy for PCs","high","ingest-extraction","survey","app-A","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-011","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","tight-control-rate","only 33% considered policies/practices tightly controlled","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-012","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","virus-best-practice-rate","less than 30% believed organization employed virus-protection best practices","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-013","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","wireless-cost-analysis-rate","only 21% had performed wireless cost analysis","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-014","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","wireless-policy-rate","only 30% addressed wireless in PC policy/procedures","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-015","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","auto-patch-rate","only 58% automatically deliver software patches","high","ingest-extraction","survey","ch-6","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-016","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","ad-hoc-patch-rate","85% deliver patches as needed rather than on fixed schedule","high","ingest-extraction","survey","ch-6","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-017","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","risk-assessment-pc-coverage","over 80% include PC in overall enterprise risk assessment","high","ingest-extraction","survey","ch-2","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-018","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","pc-risk-differentiation","approximately 50% differentiate PC risk by applications/processes","high","ingest-extraction","survey","ch-2","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-019","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","refresh-cycle","more than 50% replace PCs 'as needed' or on 4+ year cycle","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-020","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","os-upgrade-criteria","32% replace OS 'as needed'; 54% have no OS upgrade criteria","high","ingest-extraction","survey","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-021","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","backup-central-rate","40% back up PC data in central location","high","ingest-extraction","survey","ch-5","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-022","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","full-image-backup-rate","47% have full image backed up for PC recovery","high","ingest-extraction","survey","ch-5","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-023","topic-iia-pc-management-best-practices-2003-10","iia","gain-survey","market-data","2003","standards-enforcement-rate","92% have controls to enforce corporate standards; only 8% tightly enforced","high","ingest-extraction","survey","ch-3","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-024","topic-iia-pc-management-best-practices-2003-10","cert-cc","","market-data","2003","incident-count-h1","76,404 security incidents reported first half 2003 (vs 82,094 total 2002)","high","ingest-extraction","industry-data","ch-4","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-025","topic-iia-pc-management-best-practices-2003-10","cert-cc","","market-data","2002","incident-yoy-growth","56% increase 2001 to 2002","high","ingest-extraction","industry-data","ch-4","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-026","topic-iia-pc-management-best-practices-2003-10","cert-cc","","viability-prediction","2003","projected-yoy-growth","86% increase 2002 to 2003 if pace continues","high","ingest-extraction","editorial","ch-4","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-027","topic-iia-pc-management-best-practices-2003-10","fbi","","market-data","2003","breach-detection-rate","90% of FBI/CSI respondents detected computer security breaches in past year","high","ingest-extraction","industry-data","ch-4","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-028","topic-iia-pc-management-best-practices-2003-10","aicpa","","market-data","2003","top-technology-issue","Information Security #1 issue in AICPA 2003 Top Technologies survey","high","ingest-extraction","industry-data","ch-4","Was #1 in 2001, #3 in 2002",""
"topic-iia-pc-management-best-practices-2003-10-OBS-029","topic-iia-pc-management-best-practices-2003-10","","patch-management","expert-opinion","2003","attack-vector-share","approximately 90% of digital attacks target known vulnerabilities","high","ingest-extraction","industry-estimate","ch-4","Security-analyst consensus",""
"topic-iia-pc-management-best-practices-2003-10-OBS-030","topic-iia-pc-management-best-practices-2003-10","giga-information-group","standard-pc-image","expert-opinion","2003","image-standardization-savings","standardizing on 4-6 application configs = 15-25% IT cost reduction (~$1600/system)","high","ingest-extraction","giga-research","ch-6","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-031","topic-iia-pc-management-best-practices-2003-10","giga-information-group","pc-asset-management","expert-opinion","2003","single-tool-savings","consolidating client management tools reduces support costs 30%+","high","ingest-extraction","giga-research","ch-7","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-032","topic-iia-pc-management-best-practices-2003-10","","sarbanes-oxley","market-data","2003","fortune-1000-compliance-spend","Fortune 1000 to spend $2.5B on initial SOA compliance; 85% making IT systems changes","high","ingest-extraction","industry-data","ch-3","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-033","topic-iia-pc-management-best-practices-2003-10","peter-kastner","standard-pc-image","expert-opinion","2003","top-3-roi-practices","Aberdeen 2003 top-3 PC mgmt ROI best practices includes standard images + software distribution (2 of top 3)","high","ingest-extraction","aberdeen-research","ch-6","Kastner research",""
"topic-iia-pc-management-best-practices-2003-10-OBS-034","topic-iia-pc-management-best-practices-2003-10","coso","coso-icif","topic-insight","2003","organizing-framework","report organizes survey and chapters around COSO Internal Control Integrated Framework","high","ingest-extraction","direct-observation","ch-1","",""
"topic-iia-pc-management-best-practices-2003-10-OBS-035","topic-iia-pc-management-best-practices-2003-10","iia","sac-model","topic-insight","2003","sac-lineage","continuation of 1990, 1993, 2001 Systems Assurance and Control projects","high","ingest-extraction","direct-observation","about-authors","",""
