"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Aberdeen Group co-founder, VP/EVP/CRO; prior: PHI, Wang, ADL, Prime, Stratus, DEC"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spiceworks Ziff Davis","1988-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Boston-based IT research firm"
"susan-l-irving","Susan L. Irving","person","IT-analyst","active","","1990s-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Aberdeen Group senior analyst, Professional Services Research; co-author with PSK of 1997 Y2K Computerworld lead article"
"john-r-logan","John R. Logan","person","IT-analyst","active","","1980s-2000s","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Aberdeen Group VP (1991) then President (1997); presenter and author"
"computerworld","Computerworld","publication","trade-press","active","IDG","1967-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Major IT weekly; 1997 Y2K Solutions Series Custom Publication"
"hewlett-packard","Hewlett-Packard Company","company","computer-systems","split","Split into HPE + HP Inc. 2015","1939-2015","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Y2K 1997 advertorial co-sponsor; 'Capitalize on chaos' tagline"
"data-dimensions-inc","Data Dimensions, Inc.","company","Y2K-services","defunct","Acquired 2000s","1968-2000s","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Bellevue WA Y2K specialist; 1997 CW advertorial advertiser (Ardes 2k)"
"ms-millennium","MS Millennium","company","Y2K-services","defunct","Subsidiary of Matlen Silver Group","1990s-2000s","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Somerset NJ Y2K conversion firm; 1997 CW advertorial advertiser (MSM/2000)"
"bjs-wholesale-club","BJ's Wholesale Club, Inc.","company","retail","active","","1984-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Cited Y2K 1997 piece — outsourced mainframe Y2K work"
"datapro-information-services","Datapro Information Services Co.","firm","IT-research","defunct","Absorbed by Gartner late 1990s","1972-1990s","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Delran NJ; cited 1997 Y2K piece — solved by client/server modernization"
"united-stationers-supply","United Stationers Supply Co., Inc.","company","wholesale-distribution","active","Now Essendant","1922-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","Des Plaines IL; cited 1997 Y2K piece"
"fasb","Financial Accounting Standards Board (FASB)","regulatory-body","accounting","active","","1973-present","y2k-computerworld-aberdeen-psk-irving-19-5bcd20","U.S. GAAP standard-setter; cited in 1997 Aberdeen Y2K Best-Practice piece"
