"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-001","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng","market-data","1997","Unicenter TNG annual revenue run rate FY1997","$1 billion annual run rate (industry-leading)","high","industry-analysis","Preface","Kastner compares this to 'Microsoft's heralded NT Server' financial success; 7,000+ customers, 200+ ISV partners, 37 OS platforms."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-002","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng","market-data","1997","Unicenter TNG customer count","7,000+ customers","high","industry-analysis","Executive Summary","Supporting 200+ ISV partners and products running on 37 different operating system platforms."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-003","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","technology-assessment","1997","Framework installation time","10 minutes to install on NT server and discover all enterprise devices (Aberdeen's own installation)","high","product-profiling","Preface / Executive Summary","Aberdeen Group installed Framework on its own NT server, discovering desktops, hubs, routers, internet gateways, and recently installed Network Computers in 10 minutes."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-004","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","framework-factor","1997","Framework Function 1 - Auto Discovery","Identifies all network devices including IP devices for virtual network connections","high","product-profiling","Table 1: Framework Features and Functions","Automatic network discovery without manual configuration; key differentiator vs. Tivoli TME's manual approach."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-005","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","framework-factor","1997","Framework Function 2 - Object Repository","Library of all collected device information including version, release category, planning/upgrade/expansion properties","high","product-profiling","Table 1: Framework Features and Functions","Kastner calls the repository 'an under-appreciated storehouse of network asset and management process information.'"
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-006","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","3d-vr-interface","framework-factor","1997","Framework Function 3 - 2D/3D Mapping","2D geographic topology maps + 3D virtual-reality floor plan maps showing physical device locations within buildings","high","product-profiling","Table 1: Framework Features and Functions","3D mapping was industry-first graphical enterprise management feature; Aberdeen considered 'hands down, the best enterprise management user interface available anywhere.'"
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-007","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","framework-factor","1997","Framework Function 4 - Event Management","Stores policies/operational thresholds; flags unusual conditions; updates repository as configurations change; periodic virus scanning","high","product-profiling","Table 1: Framework Features and Functions","Enables proactive management; example: 'log full' condition monitoring across multiple servers to single console."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-008","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","framework-factor","1997","Framework Function 5 - Scheduling","Calendar-based job scheduling for cross-platform automated operations","high","product-profiling","Table 1: Framework Features and Functions","Kastner cites scheduling as one of Unicenter's 'renowned' capabilities integrated into the Framework."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-009","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","framework-factor","1997","Framework Function 6 - Virus Scanning","Active server-based scanning at email/attachment entry point; monitors shared folders","high","product-profiling","Table 1: Framework Features and Functions","Anti-virus built into base Framework; unusual to include in 1997 enterprise management baseline."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-010","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","strategy-classification","1997","CA Framework distribution strategy","Razor/razor-blade model: give away Framework (razor) with server hardware; sell Unicenter TNG upgrades (razor blades) to mass market","high","competitive-profiling","Aberdeen Conclusions","Kastner's explicit 'razor and razor-blades' analogy; CA distributing 20,000 free CDs at CA World; nine hardware partners bundling Framework with servers."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-011","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","market-data","1997","Framework projected hardware distribution","More than 1.5 million copies of Framework to ship with systems in next year per CA estimates","medium","industry-analysis","CA CNET article context","CA estimates from CA World 97 conference; nine household-name server hardware partners committed to bundling."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-012","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","hewlett-packard","hp-openview","technology-assessment","1997","HP OpenView competitive status assessment","Serious competitor with large installed base but has 'clearly lost momentum'; HP has not decided whether to reinvigorate OpenView product development","high","competitive-profiling","Competitive Positioning","HP's own systems division endorsed Unicenter Framework as 'preferred' management platform, undermining HP OpenView."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-013","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","ibm","tivoli-tme","technology-assessment","1997","IBM Tivoli TME competitive assessment","CA's most obvious competitor; TME requires remote-network configuration estimates and 'days spent in network and asset evaluation' vs. CA's 10-minute Framework setup","high","competitive-profiling","Competitive Positioning","Aberdeen positions CA Framework's 10-minute install as major advantage over Tivoli's complex setup."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-014","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","sun-microsystems","","technology-assessment","1997","Sun Microsystems Solstice competitive assessment","Sun capably supports Solstice customers but 'more interested in partnering for future technology than building own new products'","medium","competitive-profiling","Competitive Positioning","Kastner sees Sun as declining competitor; Sun acquired by Oracle in 2010."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-015","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","openvision","","actual-outcome","1997","OpenVision Technologies fate (verified)","After difficult start-up phase, OpenVision sold earlier in 1997; acquired by Veritas Software","verified","document-review","Competitive Positioning / post-publication research","Kastner reports OpenVision's sale as example of competitor consolidation; acquired by Veritas Software 1997."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-016","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","viability-prediction","1997","Framework de facto standard prediction","Framework will become de facto enterprise management standard; Unicenter TNG will earn industry leadership position and competitors' respect","high","competitive-profiling","Executive Summary / Conclusions","Aberdeen positions Framework as 'enterprise management entry-level user choice and de facto ISV platform choice.'"
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-017","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","actual-outcome","2005","Framework de facto standard actual outcome","CA revenues grew to $6.1B by 2000; Unicenter reached one-quarter of overall revenue; however CA faced major accounting fraud scandal 2004-2006; HP OpenView not permanently displaced; Tivoli remained competitive; CA acquired by Broadcom 2018 for $18.9B","verified","document-review","Post-publication research","Source: NYT April 2001; CA Wikipedia; Broadcom acquisition 2018. CA achieved growth but accounting scandal undermined market leadership; Unicenter did not become de facto standard."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-018","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng","viability-prediction","1997","Competitive consolidation prediction from Framework strategy","Framework's aggressive merchandising will result in competitive consolidation; fewer but stronger choices will make IT and ISV decision-making easier","medium","industry-analysis","Executive Summary","Kastner predicts market consolidation around CA/Unicenter and one or two others."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-019","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng","actual-outcome","2010","Enterprise management competitive consolidation actual outcome","Market consolidated but around IBM Tivoli, HP Operations Manager (OpenView successor), and CA; Microsoft also entered with SCOM; open-source Nagios/Prometheus disrupted by 2010","verified","document-review","Post-publication research","Consolidation occurred but CA did not achieve the dominant position Kastner predicted; IBM Tivoli remained stronger than Aberdeen suggested."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-020","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","expert-opinion","1997","IS administrator target audience for Framework","Those deploying distributed systems at 1000 bank branches will 'cry for joy' at Framework's easy installation and self-discovery","high","field-research","Aberdeen Conclusions","Kastner uses vivid language; specifically calls out multi-branch financial services as ideal Framework use case."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-021","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng","market-data","1997","CA company size and position at time of study","Third-largest independent software company; $4B+ annual revenue; revenues grew from ~$1.2B to $4B in seven years","high","industry-analysis","CA CNET 1997 article context","Source: CNET July 1997 'CA ascends to big leagues': 'catapulted itself to the position of third-largest independent software company in the world.'"
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-022","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","sap-ag","unicenter-tng-framework","strategy-classification","1997","SAP AG as Framework ISV partner","CA actively lining up SAP AG to use Framework as application management base","medium","competitive-profiling","Executive Summary","SAP R/3 management was an optional Unicenter TNG Advanced Option; Framework partnership would extend SAP management capabilities to ISV ecosystem."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-023","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","unicenter-tng-framework","benchmark-result","1997","Framework discovery speed advantage vs. Tivoli","CA Framework enables typical IS administrators to configure enterprise management in minutes from CD; vs. Tivoli's days for network and asset evaluation","high","competitive-profiling","Competitive Positioning","Aberdeen's own 10-minute installation confirms this benchmark claim."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-024","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","digital-equipment-corporation","unicenter-tng","strategy-classification","1997","CA acquisition of DEC Polycenter products","CA acquired Digital Equipment's Polycenter management products and tightly integrated them with CA management console","high","competitive-profiling","Competitive Positioning","DEC Polycenter integration demonstrated CA's commitment to maintaining market leadership through acquisition strategy."
"1997-ca-s-unicenter-tng-framework-pk-apr-50d15f-OBS-025","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","computer-associates-international","windows-nt-server","market-data","1997","CA total annual revenue at time of announcement","$4+ billion annual revenue (Unicenter TNG at $1B run rate = ~25% of total)","high","industry-analysis","Preface","Kastner notes Unicenter TNG revenues grew to $1B in 3 years — 'a fast start on the same financial order of success as Microsoft's heralded NT Server.'"
