"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-001","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","strategy-classification","1997","Cabletron core competency","Leader in LAN switch, VLAN, and network management technologies since 1990; invested in VLAN technology before the market recognized its importance","high","competitive-profiling","Executive Overview","Aberdeen documents Cabletron's technical leadership that predated widespread market recognition."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-002","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","strategy-classification","1997","Cabletron perception problem","Outside Fortune 500, regarded as just another hub manufacturer; few know of technical leadership record; 'suffers twice' when market catches up to its vision","high","competitive-profiling","Perception Problems Become Management Priority","Aberdeen's central thesis: Cabletron's technical excellence was systematically under-communicated."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-003","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","market-data","1997","Cabletron R&D investment rate","11% of revenue reinvested in R&D; over 1,200 engineers employed","high","competitive-profiling","Acquisition Strategy","Aberdeen cites these figures to explain Cabletron's organic development capability."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-004","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","market-data","1997","Cabletron geographic revenue distribution","Over 70% of revenue from U.S. market; World/One program designed to expand internationally","high","competitive-profiling","Marketing and Channels Strategy - World/One","Key strategic weakness: over-concentration in U.S. Fortune 500 market."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-005","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","spectrum-network-mgmt","strategy-classification","1997","Spectrum network management position","Market-leading network management platform; Inductive Modeling Technology (IMT); object-oriented distributed client/server; manages from simple devices to multivendor enterprise systems","high","product-profiling","Spectrum for Open Systems","Aberdeen confirms Spectrum as a genuine market leader in enterprise network management."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-006","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","smartswitch-family","technology-assessment","1997","SmartSwitch forwarding performance","10 million packets per second forwarding rate; up to 16,000 MAC addresses; non-blocking switch fabric","high","product-profiling","The Product Lines - SmartSwitch Family","Competitive-grade performance figures for the era."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-007","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","mmac-plus","technology-assessment","1997","MMAC chassis investment protection longevity","MMAC chassis released 1988 can be upgraded to ATM, Fast Ethernet, and VLANs — technologies that did not exist when first chassis shipped","high","product-profiling","LAN Strategy: Enduring Philosophies","Aberdeen highlights this as extraordinary investment protection; none of Cabletron's competitors had solutions durable enough to survive these technology transitions."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-008","1997-cabletron--discovering-the-beacon-u-2d44d5","","ppsn-concept","framework-factor","1997","PPSN success requirement 1: Scale from CPE to carrier","Successful companies will deliver integrated product lines scaling from CPE bandwidth requirements up to gigabit carrier speeds","high","industry-analysis","Positioning for the Future: The PPSN Market","Aberdeen's first of four competency requirements for PPSN market success."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-009","1997-cabletron--discovering-the-beacon-u-2d44d5","","ppsn-concept","framework-factor","1997","PPSN success requirement 2: Unified network management","Network management platform spanning CPE and Central Office environments; integrated management view","high","industry-analysis","Positioning for the Future: The PPSN Market","Second PPSN success factor — directly describes Spectrum's intended scope."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-010","1997-cabletron--discovering-the-beacon-u-2d44d5","","ppsn-concept","framework-factor","1997","PPSN success requirement 3: Agile corporate culture","Rapid reaction to changes in still-emerging PPSN market","high","industry-analysis","Positioning for the Future: The PPSN Market","Third PPSN success factor — cultural agility that Cabletron ultimately lacked."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-011","1997-cabletron--discovering-the-beacon-u-2d44d5","","ppsn-concept","framework-factor","1997","PPSN success requirement 4: Strategic vision and investment courage","Empowering strategic vision providing courage to make necessary investments and face potential failures","high","industry-analysis","Positioning for the Future: The PPSN Market","Fourth PPSN success factor."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-012","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","ppsn-concept","viability-prediction","1997","Cabletron PPSN market readiness","Aberdeen ranks Cabletron in top tier of suppliers positioning for PPSN market; believes it possesses all required competencies for phase 1 success","high","competitive-profiling","Positioning for the Future: The PPSN Market","Aberdeen's bullish prediction on Cabletron's PPSN viability."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-013","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","viability-prediction","1997","Cabletron end-to-end LAN/WAN provider transition","Aberdeen believes Cabletron will succeed as end-to-end network equipment provider; geography expansion via World/One; Synergy Plus will double European revenue","high","competitive-profiling","Conclusions","Aberdeen's overall positive prediction about Cabletron's strategic transition."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-014","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","spectrum-network-mgmt","viability-prediction","1997","Spectrum market leadership sustainability","Spectrum positioned as market-leading network management platform; will sustain leadership as network complexity grows","high","product-profiling","Spectrum for Open Systems","Aberdeen's implicit prediction about Spectrum's market position."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-015","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","","actual-outcome","2000","Cabletron corporate outcome","Cabletron reorganized as holding company (2000); split into four subsidiaries: Enterasys Networks, Riverstone Networks, Aprisma Management Technologies, GNTS; Cabletron brand effectively ended 2001","verified","document-review","Post-publication research: https://en.wikipedia.org/wiki/Cabletron_Systems","Failed to achieve the end-to-end provider status Aberdeen predicted."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-016","1997-cabletron--discovering-the-beacon-u-2d44d5","enterasys-networks","","actual-outcome","2013","Enterasys Networks final fate","Enterasys (Cabletron successor) acquired by Extreme Networks for $180M (2013) — a modest outcome for what was once a $1B+ company","verified","document-review","Post-publication research: https://www.networkworld.com/article/746348/cisco-subnet-extreme-networks-acquires-enterasys-for-some-long-overdue-industry-consolidation.html","The Extreme Networks acquisition marked the official end of the Cabletron/Enterasys lineage."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-017","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","securefast-vnet","actual-outcome","2001","SecureFast VNET technology outcome","SecureFast VLAN technology documented in RFC 2643 (August 1999) demonstrating technical maturity; technology became obsolete with Cabletron's reorganization in 2000-2001; not adopted as a broad industry standard","verified","document-review","Post-publication research: https://datatracker.ietf.org/doc/rfc2643/","SecureFast was technically substantive but proprietary; did not survive Cabletron's decline."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-018","1997-cabletron--discovering-the-beacon-u-2d44d5","aprisma-management","spectrum-network-mgmt","actual-outcome","2004","Spectrum management platform outcome","Aprisma (holding Spectrum) acquired by Concord Communications; Concord acquired by CA Technologies (Computer Associates) for $350M; Spectrum still exists as CA Spectrum / Broadcom Spectrum as of 2024","verified","document-review","Post-publication research: https://en.wikipedia.org/wiki/Cabletron_Systems","Spectrum survived Cabletron's dissolution; technology itself was validated by sustained commercial use."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-019","1997-cabletron--discovering-the-beacon-u-2d44d5","","vlan-technology","actual-outcome","1998","VLAN technology standardization outcome","IEEE 802.1Q VLAN standard ratified 1998; VLANs became ubiquitous in enterprise networking; Cabletron's 1990 VLAN investment proved prescient but the company did not become the market leader","verified","document-review","Post-publication research: IEEE 802.1Q","Aberdeen's acknowledgment of Cabletron's pioneering VLAN work was validated — but Cisco captured the market."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-020","1997-cabletron--discovering-the-beacon-u-2d44d5","","","expert-opinion","1997","Aberdeen assessment of Cabletron's acquisition discipline","Aberdeen impressed by Cabletron's acquisition criteria requiring Intel i960 processor, similar ASIC strategies, and C++ development; avoided prolonged product line integration problems","high","competitive-profiling","Acquisition Strategy","Aberdeen's positive evaluation of Cabletron's disciplined M&A integration approach."
"1997-cabletron--discovering-the-beacon-u-2d44d5-OBS-021","1997-cabletron--discovering-the-beacon-u-2d44d5","cabletron-systems","cyberswitch","technology-assessment","1997","CyberSWITCH remote access product line","Scales from carrier/service provider to SOHO; supports ISDN, frame relay, analog/digital modems; planned ADSL with Motorola; based on Network Express and Netlink acquisitions","high","product-profiling","CyberSWITCH Family","Cabletron's attempt to extend from LAN into the WAN/remote-access market."
