"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"1997-commerce-exchange-pvp-250db8-OBS-001","1997-commerce-exchange-pvp-250db8","","internet-commerce-platform","market-data","1996","Internet goods market size (1996)","$520 million emerging Internet goods market; computer hardware and software comprised ~37%","high","industry-analysis","Opening paragraph","Aberdeen's market sizing for the early internet commerce opportunity."
"1997-commerce-exchange-pvp-250db8-OBS-002","1997-commerce-exchange-pvp-250db8","","internet-commerce-platform","market-data","1997","Internet sales run rate (1997)","At least one computer hardware vendor at $1 million per day internet run rate","high","field-research","Opening paragraph","Aberdeen data point illustrating rapid internet sales growth in 1997."
"1997-commerce-exchange-pvp-250db8-OBS-003","1997-commerce-exchange-pvp-250db8","","internet-commerce-platform","market-data","1997","Cost of in-house enterprise e-commerce development","Greater than $1 million when requiring complex integration","high","user-research","Customer Service Competitive Advantage","Aberdeen's benchmark for in-house complex e-commerce development costs."
"1997-commerce-exchange-pvp-250db8-OBS-004","1997-commerce-exchange-pvp-250db8","","internet-commerce-platform","market-data","1997","Web page load time tolerance","Internet consumers willing to wait 10-15 seconds for page download in 1997","medium","user-research","Customer Service Competitive Advantage","Aberdeen contrasts this with mainframe GUI research showing 2-3 second tolerance; predicts internet users' patience will erode quickly."
"1997-commerce-exchange-pvp-250db8-OBS-005","1997-commerce-exchange-pvp-250db8","interworld-technology","commerce-exchange","strategy-classification","1997","Commerce eXchange market positioning","Comprehensive enterprise internet retail solution with no technology strings attached; abstraction layer protects against single technology lock-in; supports CORBA, DCOM, multiple databases, EDI","high","product-profiling","Executive Summary","Aberdeen positions Commerce eXchange as the enterprise-grade, vendor-neutral alternative to point products."
"1997-commerce-exchange-pvp-250db8-OBS-006","1997-commerce-exchange-pvp-250db8","","oasis-platform","technology-assessment","1997","Oasis distributed architecture capabilities","Production-class distributed transaction processing; remote object marshaling limits network communication; avoids messaging queue bottlenecks; CORBA/DCOM neutral via abstraction layer","high","product-profiling","High-performance Distributed Objects","Aberdeen highlights Oasis's technical architecture as the key differentiator."
"1997-commerce-exchange-pvp-250db8-OBS-007","1997-commerce-exchange-pvp-250db8","","commerce-exchange","technology-assessment","1997","Commerce eXchange time-to-market","Major commercial site deployable in weeks to months vs. in-house projects spanning a year or more","high","user-research","Customer Service Competitive Advantage","Aberdeen documents the implementation speed advantage of Commerce eXchange."
"1997-commerce-exchange-pvp-250db8-OBS-008","1997-commerce-exchange-pvp-250db8","","edi-electronic-data-interchange","technology-assessment","1997","EDI as Fortune 1000 B2B standard","Fortune 1000 corporations use EDI for access to legacy data and common format for purchase orders, invoices, other business transactions","high","industry-analysis","The Two Faces of Electronic Commerce","Aberdeen confirms EDI's established role in Fortune 1000 supply chains as context for Commerce eXchange's EDI driver."
"1997-commerce-exchange-pvp-250db8-OBS-009","1997-commerce-exchange-pvp-250db8","","corba","technology-assessment","1997","CORBA vs DCOM enterprise internet standards battle","Oracle, BroadVision promoting CORBA; Microsoft pushing DCOM; typical middleware translation gateways create performance hit; Oasis avoids this with neutral abstraction layer","high","industry-analysis","Microsoft/Oracle Insurance","Aberdeen accurately characterizes the mid-1990s CORBA/DCOM standards battle."
"1997-commerce-exchange-pvp-250db8-OBS-010","1997-commerce-exchange-pvp-250db8","","internet-commerce-platform","framework-factor","1997","Primary obstacle for high-volume internet sites","Lack of solution breadth; large-scale interactive sites must be open, scalable, and integrate multiple point products and legacy systems","high","industry-analysis","Executive Summary","Aberdeen's central thesis framing the market need for integrated internet commerce platforms."
