"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"1997-commercial-risc-unix-1996-mvp-711569.001","1997-commercial-risc-unix-1996-mvp-711569","","data-mining","market-data","1996","worldwide_commercial_risc_unix_revenue_usd_billions","18.2","high","ingest-extraction","survey","1","1996 worldwide commercial multiuser RISC/Unix production server market",""
"1997-commercial-risc-unix-1996-mvp-711569.002","1997-commercial-risc-unix-1996-mvp-711569","","data-mining","market-data","1996","risc_unix_market_growth_pct","28","high","outcome-linkage","survey","1","Revenue growth from 1995 to 1996; prior year was $14.2B",""
"1997-commercial-risc-unix-1996-mvp-711569.003","1997-commercial-risc-unix-1996-mvp-711569","","data-mining","market-data","1995","risc_unix_market_growth_pct_prior_year","43","high","ingest-extraction","survey","2","1995 growth was 43%; considered unsustainable",""
"1997-commercial-risc-unix-1996-mvp-711569.004","1997-commercial-risc-unix-1996-mvp-711569","","","market-data","1996","global_pc_sales_growth_pct","17","high","ingest-extraction","survey","2","PC market grew 17% in 1996 vs RISC/Unix 28%",""
"1997-commercial-risc-unix-1996-mvp-711569.005","1997-commercial-risc-unix-1996-mvp-711569","","","market-data","1996","mainframe_revenue_growth_pct","-5","high","ingest-extraction","survey","2","Mainframe revenues declined 5% in 1996",""
"1997-commercial-risc-unix-1996-mvp-711569.006","1997-commercial-risc-unix-1996-mvp-711569","digital-equipment-corporation","corba-common-object-request-broker-architecture","benchmark-result","1996","hp_risc_unix_market_share_pct","52","high","ingest-extraction","survey","1","HP achieved 52% share in 1996 commercial multiuser RISC/Unix market",""
"1997-commercial-risc-unix-1996-mvp-711569.007","1997-commercial-risc-unix-1996-mvp-711569","digital-equipment-corporation","corba-common-object-request-broker-architecture","benchmark-result","1996","hp_revenue_growth_pct","34","high","outcome-linkage","survey","1","HP's revenue growth was 34%, 6 points above industry average of 28%",""
"1997-commercial-risc-unix-1996-mvp-711569.008","1997-commercial-risc-unix-1996-mvp-711569","sun-microsystems","metadata-management","benchmark-result","1996","ibm_risc_unix_market_share_pct","18","high","ingest-extraction","survey","1","IBM second place at 18% market share, down 1 point from prior year",""
"1997-commercial-risc-unix-1996-mvp-711569.009","1997-commercial-risc-unix-1996-mvp-711569","sun-microsystems","metadata-management","benchmark-result","1996","ibm_rs6000_revenue_growth_pct","20","high","ingest-extraction","survey","3","IBM RS/6000 line grew 20%, primarily from RS/6000 SP acceptance",""
"1997-commercial-risc-unix-1996-mvp-711569.010","1997-commercial-risc-unix-1996-mvp-711569","netscape-communications","sun-ultrasparc","benchmark-result","1996","sun_revenue_growth_pct","73","high","ingest-extraction","survey","4","Sun was fastest growing supplier at 73% growth",""
"1997-commercial-risc-unix-1996-mvp-711569.011","1997-commercial-risc-unix-1996-mvp-711569","digital-equipment-corporation","windows-nt","strategy-classification","1996","hp_pa8000_tpc_c_ranking","top_single_processor_oltp","high","outcome-linkage","survey","3","HP PA-8000 described as by far the most powerful single-processor OLTP engine per TPC-C benchmarks",""
"1997-commercial-risc-unix-1996-mvp-711569.012","1997-commercial-risc-unix-1996-mvp-711569","digital-equipment-corporation","corba-common-object-request-broker-architecture","strategy-classification","1996","hp_competitive_positioning","datacenter_enterprise_first_choice","high","ingest-extraction","survey","3","IS managers selecting HP for datacenter-level applications prefer to acquire more HP servers",""
"1997-commercial-risc-unix-1996-mvp-711569.013","1997-commercial-risc-unix-1996-mvp-711569","sun-microsystems","massively-parallel-processing","strategy-classification","1996","ibm_strategy","professional_services_pull_through","high","outcome-linkage","survey","5","IBM Global Services used as systems integration vehicle to pull through RS/6000 sales",""
"1997-commercial-risc-unix-1996-mvp-711569.014","1997-commercial-risc-unix-1996-mvp-711569","netscape-communications","predictive-analytics","strategy-classification","1996","sun_internet_positioning","web_champion_java_pioneer","high","outcome-linkage","survey","4","Sun established as Unix internet/intranet platform of choice; Java key differentiator",""
"1997-commercial-risc-unix-1996-mvp-711569.015","1997-commercial-risc-unix-1996-mvp-711569","data-general","groupware","strategy-classification","1996","nt_positioning","workgroup_departmental_small_business","high","outcome-linkage","survey","6","NT captured workgroup departmental and small business customers",""
"1997-commercial-risc-unix-1996-mvp-711569.016","1997-commercial-risc-unix-1996-mvp-711569","","microsoft-backoffice","technology-assessment","1997","numa_readiness","version_1_watch_and_monitor","medium","ingest-extraction","survey","8","NUMA shipping in 1997 for some RISC/Unix platforms; early results categorized as Version 1",""
"1997-commercial-risc-unix-1996-mvp-711569.017","1997-commercial-risc-unix-1996-mvp-711569","","business-intelligence","technology-assessment","1997","ia64_sdk_availability","mid_1997_expected","medium","ingest-extraction","secondary","7","Intel projected to release IA-64 software development environment mid-1997",""
"1997-commercial-risc-unix-1996-mvp-711569.018","1997-commercial-risc-unix-1996-mvp-711569","","digital-unix-tru64","technology-assessment","1996","erp_on_risc_unix","key_production_workload","high","ingest-extraction","survey","2","Early ERP adopters on client-server showed productivity gains; RISC/Unix primary ERP platform",""
"1997-commercial-risc-unix-1996-mvp-711569.019","1997-commercial-risc-unix-1996-mvp-711569","","data-mining","viability-prediction","1997","risc_unix_market_growth_1997_projection",">20_pct","high","ingest-extraction","expert","9","Aberdeen projects another over 20% growth year for RISC/Unix market in 1997",""
"1997-commercial-risc-unix-1996-mvp-711569.020","1997-commercial-risc-unix-1996-mvp-711569","","business-intelligence","viability-prediction","1998","ia64_ems_availability","mid_1998_oem_systems","medium","ingest-extraction","expert","7","Intel's OEMs projected to ship IA-64 systems in mid-1998",""
"1997-commercial-risc-unix-1996-mvp-711569.021","1997-commercial-risc-unix-1996-mvp-711569","lotus-development-corporation","","viability-prediction","1998","data_general_risc_unix_recovery","return_with_ia64","verified","outcome-linkage","expert","6","Data General expected to return to RISC/Unix market prominence when Intel IA-64 replaces PentiumPro",""
"1997-commercial-risc-unix-1996-mvp-711569.022","1997-commercial-risc-unix-1996-mvp-711569","","groupware","viability-prediction","1997","nt_unix_coexistence","parallel_not_replacement","high","ingest-extraction","expert","6","Aberdeen predicts NT and Unix taking parallel paths; no wholesale Unix displacement predicted",""
"1997-commercial-risc-unix-1996-mvp-711569.023","1997-commercial-risc-unix-1996-mvp-711569","","","viability-prediction","1997","y2k_new_app_on_risc_unix","majority_choose_new_app_path","verified","outcome-linkage","expert","8","By mid-1997 most IS departments will choose new RISC/Unix client-server over mainframe Y2K repair",""
"1997-commercial-risc-unix-1996-mvp-711569.024","1997-commercial-risc-unix-1996-mvp-711569","netscape-communications","predictive-analytics","viability-prediction","1997","sun_nt_challenge","sun_will_overcome_nt_threat","medium","ingest-extraction","expert","4","Aberdeen suggests Sun has history of overcoming apparently insurmountable obstacles including NT competition",""
"1997-commercial-risc-unix-1996-mvp-711569.025","1997-commercial-risc-unix-1996-mvp-711569","","business-intelligence","viability-prediction","1999","ia64_market_adoption","majority_servers_ia64","medium","ingest-extraction","expert","7","Aberdeen projects Risc/Unix market bigger in 1999 as NCR Sequent ICL DG Unisys ship RISC/Unix IA-64 systems",""
