"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"OBS-SB-001","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","market-data","1997","employee_count","Siebel Systems has over 214 employees","high","ingest-extraction","vendor-data","1","Company size in 1997",""
"OBS-SB-002","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-001","strategy-classification","1997","growth_drivers","Three elements driving rapid growth: robust N-tiered architecture; partner-leveraged business model; rapid application development methodology","high","ingest-extraction","analyst-opinion","1","Aberdeen's three-factor growth model for Siebel",""
"OBS-SB-003","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-001","viability-prediction","1997","company_trajectory","Aberdeen expects 1997 will be another successful year for Siebel; company positioned as major and rapidly growing force in CIS market","high","ingest-extraction","analyst-opinion","3","Core Aberdeen viability prediction",""
"OBS-SB-004","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","actual-outcome","1997","revenue_1997","Siebel 1997 revenue rose to $120 million","high","ingest-extraction","web-research","N/A","Confirmed from company-histories.com; source: https://www.company-histories.com/Siebel-Systems-Inc-Company-History.html",""
"OBS-SB-005","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","actual-outcome","1998","revenue_1998","Siebel 1998 revenue rose 89% to $391.5 million; net income rose 135% to $55.7 million","high","ingest-extraction","web-research","N/A","Confirmed from company-histories.com",""
"OBS-SB-006","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","actual-outcome","2000","revenue_milestone","Siebel revenue surpassed $1 billion mark in 2000; named fastest-growing US company by Fortune magazine in 1999","high","ingest-extraction","web-research","N/A","Wikipedia Siebel Systems: https://en.wikipedia.org/wiki/Siebel_Systems",""
"OBS-SB-007","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-006","actual-outcome","2006","acquisition","Oracle acquired Siebel Systems January 2006 for $5.85 billion; Siebel achieved peak CRM market share of 45% circa 2002","high","ingest-extraction","web-research","N/A","Oracle completed acquisition: https://www.marketwatch.com/story/oracle-completes-siebel-acquisition",""
"OBS-SB-008","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-002","technology-assessment","1997","product_architecture","Siebel Enterprise Applications built on N-tiered client-server architecture; supports Windows and Windows NT clients; Unix and Windows NT servers; Oracle, Sybase, Informix and MS SQL Server databases","high","ingest-extraction","vendor-data","2","Technical architecture description",""
"OBS-SB-009","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-009","technology-assessment","1997","development_platform","Siebel Enterprise Applications written in Microsoft Visual C++ and MFC; object-oriented design","high","ingest-extraction","vendor-data","2","Development platform",""
"OBS-SB-010","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-001","technology-assessment","1997","version_3_release","Siebel announced Version 3.0 in January 1997 with enhanced customization via Siebel Tools; remote software distribution; Application Upgrader; CTI integration","high","ingest-extraction","vendor-data","2","Siebel 3.0 feature set",""
"OBS-SB-011","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-010","technology-assessment","1997","pen_computing_anticipation","Siebel anticipated need for pen-based computing as example of GUI advantage and field sales use case","medium","ingest-extraction","analyst-opinion","1","Early mobile/pen computing prediction for CRM",""
"OBS-SB-012","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","actual-outcome","2000","mobile_crm","Pen computing prediction proved prescient: mobile CRM on smartphones and tablets became standard by 2010s; Siebel Mobile was released but Salesforce.com led cloud/mobile CRM","medium","ingest-extraction","web-research","N/A","Directionally correct; specific product leadership went to Salesforce",""
"OBS-SB-013","1997-crm-siebel-systems-pr-569e52","ENT-SB-003","TECH-SB-001","strategy-classification","1997","partner_strategy","Siebel uses a virtual professional services organization through partners (Andersen Consulting, KPMG, Cambridge Technology Partners, Price Waterhouse) rather than building its own services capacity","high","ingest-extraction","analyst-opinion","2","Partner-led deployment model",""
"OBS-SB-014","1997-crm-siebel-systems-pr-569e52","ENT-SB-007","TECH-SB-001","market-data","1997","compaq_alliance","In March 1997, Siebel and Compaq announced alliance under which they mutually recognize each other as preferred provider in CIS market","high","ingest-extraction","vendor-data","3","Partnership announcement",""
"OBS-SB-015","1997-crm-siebel-systems-pr-569e52","ENT-SB-008","TECH-SB-009","strategy-classification","1997","microsoft_alliance","Siebel's Microsoft alliance is described as most significant; Siebel provides full support for MS Application Development Tools, MS Office and MS BackOffice","high","ingest-extraction","analyst-opinion","3","Microsoft alliance as strategic differentiator",""
"OBS-SB-016","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-008","technology-assessment","1997","customization_capability","Siebel Tools allows graphical configuration of application to unique requirements without altering source code; modular N-tiered architecture using configurable business objects (BusObjects)","high","ingest-extraction","vendor-data","2","Configurability without code modification",""
"OBS-SB-017","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-004","technology-assessment","1997","internet_deployment","Siebel's N-tiered architecture allows flexible deployment: personal computing (client-centric); client-server; or virtual computing (network/server-centric) using Internet-based technologies","high","ingest-extraction","vendor-data","3","Internet deployment flexibility of Siebel 3.0",""
"OBS-SB-018","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-001","market-data","1997","market_segment","Siebel's solutions appropriate for firms selling directly or through indirect channels; ideal for large multi-national firms with multiple distribution channels","high","ingest-extraction","analyst-opinion","1","Target market description",""
"OBS-SB-019","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-007","technology-assessment","1997","cti_integration","Siebel 3.0 integrates with CTI middleware from Prospect and Genesys; supports automatic call distributors from Aspect, AT&T and Nortel","high","ingest-extraction","vendor-data","3","CTI integration capabilities",""
"OBS-SB-020","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-001","viability-prediction","1997","microsoft_relationship","Aberdeen expects Siebel-Microsoft relationship will increase in value for both companies throughout 1997","high","ingest-extraction","analyst-opinion","3","Microsoft alliance value prediction",""
"OBS-SB-021","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","","actual-outcome","2000","microsoft_relationship_outcome","Siebel-Microsoft relationship remained important through late 1990s; but Microsoft eventually developed its own CRM (Microsoft Dynamics CRM in 2003); relationship became competitive","medium","ingest-extraction","web-research","N/A","Microsoft entered CRM market directly competing with Siebel",""
"OBS-SB-022","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-002","technology-assessment","1997","upgrade_capability","Siebel Application Upgrader is unique: enables new software releases to be seamlessly merged with previous versions and user customizations by a single command","high","ingest-extraction","vendor-data","2","Upgrade path management capability",""
"OBS-SB-023","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-006","viability-prediction","1997","crm_market_growth","Aberdeen expects Siebel to capitalize on ability to help forward-looking organizations increase revenues while driving down costs in growing CIS market","high","ingest-extraction","analyst-opinion","3","CRM market growth prediction",""
"OBS-SB-024","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-006","actual-outcome","2003","crm_market_size","CRM market projected to reach $16.8 billion by 2003; Siebel dominated with ~45% market share at peak circa 2002","high","ingest-extraction","web-research","N/A","company-histories.com; Wikipedia Siebel Systems",""
"OBS-SB-025","1997-crm-siebel-systems-pr-569e52","ENT-SB-001","TECH-SB-005","market-data","1997","sfa_competitors","Siebel's SFA competitors named as Vantive Corp., Aurum Corp. (Baan subsidiary), and Clarify Corp.","high","ingest-extraction","analyst-opinion","1","1997 SFA competitive landscape",""
