"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"1997-data-integration-management-in-hete-de2429.001","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","market-data","1997","eti_fy1997_revenue_usd_millions","25.5","high","ingest-extraction","secondary","5","ETI fiscal 1997 (ending June 30) revenues of $25.5 million",""
"1997-data-integration-management-in-hete-de2429.002","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","market-data","1997","eti_annual_growth_rate_pct","50_to_100","high","outcome-linkage","secondary","5","ETI sustained growth of 50 to 100% per year",""
"1997-data-integration-management-in-hete-de2429.003","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","market-data","1997","eti_rd_investment_usd_millions","13","high","ingest-extraction","secondary","5","Over $13 million invested in R&D alone",""
"1997-data-integration-management-in-hete-de2429.004","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","market-data","1997","eti_us_canada_offices","12","high","ingest-extraction","secondary","5","12 offices in U.S. and Canada with four wholly owned subsidiaries in Europe",""
"1997-data-integration-management-in-hete-de2429.005","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","data-mining","technology-assessment","1997","eti_extract_programming_languages","c_cobol_rpg_abap4_and_proprietary","high","ingest-extraction","vendor","3","ETI•EXTRACT generates programs in C, COBOL, RPG, SAP ABAP/4 and proprietary languages",""
"1997-data-integration-management-in-hete-de2429.006","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","data-mining","technology-assessment","1997","eti_extract_data_systems_support","virtually_any_dbms_or_file_system","high","ingest-extraction","vendor","2","ETI•EXTRACT generates programs to transform and move data from virtually any data storage format",""
"1997-data-integration-management-in-hete-de2429.007","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","metadata-management","technology-assessment","1997","eti_metadata_facility","metastore_mdx_browsing_reporting","high","outcome-linkage","vendor","4","Metadata Facility includes MetaStore OO database, Metadata Exchange Library, browsing, and reporting",""
"1997-data-integration-management-in-hete-de2429.008","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","data-mining","technology-assessment","1997","eti_competitive_differentiators","bidirectional_legacy_access_scripting_metadata","high","ingest-extraction","vendor","4","ETI differentiates through bi-directional data movement, legacy access knowledge, scripting engines, metadata breadth",""
"1997-data-integration-management-in-hete-de2429.009","1997-data-integration-management-in-hete-de2429","sun-microsystems","predictive-analytics","technology-assessment","1997","ibm_eti_partnership","reseller_joint_development_advanced_CDC","high","ingest-extraction","vendor","5","IBM reseller/joint development agreement; ETI•EXTRACT to be IBM warehouse solution ETL tool; collaborating on changed-data-capture",""
"1997-data-integration-management-in-hete-de2429.010","1997-data-integration-management-in-hete-de2429","","windows-nt","framework-factor","1997","data_integration_strategic_drivers","data_warehousing_y2k_erp_implementation_acquisitions","high","ingest-extraction","secondary","1","Key IS initiatives requiring data integration: warehousing, new enterprise apps, mergers/acquisitions, migration",""
"1997-data-integration-management-in-hete-de2429.011","1997-data-integration-management-in-hete-de2429","","data-mining","framework-factor","1997","eti_evaluation_criteria_power","scripting_engine_power_drives_automation","high","outcome-linkage","expert","2","More powerful scripting engine means greater automation flexibility and customization",""
"1997-data-integration-management-in-hete-de2429.012","1997-data-integration-management-in-hete-de2429","","data-mining","framework-factor","1997","eti_evaluation_criteria_ease_of_use","graphical_point_and_click_interface","high","ingest-extraction","expert","2","Data transformation tool should have graphical point-and-click interface",""
"1997-data-integration-management-in-hete-de2429.013","1997-data-integration-management-in-hete-de2429","","data-mining","framework-factor","1997","eti_evaluation_criteria_functional_depth","enterprise_scalability_effective_integration","high","outcome-linkage","expert","2","Choose tool with broad functionality enterprise scalability and integration with related tools",""
"1997-data-integration-management-in-hete-de2429.014","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","strategy-classification","1997","eti_market_focus","data_integration_management_specialist","high","outcome-linkage","vendor","2","ETI differentiates through focus specifically on data integration management market",""
"1997-data-integration-management-in-hete-de2429.015","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","strategy-classification","1997","eti_methodology","success_first_methodology","high","outcome-linkage","vendor","2","ETI employs Success First methodology ensuring customer success with entire project",""
"1997-data-integration-management-in-hete-de2429.016","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","strategy-classification","1997","eti_partnership_approach","strategic_alliance_partners_program","high","ingest-extraction","vendor","5","ETI Strategic Alliance Partners Program includes joint marketing resellers certified consultants VARs",""
"1997-data-integration-management-in-hete-de2429.017","1997-data-integration-management-in-hete-de2429","digital-equipment-corporation","","viability-prediction","1997","eti_long_term_value","integral_part_of_it_infrastructure","high","ingest-extraction","expert","5","Aberdeen: evaluate ETI•EXTRACT not only for project at hand but as long-term integral IT infrastructure part",""
"1997-data-integration-management-in-hete-de2429.018","1997-data-integration-management-in-hete-de2429","","corba-common-object-request-broker-architecture","viability-prediction","1997","data_migration_tools_need_to_evolve","must_support_distributed_programming_environments","medium","ingest-extraction","expert","5","As programming admin knowledge worker functions become distributed data-migration tools will need to support new environments",""
