"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"1997-data-mining-buying-guide-71e463.001","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","data_prep_share_of_mining_work_pct","75","high","ingest-extraction","expert","1","Approximately 75% of data mining work is getting data to point where algorithms can run",""
"1997-data-mining-buying-guide-71e463.002","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","dm_evaluation_criterion_1","vertical_industry_focus","high","outcome-linkage","expert","3","Supplier's vertical industry focus is key selection criterion; domain knowledge reduces costs",""
"1997-data-mining-buying-guide-71e463.003","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","dm_evaluation_criterion_2","server_platforms","high","ingest-extraction","expert","3","Data mining toolset should run on customer's existing server platform",""
"1997-data-mining-buying-guide-71e463.004","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","dm_evaluation_criterion_3","algorithm_breadth_and_depth","high","ingest-extraction","expert","3","Breadth=multiple DM functions; depth=multiple algorithms per function; depth gives flexibility",""
"1997-data-mining-buying-guide-71e463.005","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","dm_evaluation_criterion_4_qualifiers","lifecycle_arch_ease_services_company_strength","high","ingest-extraction","expert","3","Five qualifiers: lifecycle support, architecture, ease of use, professional services, company strength",""
"1997-data-mining-buying-guide-71e463.006","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","dm_evaluation_criterion_5","pricing","high","ingest-extraction","expert","3","Pricing of toolset is fifth criterion; price/performance comparison enables ranking",""
"1997-data-mining-buying-guide-71e463.007","1997-data-mining-buying-guide-71e463","","data-mining","framework-factor","1997","target_vertical_industries_analyzed","financial_services_retail_telecom_other","high","outcome-linkage","expert","3","Four industries analyzed: financial services, retail, telecommunications, other verticals",""
"1997-data-mining-buying-guide-71e463.008","1997-data-mining-buying-guide-71e463","","windows-nt","technology-assessment","1997","decision_trees_function","prediction_classification","high","ingest-extraction","expert","3","Decision trees help perform prediction function",""
"1997-data-mining-buying-guide-71e463.009","1997-data-mining-buying-guide-71e463","","corba-common-object-request-broker-architecture","technology-assessment","1997","neural_networks_function","prediction","high","ingest-extraction","expert","3","Neural networks help perform prediction function",""
"1997-data-mining-buying-guide-71e463.010","1997-data-mining-buying-guide-71e463","","metadata-management","technology-assessment","1997","association_rules_function","affinity_grouping","high","ingest-extraction","expert","3","Association rules help perform affinity function",""
"1997-data-mining-buying-guide-71e463.011","1997-data-mining-buying-guide-71e463","","massively-parallel-processing","technology-assessment","1997","parallel_computing_value_for_dm","scales_to_large_databases","high","outcome-linkage","expert","3","Parallelizing software harnesses multiple CPUs to scale up and speedup compute-intensive analysis against huge databases",""
"1997-data-mining-buying-guide-71e463.012","1997-data-mining-buying-guide-71e463","corel-corporation","massively-parallel-processing","technology-assessment","1994","thinking_machines_status","filed_chapter_11_august_1994","high","ingest-extraction","secondary","5","Thinking Machines filed Chapter 11 in August 1994 despite being parallel computing pioneer",""
"1997-data-mining-buying-guide-71e463.013","1997-data-mining-buying-guide-71e463","","data-mining","strategy-classification","1997","dm_project_governance","line_of_business_led_cross_functional_team","high","outcome-linkage","expert","1","Line of business should lead DM project with cross-functional team; not IT-only initiative",""
"1997-data-mining-buying-guide-71e463.014","1997-data-mining-buying-guide-71e463","","db2","strategy-classification","1997","commercial_dm_positioning","scalable_commercial_grade_vs_research_tools","high","outcome-linkage","expert","1","Buying guide specifically evaluates scalable commercial-grade tools; distinguished from research tools",""
"1997-data-mining-buying-guide-71e463.015","1997-data-mining-buying-guide-71e463","digital-equipment-corporation","","strategy-classification","1997","angoss_vertical_focus","financial_services_retail_telecom","medium","outcome-linkage","secondary","5","ANGOSS had strength across financial services, retail, and telecom verticals",""
"1997-data-mining-buying-guide-71e463.016","1997-data-mining-buying-guide-71e463","oracle-corporation","","strategy-classification","1997","neovista_vertical_focus","retail_financial_insurance","medium","ingest-extraction","secondary","5","NeoVista focused on retail, financial services, and insurance enterprises",""
"1997-data-mining-buying-guide-71e463.017","1997-data-mining-buying-guide-71e463","","data-mining","viability-prediction","1997","data_mining_enterprise_adoption","will_systematize_value_extraction_from_databases","high","ingest-extraction","expert","1","Data mining offers technology to systematize excavation of value from databases",""
"1997-data-mining-buying-guide-71e463.018","1997-data-mining-buying-guide-71e463","","groupware","viability-prediction","1997","customer_analytics_value","increased_revenue_decreased_costs_via_customer_programs","high","ingest-extraction","expert","1","Value from data mining: programs to stimulate customers to buy more, buy first time, stay loyal",""
"1997-data-mining-buying-guide-71e463.019","1997-data-mining-buying-guide-71e463","","data-mining","viability-prediction","1997","dm_vendor_evaluation_imperative","significant_differences_require_careful_evaluation","high","ingest-extraction","expert","5","Significant differences in tool types, expertise levels, financial health require careful vendor evaluation",""
"1997-data-mining-buying-guide-71e463.020","1997-data-mining-buying-guide-71e463","corel-corporation","","viability-prediction","1997","thinking_machines_1997_viability","already_bankrupt_1994_limited_viability","high","ingest-extraction","secondary","","Thinking Machines already in Chapter 11 in 1994 before this guide; guide includes despite bankruptcy status",""
"1997-data-mining-buying-guide-71e463.021","1997-data-mining-buying-guide-71e463","netscape-communications","","actual-outcome","1996","hyperparallel_fate","acquired_by_yahoo_1996","high","outcome-linkage","secondary","","HyperParallel acquired by Yahoo in 1996 — one of Yahoo's early strategic data mining acquisitions",""
"1997-data-mining-buying-guide-71e463.022","1997-data-mining-buying-guide-71e463","oracle-corporation","","actual-outcome","2001","neovista_fate","acquired_accrue_1999_then_jda_2001","high","ingest-extraction","secondary","","NeoVista acquired by Accrue Software 1999; NeoVista products purchased by JDA Software Group in 2001",""
"1997-data-mining-buying-guide-71e463.023","1997-data-mining-buying-guide-71e463","sun-microsystems","","actual-outcome","2000","data_distilleries_fate","acquired_spss_2000_spss_acquired_ibm_2009","high","outcome-linkage","secondary","","Data Distilleries acquired by SPSS in 2000; SPSS acquired by IBM for $1.2B in 2009",""
"1997-data-mining-buying-guide-71e463.024","1997-data-mining-buying-guide-71e463","digital-equipment-corporation","","actual-outcome","2018","angoss_fate","peterson_2013_then_datawatch_2018_then_altair","high","ingest-extraction","secondary","","ANGOSS survived; acquired by Peterson Partners 2013; Datawatch acquired for $24.5M 2018; now Altair product",""
"1997-data-mining-buying-guide-71e463.025","1997-data-mining-buying-guide-71e463","","data-mining","actual-outcome","2020s","data_mining_market_outcome","became_enterprise_mainstream_as_machine_learning_ai","high","ingest-extraction","secondary","","Data mining evolved into ML/AI; became dominant enterprise and consumer technology worth $300B+ by 2026",""
"1997-data-mining-buying-guide-71e463.026","1997-data-mining-buying-guide-71e463","","corba-common-object-request-broker-architecture","actual-outcome","2023","neural_networks_outcome","deep_learning_llms_dominant","high","outcome-linkage","secondary","","Neural networks became deep learning; transformers and LLMs (GPT-4, etc.) became dominant AI paradigm 2017-2023+",""
"1997-data-mining-buying-guide-71e463.027","1997-data-mining-buying-guide-71e463","","data-mining","actual-outcome","2020s","data_prep_percentage_accuracy","still_accurate_80pct_of_ml_work_is_data_prep","high","ingest-extraction","secondary","","2020s ML practitioners confirm 75-80% of ML work remains data preparation/feature engineering",""
"1997-data-mining-buying-guide-71e463.028","1997-data-mining-buying-guide-71e463","","data-mining","expert-opinion","1997","dm_business_imperative","business_issue_should_improve_bottom_line","high","ingest-extraction","expert","1","Data mining is a business issue; it should improve the bottom line; LOB should lead",""
"1997-data-mining-buying-guide-71e463.029","1997-data-mining-buying-guide-71e463","","db2","expert-opinion","1997","dm_emerging_technology_status","emerging_technology_careful_vendor_selection_needed","high","ingest-extraction","expert","5","Data mining suppliers differ significantly in tool types, expertise levels, financial health",""
"1997-data-mining-buying-guide-71e463.030","1997-data-mining-buying-guide-71e463","","db2","expert-opinion","1997","misapplication_risk","squander_potential_and_millions_of_dollars","high","ingest-extraction","expert","1","By misapplying commercial-grade data mining tool an enterprise can squander potential and possibly millions of dollars",""
