"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"OBS-001","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","technology-assessment","1997","linkworks_deployment_years","3","high","vendor","1","Digital introduced LinkWorks in 1994; on third major release by April 1997"
"OBS-002","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","technology-assessment","1997","linkworks_customer_base","Fortune_1000_widespread","high","secondary","1","LinkWorks in wide use by many Fortune 1000 firms"
"OBS-003","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-002","technology-assessment","1997","webworker_browser_support","any_web_browser","high","vendor","1","WebWorker enables any user with a web browser to participate in LinkWorks environment"
"OBS-004","1997-dec-linkworks-webworker---an-object-db2d2a","","TECH-003","technology-assessment","1997","corba_java_adoption","less_than_50pct_browsers_support_java","high","survey","3","Aberdeen research indicates less than 50% of deployed browsers support Java in 1997"
"OBS-005","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","technology-assessment","1997","linkworks_supported_platforms","digital_unix_hp_ux_openvms_aix_nt","high","vendor","4","Server supported on Digital UNIX, HP-UX, OpenVMS, IBM AIX, Windows NT 3.51 and 4.0"
"OBS-006","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","technology-assessment","1997","linkworks_desktop_support","win95_nt_motif_mac_webworker","high","vendor","4","Desktop support includes MS Windows 95, NT client, Motif variants, Mac OS, WebWorker browsers"
"OBS-007","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","technology-assessment","1997","linkworks_repository_databases","oracle_mssql_ingres_informix","high","vendor","4","Supports Oracle, Microsoft SQL Server, CA-Ingres, or Informix as repository databases"
"OBS-008","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","strategy-classification","1997","linkworks_competitive_position","3yr_head_start_over_sun_netscape_ibm_microsoft","high","vendor","5","Digital has been delivering distributed object product for 3+ years vs competitors who only have white papers"
"OBS-009","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-004","strategy-classification","1997","com_integration","ole_automation_integrated","high","vendor","3","LinkWorks integrates to Windows desktop using OLE automation component of COM"
"OBS-010","1997-dec-linkworks-webworker---an-object-db2d2a","ENT-001","TECH-001","strategy-classification","1997","deployment_complexity_advantage","enterprise_deployment_experience_barrier","high","vendor","5","Digital found deploying prototype demands another level of effort vs single-instance prototype"
