entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
ENT-HP-001,Hewlett-Packard Company,Vendor,Enterprise Computing / PCs,Split / Active,HP Inc. + Hewlett Packard Enterprise,1939-2015,1997-desktop-and-systems-management-the--169a9b,"HP split into HP Inc. (PCs and printers) and Hewlett Packard Enterprise (servers/services) in 2015; Vectra PC line discontinued 2002 after HP-Compaq merger"
ENT-HP-002,Compaq Computer Corporation,Vendor,Enterprise Computing / PCs,Acquired,Hewlett-Packard (merged 2002),1982-2002,1997-desktop-and-systems-management-the--169a9b,"HP's primary rival in study; maker of Intelligent Manageability; acquired by HP in 2002 for $25 billion"
ENT-HP-003,Desktop Management Task Force (DMTF),Standards Body,IT Standards,Active,DMTF (rebranded; active),1992-present,1997-desktop-and-systems-management-the--169a9b,"Industry consortium that created DMI standard; DMTF ended DMI end-of-life March 31 2005; now focuses on CIM and DASH standards"
ENT-HP-004,Advanced Micro Devices (AMD),Vendor,Semiconductor,Active,AMD,1969-present,1997-desktop-and-systems-management-the--169a9b,"Co-developed Magic Packet remote power-on technology with HP for NightDIRECTOR capability"
ENT-HP-005,Intel,Vendor,Semiconductor,Active,Intel,1968-present,1997-desktop-and-systems-management-the--169a9b,"DMTF steering committee member; DMI-compatible management software partner"
ENT-HP-006,Microsoft,Vendor,Enterprise Software,Active,Microsoft,1975-present,1997-desktop-and-systems-management-the--169a9b,"DMTF steering committee member; OpenView partner; later developed WMI which superseded DMI"
ENT-HP-007,Aberdeen Group,Research / Analyst Firm,IT Research,Acquired,Aberdeen (Harte-Hanks; divested 2019),1988-present,1997-desktop-and-systems-management-the--169a9b,"Publisher of study; Boston-based IT research firm"
ENT-HP-008,McAfee,Vendor,Security Software,Acquired,Intel Security (2011); McAfee again (2016); Trellix (2022),1987-present,1997-desktop-and-systems-management-the--169a9b,"Listed as OpenView-compatible management application partner"
ENT-HP-009,Symantec,Vendor,Security Software,Acquired,Broadcom (acquired 2019),1982-2019,1997-desktop-and-systems-management-the--169a9b,"DMTF steering committee member; OpenView-compatible management application partner"
ENT-HP-010,Novell,Vendor,Network Operating Systems,Acquired,Attachmate (2011); SUSE (2014),1979-2011,1997-desktop-and-systems-management-the--169a9b,"DMTF steering committee member"
