"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"OBS-S1-001","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-001","","market-data","1997","Dialogic installed ports worldwide","2000000","high","ingest-extraction","vendor-claim","p.1","Dialogic reported >2 million installed ports globally as of 1997."
"OBS-S1-002","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-001","","market-data","1997","Dialogic application partners","2000","high","ingest-extraction","vendor-claim","p.1","Dialogic had 2,000+ application partners successfully deployed on its products."
"OBS-S1-003","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-001","","market-data","1997","Countries with Dialogic deployments","74","high","ingest-extraction","vendor-claim","p.1","Dialogic products deployed in 74 countries per the study."
"OBS-S1-004","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-001","TECH-S1-001","technology-assessment","1997","CT Media S.100 compliance","Yes","high","ingest-extraction","analyst-assessment","p.2","CT Media was the only NT-based enterprise S.100 CT platform available in 1997 per Aberdeen."
"OBS-S1-005","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-003","TECH-S1-008","technology-assessment","1997","Brooktrout BOSTON S.100 support available","No (1998 planned)","high","ingest-extraction","product-comparison","p.3","BOSTON S.100 API support not expected until 1998 per Aberdeen comparison table."
"OBS-S1-006","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-004","","technology-assessment","1997","NMS CT Access S.100 support","No","high","ingest-extraction","product-comparison","p.3","CT Access did not support S.100, TAPI, or other industry standard APIs."
"OBS-S1-007","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-005","","technology-assessment","1997","Mitel MediaPath S.100 support","No","high","ingest-extraction","product-comparison","p.3","MediaPath did not support S.100 API; restricted to Mitel switching."
"OBS-S1-008","1997-dialogic-ct-media-sets-the-pace-for-440d5e","","TECH-S1-001","technology-assessment","1997","CT Media resource management for multiple apps","Yes","high","ingest-extraction","analyst-assessment","p.2","Only CT Media provided resource management enabling multiple vendor apps to share single CT server hardware."
"OBS-S1-009","1997-dialogic-ct-media-sets-the-pace-for-440d5e","","TECH-S1-001","technology-assessment","1997","CT Media client-server architecture","Yes","high","ingest-extraction","analyst-assessment","p.2","CT Media operated in true client-server environment unlike all competitors evaluated."
"OBS-S1-010","1997-dialogic-ct-media-sets-the-pace-for-440d5e","ENT-S1-001","TECH-S1-001","benchmark-result","1997","CT Media hardware abstraction level","Complete","high","ingest-extraction","product-comparison","p.3","Aberdeen rated CT Media's abstraction from hardware as 'Complete'; competitors rated Device-level or None."
