"code_id","code_type","label","definition"
"analyst-assessment","methodology","Analyst Assessment","Analysis based on Aberdeen Group analyst evaluation and judgment"
"vendor-claim","methodology","Vendor Claim","Statistic or claim sourced from vendor-provided data"
"public-record","methodology","Public Record","Fact verified from public records, press releases, or historical sources"
"strategy-classification","observation_type","Strategy Classification","Classification of an entity's strategic positioning or approach"
"viability-prediction","observation_type","Viability Prediction","Forward-looking prediction about a technology or company's viability"
"actual-outcome","observation_type","Actual Outcome","Documented actual outcome of a prior prediction or claim"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's capabilities or characteristics"
"benchmark-result","observation_type","Benchmark Result","Result from a formal or informal benchmark comparison"
"framework-factor","observation_type","Framework Factor","Factor identified as part of a framework or structured analysis"
"market-data","observation_type","Market Data","Market size, share, or adoption metric"
"expert-opinion","observation_type","Expert Opinion","Opinion or judgment from a recognized industry expert"
