tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
TECH-DYS-001,BoKS (family),Enterprise Security / SSO,DynaSoft AB,1990s,Mature (for vendor),Superseded/Absorbed,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"Absorbed into Security Dynamics/RSA Security after July 1997 acquisition; technology elements survived in RSA portfolio"
TECH-DYS-002,Single Sign-On (SSO),Authentication Architecture,Multi-vendor,1990s,Emerging/Maturing,Mature/Foundational,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"SSO became foundational enterprise security architecture; modern implementations via SAML OAuth OIDC (Okta Ping Identity Microsoft AD)"
TECH-DYS-003,RSA Cryptography,Encryption,RSA Data Security,1990s,Established,Mature/Foundation,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,RSA algorithm remained industry standard for asymmetric encryption; RSA Data Security acquired by Security Dynamics 1996
TECH-DYS-004,X.509 Certificates,PKI Standard,Multi-vendor,1990s,Emerging,Dominant/Standard,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,X.509 became the universal standard for digital certificates; used in TLS/HTTPS today
TECH-DYS-005,BoKS Desktop,Desktop Security Agent,DynaSoft AB,1990s,Active,Defunct,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"Supported Windows 3.1 Windows 95 Windows NT desktop; transparent SSO and disk encryption"
TECH-DYS-006,BoKS Connect,Application Security Integration,DynaSoft AB,1990s,Active,Defunct,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"Pre-tested application connectors for Oracle Sybase Informix Unix networking; absorbed after acquisition"
TECH-DYS-007,BoKS Manager,Enterprise Security Server,DynaSoft AB,1990s,Active,Defunct,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"Central authorization server for Unix platforms (Digital HP-UX AIX Solaris); NT Server support in field test as of study"
TECH-DYS-008,ToolBoKS,Security API/SDK,DynaSoft AB,1990s,Active,Defunct,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,APIs and libraries for integrating custom applications with BoKS; used by DynaSoft for BoKS Connect module production
TECH-DYS-009,Personal Security Device (PSD),Authentication Token,DynaSoft AB,1990s,Active,Superseded,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,"Software-based credential container independent of specific credential implementation; concept evolved into modern software tokens"
TECH-DYS-010,CDIF Metadata Standard,Data Exchange Standard,Multi-vendor,1990s,Active,Deprecated,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,Common Data Interchange Format; used by BoKS for metadata exchange with CASE tools and repositories; now deprecated
TECH-DYS-011,HP Praesidium Single Sign-On,Enterprise SSO Product,Hewlett-Packard,1990s,Active,Discontinued,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,HP's SSO product incorporating DynaSoft BoKS technology; discontinued as HP security portfolio evolved
TECH-DYS-012,Sun Security Manager,Enterprise Security,Sun Microsystems,1990s,Active,Discontinued,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,Sun's SSO/security management product using DynaSoft as strategic partner; discontinued after Oracle acquisition of Sun
