"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"TECH-S3-001","Windows NT","operating-system","Microsoft","1993-2000","growth","obsolete","1997-ibm’s-nt-strategy-strat-pr-b93817","NT 4.0 current in 1997; succeeded by Windows 2000 (1999); lineage continues in Windows Server"
"TECH-S3-002","Lotus Notes / Domino","collaboration-groupware","IBM/Lotus","1989-2021","mature","legacy","1997-ibm’s-nt-strategy-strat-pr-b93817","Competing with MS Exchange; HCL acquired from IBM 2018; still active as HCL Notes/Domino"
"TECH-S3-003","DB2 Universal Database for NT","relational-database","IBM","1993-present","growth","active","1997-ibm’s-nt-strategy-strat-pr-b93817","Native NT rewrite competing with MS SQL Server; DB2 continues as IBM Db2 in cloud era"
"TECH-S3-004","Tivoli Management Environment (TME)","systems-management","IBM/Tivoli","1994-present","growth","active","1997-ibm’s-nt-strategy-strat-pr-b93817","Object-oriented management framework; managing heterogeneous enterprise environments"
"TECH-S3-005","ADSM (Adstar Distributed Storage Manager)","storage-management","IBM","1993-2001","mature","obsolete","1997-ibm’s-nt-strategy-strat-pr-b93817","Renamed IBM Tivoli Storage Manager (TSM) ~2001; then IBM Spectrum Protect; active as IBM Storage Protect"
"TECH-S3-006","IBM Transaction Server (CICS for NT + Encina)","transaction-processing","IBM","1997-2000s","launch","legacy","1997-ibm’s-nt-strategy-strat-pr-b93817","CICS for NT competes with MS Transaction Server (Viper); Encina from Transarc; CICS still active on z/OS"
"TECH-S3-007","IBM MQSeries / IBM MQ","message-oriented-middleware","IBM","1992-present","growth","active","1997-ibm’s-nt-strategy-strat-pr-b93817","Renamed WebSphere MQ 2002; then IBM MQ 2014; still major enterprise messaging platform"
"TECH-S3-008","IBM VisualAge (Java/C++/COBOL)","development-tools","IBM","1993-2001","growth","obsolete","1997-ibm’s-nt-strategy-strat-pr-b93817","VisualAge for Java succeeded by Eclipse IDE (IBM donated to Eclipse Foundation 2001)"
"TECH-S3-009","Java","programming-language","Sun Microsystems","1995-present","early-growth","dominant","1997-ibm’s-nt-strategy-strat-pr-b93817","Aberdeen survey indicated Java would become popular; accurate — Java became dominant enterprise language"
"TECH-S3-010","OS/2","operating-system","IBM","1987-2006","decline","obsolete","1997-ibm’s-nt-strategy-strat-pr-b93817","IBM's OS/2 battle with NT declared over by 1997; OS/2 officially discontinued 2006"
"TECH-S3-011","Microsoft Exchange Server","email-groupware","Microsoft","1996-present","growth","dominant","1997-ibm’s-nt-strategy-strat-pr-b93817","Competing with Lotus Notes/Domino; Exchange eventually won messaging market dominance"
"TECH-S3-012","Microsoft SQL Server","relational-database","Microsoft","1989-present","growth","dominant","1997-ibm’s-nt-strategy-strat-pr-b93817","IBM criticized SQL Server as immature in 1997; SQL Server grew to become major enterprise DB"
