"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ENT-S5-001","Industri-Matematik International Corp.","vendor","technology","active","IMI Supply Chain Solutions (private; was Aptean AB 2012-2019)","1967-present","1997-industry-matematik-international-co-c398bc","Founded 1966/67 in Stockholm; NASDAQ: IMIC; IPO Sept 1996 raising $33M; renamed Aptean AB ~2012; rebranded back to Industri-Matematik International AB 2019; acquired by Priveq Investment 2021"
"ENT-S5-002","IMI Americas","subsidiary","technology","absorbed","Industri-Matematik International AB","1990s-2000s","1997-industry-matematik-international-co-c398bc","560 White Plains Road, Tarrytown NY 10591; US sales/support subsidiary"
"ENT-S5-003","Trifox Inc.","vendor","technology","acquired","","1980s-1990s","1997-industry-matematik-international-co-c398bc","Provider of TRIMtools and VORTEX database access technology used in System ESS; acquired/absorbed in late 1990s"
"ENT-S5-004","Oracle Corporation","vendor","technology","active","","1977-present","1997-industry-matematik-international-co-c398bc","Oracle 7 as RDBMS for System ESS; also competitor via Oracle Financials integration"
"ENT-S5-005","Business Objects S.A.","vendor","technology","acquired","SAP (acquired 2007)","1990-2007","1997-industry-matematik-international-co-c398bc","Decision support integration partner for System ESS; acquired by SAP in 2007 for $6.78B"
"ENT-S5-006","SAP AG","vendor","technology","active","","1972-present","1997-industry-matematik-international-co-c398bc","Named competitor in ERP/SCM market; became dominant ERP vendor"
"ENT-S5-007","Baan Company","vendor","technology","acquired","Infor (via SSA GT / Infor)","1978-2000","1997-industry-matematik-international-co-c398bc","Named ERP competitor; acquired by Invensys 2000; via SSA GT became part of Infor"
"ENT-S5-008","i2 Technologies","vendor","technology","acquired","JDA Software (now Blue Yonder)","1988-2010","1997-industry-matematik-international-co-c398bc","Best-of-breed SCM competitor; merged with JDA Software 2010; JDA rebranded Blue Yonder 2020; acquired by Panasonic 2021"
"ENT-S5-009","Manugistics Group","vendor","technology","acquired","JDA Software","1969-2004","1997-industry-matematik-international-co-c398bc","Best-of-breed SCM competitor; acquired by JDA Software 2004"
"ENT-S5-010","PeopleSoft Inc.","vendor","technology","acquired","Oracle (acquired 2005)","1987-2005","1997-industry-matematik-international-co-c398bc","Named ERP competitor; Oracle hostile takeover completed January 2005 for $10.3B"
"ENT-S5-011","Priveq Investment","private-equity","finance","active","","1983-present","1997-industry-matematik-international-co-c398bc","New majority owner of IMI as of January 2021; enabled acquisition-driven growth strategy"
