"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"OBS-XED-001","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-005","framework-factor","1997","TCP/IP bandwidth limitation","TCP/IP cannot deliver controlled bandwidth distribution and has no ability to prioritize applications or ensure fair user access to remote resources","high","ANALYST-JUDGMENT","Traffic Management Considerations","Aberdeen correctly identifies core TCP/IP QoS deficiency driving need for bandwidth management overlay"
"OBS-XED-002","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-005","framework-factor","1997","Enterprise internet access problem","IT managers face increasing pressure to guarantee users access bandwidth for business-critical applications and accurately assign bandwidth charges","high","ANALYST-JUDGMENT","Executive Summary","Aberdeen frames enterprise internet access as management priority not just connectivity"
"OBS-XED-003","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-001","technology-assessment","1997","Access Point price advantage","Xedia Access Point currently at 50% below cost of connectivity-only based solutions currently on the market","high","ANALYST-JUDGMENT","Xedia's Access Point","Aberdeen highlights Xedia's cost advantage as key competitive differentiator"
"OBS-XED-004","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-003","technology-assessment","1997","IQ software capabilities","Access Point's IQ software permits IT managers to establish traffic priorities and allocate bandwidth percentages; class defined by IP address range TCP/UDP ports","high","ANALYST-JUDGMENT","Xedia's Access Point","Technical description of IQ software capabilities"
"OBS-XED-005","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-001","technology-assessment","1997","Access Point management capabilities","Web browser with Java presentation for management; ability to monitor usage of traffic classes and bandwidth; relevant as RMON probe equivalent for IT managers","high","ANALYST-JUDGMENT","Xedia's Access Point","Aberdeen highlights web-based management as modern differentiator"
"OBS-XED-006","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-001","viability-prediction","1997","Xedia Access Point market opportunity","Aberdeen strongly encourages IT administrators building internet into business strategy to seriously consider adding Xedia's Access Point","high","ANALYST-JUDGMENT","Aberdeen Conclusions","Strong Aberdeen recommendation for Xedia Access Point"
"OBS-XED-007","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","","actual-outcome","1999","Xedia Access Point market outcome","Lucent Technologies acquired Xedia Corporation for $246 million in August 1999; strong validation of Aberdeen's positive assessment","high","WEB-RESEARCH","N/A","Source: CNET Aug 13 1999 'Lucent to buy Xedia for $246M'; EE Times confirmed acquisition"
"OBS-XED-008","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-004","market-data","1997","Frame Relay adoption","Frame Relay cited as most widely used transmission uplink technology currently being selected by ISP customers","high","ANALYST-JUDGMENT","Xedia's Access Point","Aberdeen confirms Frame Relay dominance in 1997 enterprise WAN connectivity"
"OBS-XED-009","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-004","actual-outcome","2005","Frame Relay market decline","Frame Relay largely replaced by MPLS and broadband internet by mid-2000s; enterprise WAN market shifted to MPLS VPNs; Frame Relay revenues peaked around 2000","high","WEB-RESEARCH","N/A","Frame Relay declined as MPLS and broadband alternatives matured"
"OBS-XED-010","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-005","viability-prediction","1997","Internet-centric business strategy","Corporate access to internet must be subdivided among many users and applications and managed to ensure business efficiency and business success","high","ANALYST-JUDGMENT","Aberdeen Conclusions","Aberdeen predicts internet becomes critical business infrastructure requiring active management"
"OBS-XED-011","1997-managing-corporate-internet-access--ae26d9","","","actual-outcome","2005","Internet-centric business strategy","Fully validated: internet became foundation of business operations by 2000s; bandwidth management (QoS DSCP MPLS WFQ) became standard network engineering practice","high","WEB-RESEARCH","N/A","Aberdeen's prediction of internet-centric business strategy was fully realized"
"OBS-XED-012","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-002","viability-prediction","1997","QoS and bandwidth management tools","Network managers need hierarchical classification of flows priority and bandwidth allocation and in-depth buffering for managed internet access","high","ANALYST-JUDGMENT","Traffic Management Considerations","Aberdeen's requirements framework for bandwidth management tools"
"OBS-XED-013","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-008","actual-outcome","2014","QoS and bandwidth management tools","QoS became standard in enterprise networking through DSCP/DiffServ WFQ and MPLS QoS; SD-WAN (2014+) represents modern evolution of exactly the dynamic bandwidth allocation Aberdeen described","high","WEB-RESEARCH","N/A","Aberdeen's bandwidth management requirements framework directly maps to SD-WAN capabilities"
"OBS-XED-014","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-001","strategy-classification","1997","Xedia competitive strategy","Xedia uses RISC-based software architecture delivering flexibility and affordability at 50% below connectivity-only solutions with Frame Relay first then ATM support","high","ANALYST-JUDGMENT","Xedia's Access Point","Aberdeen describes Xedia's go-to-market and technical differentiation strategy"
"OBS-XED-015","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-006","actual-outcome","2003","ATM market outcome","ATM largely abandoned by enterprises by early 2000s as IP/Ethernet dominated; planned ATM support for Access Point became moot as ATM market collapsed","high","WEB-RESEARCH","N/A","ATM failed to achieve enterprise adoption; IP/Ethernet won the LAN/WAN integration battle"
"OBS-XED-016","1997-managing-corporate-internet-access--ae26d9","","","market-data","1997","IT staffing vs. network complexity","Network managers frequently faced with reduced staff and budget while network grows in strategic importance","high","ANALYST-JUDGMENT","Other Considerations","Aberdeen identifies resource constraint as key driver of need for easy-to-manage solutions"
"OBS-XED-017","1997-managing-corporate-internet-access--ae26d9","ENT-XED-001","TECH-XED-001","technology-assessment","1997","Access Point installation approach","Access Point can be configured at central site and shipped to enterprise site; supports OSPF2 and RIP2; compatible with installed hubs routers switches","high","ANALYST-JUDGMENT","Xedia's Access Point","Aberdeen highlights ease of deployment as key enterprise advantage"
"OBS-XED-018","1997-managing-corporate-internet-access--ae26d9","","TECH-XED-005","framework-factor","1997","Bandwidth throwing limitation","Throwing bandwidth at network problems is not always the complete solution; proper management of existing bandwidth is essential for maximum utilization","high","ANALYST-JUDGMENT","Bandwidth's Pivotal Role in Networking","Aberdeen's key conceptual insight: bandwidth management more effective than simply buying more bandwidth"
"OBS-XED-019","1997-managing-corporate-internet-access--ae26d9","ENT-XED-002","","actual-outcome","2016","Lucent corporate outcome","Lucent Technologies merged with Alcatel in 2006; Nokia acquired Alcatel-Lucent in 2016; Xedia's Access Point technology was absorbed and eventually superseded by Cisco/Juniper QoS implementations","high","WEB-RESEARCH","N/A","Xedia's acquiring parent (Lucent) was itself eventually absorbed by Nokia"
