"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"marathon-technologies","Marathon Technologies Corp.","company","server-hardware","acquired","Stratus Technologies (acquired assets Sept 2012) -> Siris Capital (2014) -> SGH/Penguin Solutions (2022)","1990-2012","1997-marathon's-endurance-4000--imp-psk-f83368","Founded by former DEC VAXft engineers in Boxborough MA; pivoted from hardware to software (everRun) in 2004; acquired by Stratus Technologies Sept 24, 2012."
"microsoft","Microsoft Corporation","company","software","active","","1975-present","1997-marathon's-endurance-4000--imp-psk-f83368","NT Server OS vendor; Wolfpack clustering software was in development at time of study."
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Aberdeen Group -> Harte-Hanks (2001) -> Aberdeen (brand revival)","1988-2001","1997-marathon's-endurance-4000--imp-psk-f83368","Boston-based IT analyst firm; author Peter S. Kastner was Aberdeen analyst."
"compaq","Compaq Computer Corporation","company","hardware","acquired","Hewlett-Packard (acquired 2002)","1982-2002","1997-marathon's-endurance-4000--imp-psk-f83368","Listed as hardware vendor whose servers were tested with Endurance 4000."
"dell","Dell Computer Corporation","company","hardware","active","","1984-present","1997-marathon's-endurance-4000--imp-psk-f83368","Listed as hardware vendor tested with Endurance 4000."
"hewlett-packard","Hewlett-Packard","company","technology-hardware","active-restructured","HP Inc. + Hewlett Packard Enterprise (split 2015)","1939-present","1997-marathon's-endurance-4000--imp-psk-f83368","Listed as hardware vendor tested with Endurance 4000; later became Marathon reseller (2000 Computerworld report)."
"ibm","IBM","company","technology","active","","1911-present","1997-marathon's-endurance-4000--imp-psk-f83368","Listed as hardware vendor tested with Endurance 4000."
"tandem-computers","Tandem Computers","company","hardware","acquired","Compaq (1997) -> HP (2002)","1974-1997","1997-marathon's-endurance-4000--imp-psk-f83368","Mentioned as one of the cluster software middleware solution suppliers; acquired by Compaq in 1997."
"dec","Digital Equipment Corporation (DEC)","company","hardware","acquired","Compaq (1998) -> HP (2002)","1957-1998","1997-marathon's-endurance-4000--imp-psk-f83368","Mentioned as supplier of cluster software middleware solutions for NT; acquired by Compaq in 1998."
"ncr","NCR Corporation","company","technology","active","","1884-present","1997-marathon's-endurance-4000--imp-psk-f83368","Mentioned as cluster software middleware supplier alongside DEC and Tandem."
