"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"OBS-NOR001","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","TECH-ATM-001","strategy-classification","1997","nortel_atm_market_position","World leader in end-to-end multimedia network solutions in the Integrated Enterprise","high","ingest-extraction","VENDOR-CLAIMED","p1","Aberdeen accepts Nortel's self-characterization as world leader. Reflects 1997 market position prior to dot-com bubble peak."
"OBS-NOR002","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","TECH-MAG-ATM","strategy-classification","1997","magellan_atm_market_claim","Magellan ATM/Frame Relay switches #1 in multimedia networking","high","ingest-extraction","VENDOR-CLAIMED","p2","Nortel's market position claim for Magellan ATM switches."
"OBS-NOR003","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","market-data","1997","ges_workforce_size","2,000 professionals (80% engineers) in 100 countries","high","ingest-extraction","VENDOR-PROVIDED","p3","Global Enterprise Services division headcount at time of study."
"OBS-NOR004","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","market-data","1996","data_traffic_voice_crossover","Data traffic surpassed voice traffic on world's networks for first time in 1996","high","ingest-extraction","INDUSTRY-DATA","p2","Significant milestone cited to support multimedia networking investment thesis."
"OBS-NOR005","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","TECH-MAG-ATM","benchmark-result","1997","customer_line_cost_savings","$435,000 per year in reduced line costs for 1,600-user 10-county frame relay network","high","ingest-extraction","CUSTOMER-REPORTED","p3","Customer testimonial. Nortel Magellan Passport enabled multimedia network. Payback projected within 24-36 months."
"OBS-NOR006","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","TECH-MAG-ATM","benchmark-result","1997","customer_payback_period","24-36 months payback for Nortel Magellan multimedia network","high","ingest-extraction","CUSTOMER-REPORTED","p3","Customer stated: 'I couldn't afford to not build this network.'"
"OBS-NOR007","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","viability-prediction","1997","nortel_long_term_viability","Nortel well-positioned as market leader; best-of-breed benchmark for networking industry","high","ingest-extraction","ANALYST-JUDGMENT","p4","Aberdeen concludes Nortel is the benchmark against which all other networking providers should be measured."
"OBS-NOR008","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","actual-outcome","2009","nortel_bankruptcy","Nortel filed for bankruptcy January 14, 2009; liquidated by end of 2009","high","ingest-extraction","VERIFIED","external","Assets sold piecemeal 2009-2011. Wireless to Ericsson ($1.13B), enterprise to Avaya ($915M), optical/Ethernet to Ciena ($774M), patents to Apple-led consortium ($4.5B). Peak market cap had been $297-400B."
"OBS-NOR009","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","actual-outcome","2003","nortel_accounting_fraud","Accounting fraud discovered 2003-2004; executives fired and charged; $6B+ revenue misreported 1998-2003","high","ingest-extraction","VERIFIED","external","CEO Frank Dunn fired for financial mismanagement. Charges ultimately dropped in 2013 but damage to investor trust was irreparable."
"OBS-NOR010","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","market-data","2000","nortel_peak_market_cap","$297-400 billion peak market cap; ~35-38% of Toronto Stock Exchange","high","ingest-extraction","VERIFIED","external","At peak in 2000, Nortel was the 9th most valuable company in the world by some measures."
"OBS-NOR011","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","","market-data","1997","nortel_employee_count_at_study","Approximately 60,000-70,000 employees at time of study (pre-peak)","medium","ingest-extraction","ESTIMATED","p1","Peak was 95,000; at bankruptcy ~30,000. 1997 figure estimated based on growth trajectory."
"OBS-TECH001","1997-nortel--transforming-business-by-po-3edae6","","TECH-ATM-001","viability-prediction","1997","atm_networking_dominance","ATM will consolidate multimedia (voice/data/video) traffic on enterprise and carrier backbones","high","ingest-extraction","ANALYST-JUDGMENT","p2","Core thesis: consolidated ATM multimedia backbones replacing legacy TDM and X.25 networks."
"OBS-TECH002","1997-nortel--transforming-business-by-po-3edae6","","TECH-ATM-001","actual-outcome","2005","atm_vs_ip_outcome","IP/Ethernet/MPLS displaced ATM for most enterprise and carrier applications by mid-2000s","high","ingest-extraction","VERIFIED","external","ATM's complexity and cost made it lose out to simpler IP-based solutions. Nortel's heavy ATM dependence was a strategic liability."
"OBS-TECH003","1997-nortel--transforming-business-by-po-3edae6","","TECH-ATM-001","technology-assessment","1997","six_sigma_reliability_requirement","Six sigma (99.999%) reliability required for multimedia calls and carrier networks","high","ingest-extraction","ANALYST-JUDGMENT","p1","Nortel's telco heritage in voice reliability cited as key differentiator for multimedia networks."
"OBS-TECH004","1997-nortel--transforming-business-by-po-3edae6","ENT-NOR-001","TECH-MAG-ATM","technology-assessment","1997","magellan_passport_capabilities","Nortel Magellan Passport enables true multimedia network carrying voice, data, and video for telemedicine","high","ingest-extraction","CUSTOMER-REPORTED","p3","Customer testimonial for a 10-county telemedicine network."
"OBS-COMP001","1997-nortel--transforming-business-by-po-3edae6","ENT-CISCO-001","","strategy-classification","1997","cisco_competitive_assessment","Cisco lacks integrated LAN/WAN ATM solutions and end-to-end integration capability","medium","ingest-extraction","ANALYST-JUDGMENT","p3","Aberdeen/Nortel position Cisco as inferior in end-to-end solutions. Proved incorrect: Cisco dominated enterprise networking."
"OBS-COMP002","1997-nortel--transforming-business-by-po-3edae6","ENT-CISCO-001","","actual-outcome","2010","cisco_vs_nortel_outcome","Cisco became the dominant enterprise networking vendor; Nortel collapsed","high","ingest-extraction","VERIFIED","external","Cisco's IP-centric strategy proved correct. Nortel's ATM focus and financial mismanagement led to bankruptcy."
"OBS-MKTTREND001","1997-nortel--transforming-business-by-po-3edae6","","TECH-WAN-001","market-data","1997","wan_make_vs_buy_trend","Many large enterprises facing make vs. buy decision on WAN management","high","ingest-extraction","ANALYST-JUDGMENT","p2","Aberdeen cites globalization and network complexity as drivers of WAN outsourcing decisions."
"OBS-MKTTREND002","1997-nortel--transforming-business-by-po-3edae6","","TECH-VPN-001","viability-prediction","1997","network_services_carrier_centric","Network services becoming carrier/WAN-centric; NSP market emerging","medium","ingest-extraction","ANALYST-JUDGMENT","p2","Aberdeen predicts growth of Network Service Provider market. VPN and managed WAN services did grow substantially."
"OBS-MKTTREND003","1997-nortel--transforming-business-by-po-3edae6","","TECH-CTI-001","technology-assessment","1997","cti_as_nortel_differentiator","Computer Telephony Integration as Nortel competitive advantage vs. routing-only vendors","medium","ingest-extraction","ANALYST-JUDGMENT","p3","Nortel ahead of Cisco and IBM in CTI, circuit switching, and messaging at time of study."
"OBS-SUN001","1997-nortel--transforming-business-by-po-3edae6","ENT-SUN-001","","strategy-classification","1997","nortel_sun_partnership","Nortel-Sun Microsystems partnership for next-generation multimedia client-server telephones","medium","ingest-extraction","VENDOR-PROVIDED","p4","Goal: enable multimedia network access via next-gen client-server telephones. Sun later acquired by Oracle in 2010."
