"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ENT-NOV-001","Novell Inc.","Vendor","Networking / Software","Acquired","OpenText (via Attachmate 2011; Micro Focus 2014; OpenText 2023)","1983-2023","1997-novell-directory-to-the-network-str-048b05","Headquartered Orem UT. NetWare NOS market leader in 1997. Acquired by Attachmate 2011 for $2.2B; subsequently passed to Micro Focus then OpenText."
"ENT-NOV-002","Microsoft Corporation","Vendor","Software / Operating Systems","Active","","1975-present","1997-novell-directory-to-the-network-str-048b05","Primary competitive threat. Active Directory shipped with Windows 2000 (February 2000). AD ultimately displaced NDS as enterprise directory standard."
"ENT-NOV-003","Banyan Systems","Vendor","Networking Software","Defunct","Acquired by Gores Technology Group 2004","1983-2004","1997-novell-directory-to-the-network-str-048b05","Maker of StreetTalk directory service and VINES NOS. Competed with NDS. Sold enterprise division; declined with NetWare market."
"ENT-NOV-004","IBM","Vendor","IT Infrastructure","Active","","1911-present","1997-novell-directory-to-the-network-str-048b05","Maker of DCE Directory and Security Server; competitor to NDS. Also partnered with Novell on ManageWise/Unicenter integration."
"ENT-NOV-005","Computer Associates (CA)","Vendor","Enterprise Software","Acquired","Broadcom (2018)","1976-2018","1997-novell-directory-to-the-network-str-048b05","Partnered with Novell to integrate ManageWise with Unicenter TNG. CA's object-oriented database planned for NDS integration."
"ENT-NOV-006","Oracle Corporation","Vendor","Database / Enterprise Software","Active","","1977-present","1997-novell-directory-to-the-network-str-048b05","Agreed to use NDS authentication and management on shared platforms. Aberdeen predicted rolling NDS embedding announcements."
"ENT-NOV-007","SunSoft (Sun Microsystems)","Vendor","Workstation / Server","Acquired","Oracle (2010)","1982-2010","1997-novell-directory-to-the-network-str-048b05","Porting NDS to all versions of Solaris as of 1997. Sun later released its own Sun Directory Services based on LDAP."
"ENT-NOV-008","Caldera","Vendor","Linux Distribution","Acquired","SCO Group; various","1994-2001","1997-novell-directory-to-the-network-str-048b05","Porting NDS to Linux operating system in 1997. Caldera later acquired SCO's Unix business."
"ENT-NOV-009","Hewlett-Packard","Vendor","IT Infrastructure","Active (as HP Inc./HPE)","","1939-present","1997-novell-directory-to-the-network-str-048b05","Agreed to ship free copy of NDS with every HP/UX platform."
"ENT-NOV-010","AT&T","Telecom","Telecommunications","Active","","1885-present","1997-novell-directory-to-the-network-str-048b05","One of three ISPs hosting NDS on the Internet in 1997. Contributing to 500000 new NDS users."
"ENT-NOV-011","Deutsche Telekom","Telecom","Telecommunications","Active","","1995-present","1997-novell-directory-to-the-network-str-048b05","One of three ISPs hosting NDS on the Internet in 1997."
"ENT-NOV-012","NTT","Telecom","Telecommunications","Active","","1952-present","1997-novell-directory-to-the-network-str-048b05","One of three ISPs hosting NDS on the Internet in 1997. Contributing to 500000 new NDS users collectively with AT&T and Deutsche Telekom."
