"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"TECH-NOV-001","Novell Directory Services (NDS)","Directory Service","Novell","1993-2011","growth","legacy","1997-novell-directory-to-the-network-str-048b05","Hierarchical enterprise directory. Introduced NetWare 4 (1993). Ported to NT/Unix 1997-1998. Rebranded eDirectory ~2000. Acquired chain led to OpenText ownership."
"TECH-NOV-002","Active Directory","Directory Service","Microsoft","1999-present","announced","dominant","1997-novell-directory-to-the-network-str-048b05","Microsoft directory service for Windows 2000. Aberdeen predicted release mid-1998; actually shipped February 2000. Became dominant enterprise directory."
"TECH-NOV-003","LDAP (Lightweight Directory Access Protocol)","Protocol / Standard","IETF","1993-present","emerging","ubiquitous","1997-novell-directory-to-the-network-str-048b05","Standards-based directory access protocol. LDAPv3 approved December 1997 as proposed Internet standard. Now universal directory protocol."
"TECH-NOV-004","X.500","Directory Protocol Standard","CCITT/ISO","1988-present","mature","niche","1997-novell-directory-to-the-network-str-048b05","OSI-based directory standard. Basis for NDS and AD conceptual models. Largely superseded by LDAP for practical deployments."
"TECH-NOV-005","IntranetWare","Network Operating System","Novell","1995-1999","mature","obsolete","1997-novell-directory-to-the-network-str-048b05","NetWare NOS with Internet/intranet capabilities. Novell's core product. Succeeded by NetWare 5/6 and eventually Open Enterprise Server on SUSE Linux."
"TECH-NOV-006","NetWare","Network Operating System","Novell","1983-2010","mature","legacy","1997-novell-directory-to-the-network-str-048b05","Dominant enterprise NOS through mid-1990s. Lost market share to Windows NT and Windows 2000. Formally discontinued 2009."
"TECH-NOV-007","GroupWise","Groupware / Email","Novell","1989-present","growth","niche","1997-novell-directory-to-the-network-str-048b05","Email and groupware suite built on NDS. Competed with Lotus Notes and Microsoft Exchange. Still marketed by OpenText."
"TECH-NOV-008","ManageWise","Network Management","Novell","1994-2003","mature","obsolete","1997-novell-directory-to-the-network-str-048b05","LAN management product integrated with NDS. Integration with CA Unicenter TNG announced. Discontinued early 2000s."
"TECH-NOV-009","Unicenter TNG","Enterprise Systems Management","Computer Associates","1996-2007","growth","legacy","1997-novell-directory-to-the-network-str-048b05","CA's enterprise management suite. Integrated with ManageWise for WAN coverage. Evolved into CA Technologies management portfolio."
"TECH-NOV-010","Virtual Private Network (VPN)","Networking Technology","Various","1996-present","emerging","ubiquitous","1997-novell-directory-to-the-network-str-048b05","Directory integration with VPN identified as key infrastructure need. VPN technology became standard enterprise connectivity."
"TECH-NOV-011","Novell Application Launcher","Software Distribution","Novell","1996-2010","growth","obsolete","1997-novell-directory-to-the-network-str-048b05","NDS-based application deployment tool allowing remote software push to workstations. Predecessor to modern endpoint management."
"TECH-NOV-012","StreetTalk","Directory Service","Banyan Systems","1984-2004","mature","obsolete","1997-novell-directory-to-the-network-str-048b05","Banyan's enterprise directory service. Competitor to NDS. Declined with Banyan's enterprise business."
