"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"numa-q-2000","Sequent NUMA-Q 2000","platform","Sequent Computer","1996-1999","emerging","obsolete","sequent-s-numa-q-2000-solutions-77a77c","ccNUMA architecture; up to 252 processors in 63 quads; discontinued after IBM acquisition 1999; technology influenced IBM x440/x445"
"sequent-symmetry","Sequent Symmetry 5000","platform","Sequent Computer","1987-1997","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Previous SMP generation; binary compatible with NUMA-Q 2000 via DYNIX/ptx OS"
"intel-pentium-pro","Intel Pentium Pro 200MHz","platform","Intel","1995-1999","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Used as NUMA-Q 2000 quad building block; 4 per quad; 500 MB/s bus"
"iq-link","IQ-Link Interconnect","protocol","Sequent Computer","1996-1999","emerging","obsolete","sequent-s-numa-q-2000-solutions-77a77c","1 GB/sec SCI-based interconnect linking quads; key NUMA-Q 2000 differentiator; obsolete after IBM acquisition"
"dynix-ptx","DYNIX/ptx Operating System","platform","Sequent Computer","1987-1999","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Sequent's proprietary Unix; binary compatible across Symmetry and NUMA-Q 2000"
"oracle7","Oracle7 / Oracle Universal Server","application","Oracle","1992-2001","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Primary bundled RDBMS for Sequent solutions; Universal Server referenced for object-relational capability"
"informix-rdbms","Informix RDBMS","application","Informix","1980-2001","mature","legacy-supported","sequent-s-numa-q-2000-solutions-77a77c","Secondary bundled RDBMS option for Sequent; acquired by IBM 2001; now IBM Informix"
"fibre-channel","Fibre Channel storage","protocol","Multi-vendor","1996-present","emerging","active","sequent-s-numa-q-2000-solutions-77a77c","100 MB/sec full-speed FC used for NUMA-Q 2000 disk subsystem with multi-pathing"
"sci-bus","Scalable Coherent Interface (SCI)","protocol","Multi-vendor (IEEE 1596)","1992-2005","emerging","obsolete","sequent-s-numa-q-2000-solutions-77a77c","IEEE standard used as basis for IQ-Link interconnect; superseded by InfiniBand and PCIe"
"dec-trucluster","Digital TrueCluster","platform","Digital Equipment","1997-1998","emerging","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Named as NUMA-Q competitor; DEC acquired by Compaq 1998"
"ibm-rs6000-sp","IBM RS/6000 SP","platform","IBM","1993-2004","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Named as NUMA-Q competitor; emphasizes MPP technology; evolved into IBM eServer pSeries"
"sun-ultra-enterprise","Sun Ultra Enterprise x000","platform","Sun Microsystems","1996-2004","mature","obsolete","sequent-s-numa-q-2000-solutions-77a77c","Named as NUMA-Q competitor using big-bus SMP scaling"
