"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"sirius-web-enablement-b81ea8-OBS-001","sirius-web-enablement-b81ea8","sirius-software-inc","janus-web-server","technology-assessment","1997","Mainframe web-enablement tool maturity","Tools arriving and improving; Janus Web Server cited as key example","medium","ingest-extraction","expert-opinion","abstract","Aberdeen finds web-enablement tools for mainframe were arriving at time of study",""
"sirius-web-enablement-b81ea8-OBS-002","sirius-web-enablement-b81ea8","","ibm-mainframe","strategy-classification","1997","Mainframe Internet strategy option 1","Rewrite — write application from scratch on Web server","medium","ingest-extraction","industry-analysis","abstract","Option 1 of 3 strategic choices identified by Aberdeen",""
"sirius-web-enablement-b81ea8-OBS-003","sirius-web-enablement-b81ea8","","ibm-mainframe","strategy-classification","1997","Mainframe Internet strategy option 2","Migrate and upgrade — move mainframe app to web server then web-enable it","medium","ingest-extraction","industry-analysis","abstract","Option 2 of 3 strategic choices identified by Aberdeen",""
"sirius-web-enablement-b81ea8-OBS-004","sirius-web-enablement-b81ea8","","ibm-mainframe","strategy-classification","1997","Mainframe Internet strategy option 3","Upgrade in place — web-enable mainframe application while keeping it on mainframe","medium","ingest-extraction","industry-analysis","abstract","Option 3 of 3 strategic choices — Aberdeen's recommended path",""
"sirius-web-enablement-b81ea8-OBS-005","sirius-web-enablement-b81ea8","","ibm-mainframe","expert-opinion","1997","Internet effect on mainframe","Paradoxically positive — made it easier to keep and web-enable mainframe apps rather than replace them","medium","ingest-extraction","expert-opinion","abstract","Aberdeen's central finding: Internet strengthened rather than weakened the mainframe case",""
"sirius-web-enablement-b81ea8-OBS-006","sirius-web-enablement-b81ea8","","ibm-mainframe","technology-assessment","1997","Scalability and robustness of rewritten apps","Migration or rewriting results in applications that are less scalable and robust than original mainframe apps","medium","ingest-extraction","expert-opinion","abstract","Key risk identified by Aberdeen for migration/rewrite strategies",""
"sirius-web-enablement-b81ea8-OBS-007","sirius-web-enablement-b81ea8","sirius-software-inc","janus-web-server","viability-prediction","1997","Janus Web Server market viability","Product expected to improve and gain adoption for mainframe web-enablement","verified","outcome-linkage","expert-opinion","abstract","Implicit Aberdeen endorsement of Janus Web Server as viable product category",""
"sirius-web-enablement-b81ea8-OBS-008","sirius-web-enablement-b81ea8","sirius-software-inc","janus-web-server","actual-outcome","2012","Sirius Software Inc. corporate outcome","Acquired by Rocket Software in November 2012 for undisclosed sum; products continued under Rocket M204 brand","verified","web-source","document-review","post-study","Source: Rocket Software press release Nov 2012; StorageNewsletter coverage",""
"sirius-web-enablement-b81ea8-OBS-009","sirius-web-enablement-b81ea8","","ibm-mainframe","actual-outcome","2026","IBM mainframe survival post-Internet era","IBM mainframe (z/OS) remains in active production at major banks and government agencies nearly 30 years after study","verified","web-source","document-review","post-study","Aberdeen's prediction of mainframe viability proved fully correct",""
"sirius-web-enablement-b81ea8-OBS-010","sirius-web-enablement-b81ea8","","ibm-mainframe","expert-opinion","1997","Aberdeen recommendation for IS managers","Senior IS managers should reconsider rewriting or migrating mainframe apps; use new mainframe-software tools to web-enable in place","medium","ingest-extraction","expert-opinion","abstract","Core prescriptive recommendation of the study",""
"sirius-web-enablement-b81ea8-OBS-011","sirius-web-enablement-b81ea8","","janus-web-server","technology-assessment","1997","Cost-effectiveness of in-place web enablement","In-place web-enablement offers cost-effective Internet connectivity with minimal impact on production environment","medium","ingest-extraction","expert-opinion","abstract","Aberdeen characterizes in-place enablement as least risky and most cost-effective",""
"sirius-web-enablement-b81ea8-OBS-012","sirius-web-enablement-b81ea8","computer-corporation-of-america","model-204","actual-outcome","2010","Model 204 corporate outcome","Computer Corporation of America acquired by Rocket Software in March 2010; Model 204 rebranded as Rocket M204","verified","web-source","document-review","post-study","Source: Rocket Software announcement March 2010",""
