"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"1997-teamsap-a3591b-OBS-001","1997-teamsap-a3591b","sap-ag","sap-r3","market-data","1997","SAP R/3 customer count",">7,000 companies worldwide","high","document-review","Preface","SAP dominated world market for corporate ERP by 1997"
"1997-teamsap-a3591b-OBS-002","1997-teamsap-a3591b","sap-ag","sap-r3","market-data","1997","SAP annual revenue growth rate",">40% growth rate","high","document-review","Why TeamSAP","SAP at peak growth; market saturation risk emerging"
"1997-teamsap-a3591b-OBS-003","1997-teamsap-a3591b","sap-ag","sap-r3","market-data","1997","SAP global sales (1996)","$2.4 billion (38% increase)","high","document-review","external-source","Washington Technology Dec 1997 article confirms $2.4B worldwide sales"
"1997-teamsap-a3591b-OBS-004","1997-teamsap-a3591b","sap-ag","sap-r3","strategy-classification","1997","TeamSAP positioning","SAP as coach throughout full R/3 lifecycle; coordinated network of products, processes, people","high","document-review","What is TeamSAP","SAP taking accountability role for implementation outcomes — major strategic shift"
"1997-teamsap-a3591b-OBS-005","1997-teamsap-a3591b","sap-ag","acceleratedsap","strategy-classification","1997","AcceleratedSAP program types","AcceleratedSAP Partner; Powered By AcceleratedSAP (Global Logo); Certified Business Solutions (sub-$200M revenue)","high","document-review","Processes","Three-tier certification model for implementation partners"
"1997-teamsap-a3591b-OBS-006","1997-teamsap-a3591b","sap-ag","sap-r3","framework-factor","1997","Customer demand #1: Business results over re-engineering","Customers want rapid business results, not multi-year re-engineering — especially with Y2K and Euro urgency","high","field-research","Why TeamSAP","Aberdeen interviews with SAP customers and management"
"1997-teamsap-a3591b-OBS-007","1997-teamsap-a3591b","sap-ag","sap-r3","framework-factor","1997","Customer demand #2: SAP participation in procurement/deployment","Greater SAP involvement in selection, procurement and full deployment scope","high","field-research","Why TeamSAP","'SAP skin in the game' recurring theme in Aberdeen executive interviews"
"1997-teamsap-a3591b-OBS-008","1997-teamsap-a3591b","sap-ag","sap-business-framework","framework-factor","1997","Customer demand #3: Comprehensive solution range","Need for R/3 plus complementary products for supply chain and other requirements","high","field-research","Why TeamSAP","Growing SAP Business Framework ecosystem addressed this need"
"1997-teamsap-a3591b-OBS-009","1997-teamsap-a3591b","sap-ag","sap-r3","framework-factor","1997","Customer demand #4: Quality assurance for multi-component implementations","Comprehensive QA for Business Framework with SAP + partner software components","high","field-research","Why TeamSAP","Partner integration complexity growing with R/3's expanding ecosystem"
"1997-teamsap-a3591b-OBS-010","1997-teamsap-a3591b","sap-ag","acceleratedsap","framework-factor","1997","Customer demand #5: Rapid operational improvement while re-engineering","Ability to turn on a dime — simultaneously reengineer and gain rapid operational improvements","high","field-research","Why TeamSAP","Aberdeen identifies this as a key tension in 1997 R/3 implementations"
"1997-teamsap-a3591b-OBS-011","1997-teamsap-a3591b","sap-ag","acceleratedsap","technology-assessment","1997","ASAP methodology differentiators","First branded implementation solutions directly supported by SAP; SAP-derived resource estimates; shared project strategies; standardized across geographies","high","document-review","Processes","AcceleratedSAP Road Map provides guidance for full project lifecycle"
"1997-teamsap-a3591b-OBS-012","1997-teamsap-a3591b","andersen-consulting","sap-r3","strategy-classification","1997","Global Logo Partner role","Largest SAP implementation partners; 300 Andersen technicians specialized in Siebel/SAP installation by 1997; take project lead","high","competitive-profiling","Implementation Partners","Aberdeen identifies potential tension: SAP controls may challenge Global Logo business models"
"1997-teamsap-a3591b-OBS-013","1997-teamsap-a3591b","sap-ag","sap-r3","expert-opinion","1997","TeamSAP challenge #1: SAP professional services role ambiguity","Lack of clear formula for SAP involvement level beyond basic coaching; risk of duplicated efforts with partners","high","field-research","Challenges","Aberdeen's most specific critical observation of TeamSAP weaknesses"
"1997-teamsap-a3591b-OBS-014","1997-teamsap-a3591b","sap-ag","sap-r3","expert-opinion","1997","TeamSAP challenge #2: Global Logo Partner resistance","Global Logo Partners may view SAP standards/controls as challenge to their own successful business models","medium","field-research","Challenges","Aberdeen acknowledges long-term interests likely aligned; short-term adoption risk"
"1997-teamsap-a3591b-OBS-015","1997-teamsap-a3591b","sap-ag","sap-r3","viability-prediction","1997","TeamSAP adoption impact","TeamSAP will provide real benefit to customers seeking rapid and ongoing R/3 results","medium","expert-opinion","Aberdeen Conclusions","Aberdeen conditional endorsement; not a blanket prediction of success"
"1997-teamsap-a3591b-OBS-016","1997-teamsap-a3591b","sap-ag","sap-r3","viability-prediction","1997","Business change paradigm shift","Inert model of re-engineer-then-implement being replaced by smaller continuous technology-enabled changes","high","expert-opinion","Aberdeen Conclusions","Prescient observation — continuous deployment / agile ERP became dominant paradigm"
"1997-teamsap-a3591b-OBS-017","1997-teamsap-a3591b","sap-ag","acceleratedsap","actual-outcome","2015","AcceleratedSAP methodology evolution","AcceleratedSAP evolved into SAP Activate methodology (2015); continues as standard SAP implementation framework for S/4HANA","verified","document-review","post-publication","SAP Activate built on ASAP foundations; still the primary SAP implementation methodology"
"1997-teamsap-a3591b-OBS-018","1997-teamsap-a3591b","sap-ag","sap-s4hana","actual-outcome","2015","SAP's next-generation ERP","SAP S/4HANA generally available 2015; built exclusively on HANA in-memory database; successor to R/3 and ECC","verified","document-review","post-publication","SAP ECC mainstream maintenance ends 2027; S/4HANA is strategic future platform"
"1997-teamsap-a3591b-OBS-019","1997-teamsap-a3591b","andersen-consulting","","actual-outcome","2001","Andersen Consulting renamed Accenture","Andersen Consulting rebranded as Accenture in January 2001; remains world's largest management consulting firm","verified","document-review","post-publication","https://en.wikipedia.org/wiki/Accenture; largest SAP Global Logo Partner continues under new name"
"1997-teamsap-a3591b-OBS-020","1997-teamsap-a3591b","sap-ag","sap-r3","market-data","1997","Certified Business Solutions VAR target","Businesses with annual revenues under $200 million","high","document-review","Implementation Partners","CBS program created a third tier below National Partners and Global Logo Partners"
"1997-teamsap-a3591b-OBS-021","1997-teamsap-a3591b","sap-ag","sap-business-framework","technology-assessment","1997","Complementary Software Partner certification types","Joint Development Partners (co-development with SAP); Certified Interface Partners (certified interoperability)","high","document-review","Complementary Software","SAP tripled resources for CSP certification in past year preceding white paper"
"1997-teamsap-a3591b-OBS-022","1997-teamsap-a3591b","sap-ag","sapnet","technology-assessment","1997","SAPNet knowledge transfer platform","Online competency center for SAP, partner, and customer knowledge transfer","medium","document-review","Implementation Partners","Early enterprise knowledge management platform; precursor to SAP Community Network"
"1997-teamsap-a3591b-OBS-023","1997-teamsap-a3591b","sap-ag","sap-early-watch","technology-assessment","1997","SAP EarlyWatch proactive diagnostics","Proactive system diagnostics program recognizing and remedying potential problems early","high","document-review","Implementation Partners","Still available in 2026 as SAP EarlyWatch Alert; one of SAP's most enduring service offerings"
