"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"unify-corporation","Unify Corporation","company","software-development-tools","dissolved","Daegis Inc. (2011); tools division renamed Gupta Technologies (2012)","1980-2011","1997-unify-vision-8fcfc3","Founded 1980; released VISION 4GL tool; HQ moved to San Jose 1995; accounting fraud scandal 2000; CEO convicted 2003; delisted from Nasdaq; reacquired listing 2008; acquired Daegis 2010; renamed Daegis 2011"
"aberdeen-group","Aberdeen Group","firm","IT-research-and-advisory","acquired","Harte-Hanks (2001); Aberdeen Group brand retained under multiple owners","1988-2010s","1997-unify-vision-8fcfc3","Leading IT analyst firm; published Product Viewpoints and Market Viewpoints; acquired by Harte-Hanks 2001"
"sun-microsystems","Sun Microsystems","company","computer-hardware-software","acquired","Oracle Corporation (2010)","1982-2010","1997-unify-vision-8fcfc3","Creator of Java; Java 1.0 released 1996; sued Microsoft over Java compatibility 1997"
"microsoft","Microsoft Corporation","company","software-operating-systems","active","","1975-present","1997-unify-vision-8fcfc3","Bundled proprietary JVM in Windows 98/IE; deviated from Sun spec; lost lawsuit; discontinued MSJVM support by 2007"
"oracle-corporation","Oracle Corporation","company","enterprise-software-database","active","","1977-present","1997-unify-vision-8fcfc3","Mentioned as competing enterprise development platform"
"powersoft","Powersoft Corporation","company","software-development-tools","acquired","Sybase (1995)","1974-1995","1997-unify-vision-8fcfc3","Maker of PowerBuilder RAD tool; acquired by Sybase in 1995 for $930M"
"sybase","Sybase Inc.","company","enterprise-software-database","acquired","SAP SE (2010)","1984-2010","1997-unify-vision-8fcfc3","Acquired Powersoft 1995; owner of PowerBuilder; acquired by SAP 2010 for $5.8B"
"gupta-technologies","Gupta Technologies","company","software-development-tools","active","","1984-present","1997-unify-vision-8fcfc3","Maker of SQLWindows RAD tool; rebranded from OpenEnvironment; in 2012 Daegis/Unify tools division was renamed Gupta Technologies"
"progress-software","Progress Software Corporation","company","software-development-tools","active","","1981-present","1997-unify-vision-8fcfc3","Maker of Progress 4GL; competitor in high-end development toolset market"
"netmanage","NetManage Inc.","company","internet-software","dissolved","","1993-2012","1997-unify-vision-8fcfc3","Internet software vendor referenced in context of internet architecture challenges"
"cisco-systems","Cisco Systems Inc.","company","networking-hardware-software","active","","1984-present","1997-unify-vision-8fcfc3","Referenced as context for enterprise network infrastructure"
