"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"1998-proc-cdc4a6-OBS-001","1998-internet-procurement-cdc4a6","aberdeen-group","","market-data","1998","Study price","$150 each or $250 for both reports","high","ingest-extraction","document-review","Cover","Two companion publications: Viewpoint and White Paper"
"1998-proc-cdc4a6-OBS-002","1998-internet-procurement-cdc4a6","aberdeen-group","","market-data","1998","Publication dates","February 1999 (Viewpoint) and April 1999 (White Paper); research from November 1998","high","ingest-extraction","document-review","Cover","Survey research November 1998; publications February-April 1999"
"1998-proc-cdc4a6-OBS-003","1998-internet-procurement-cdc4a6","aberdeen-group","","market-data","1998","Combined page count","12 pages (Viewpoint) + 14 pages (White Paper)","high","ingest-extraction","document-review","Cover",""
"1998-proc-cdc4a6-OBS-004","1998-internet-procurement-cdc4a6","","internet-procurement-software","expert-opinion","1998","Internet technology primary value application","Internet technologies will prove most valuable as catalysts to improve supply chain management — especially procurement — not consumer retail","high","ingest-extraction","industry-analysis","Overview","This was Aberdeen's distinctive thesis separating B2B from B2C value"
"1998-proc-cdc4a6-OBS-005","1998-internet-procurement-cdc4a6","us-corporate-procurement-function","","expert-opinion","1998","Non-production goods procurement status","Procurement of non-production goods and services has been an overlooked opportunity for cost management at most organizations","high","ingest-extraction","field-research","Overview","Indirect/MRO spending was systematically unmanaged in 1998"
"1998-proc-cdc4a6-OBS-006","1998-internet-procurement-cdc4a6","","internet-procurement-software","viability-prediction","1998","Internet procurement transformation potential","Internet Procurement has potential to dramatically redesign and improve purchasing procedures with rapid and measurable process/cost/profit improvements","verified","outcome-linkage","industry-analysis","Overview","Aberdeen's core prediction: e-procurement would deliver ROI"
"1998-proc-cdc4a6-OBS-007","1998-internet-procurement-cdc4a6","ariba","","actual-outcome","2012","Ariba viability outcome","Ariba acquired by SAP for $4.3B in 2012; validated as the dominant Internet procurement platform with 2.5M+ vendor network","verified","web-source","industry-analysis","Post-publication","SAP Ariba processes $1.3T in annual commerce; vindicates Aberdeen's B2B procurement thesis"
"1998-proc-cdc4a6-OBS-008","1998-internet-procurement-cdc4a6","commerce-one","","actual-outcome","2004","Commerce One viability outcome","Commerce One filed for bankruptcy October 2004; acquired by Perfect Commerce 2006; failed to sustain despite IPO success","verified","web-source","industry-analysis","Post-publication","Commerce One's failure shows dot-com excesses even in validated B2B procurement space"
"1998-proc-cdc4a6-OBS-009","1998-internet-procurement-cdc4a6","aberdeen-group","","market-data","1998","Survey scope","Early adopter survey of Internet Procurement automation users; product selection and actual benefits realized","high","ingest-extraction","field-research","Overview","Survey focused on measurable outcomes from early adopters — a rigorous methodology for 1998"
"1998-proc-cdc4a6-OBS-010","1998-internet-procurement-cdc4a6","","internet-procurement-software","actual-outcome","2012","Internet procurement market outcome","Internet procurement became standard enterprise capability; SAP Ariba alone processes $1.3T annual commerce","verified","web-source","industry-analysis","Post-publication","Aberdeen's market prediction proved highly accurate"
"1998-proc-cdc4a6-OBS-011","1998-internet-procurement-cdc4a6","sap","","strategy-classification","1998","SAP procurement strategy","SAP positioned as ERP vendor beginning to integrate internet procurement capabilities; partnered with Commerce One December 1997","high","ingest-extraction","competitive-profiling","Overview",""
"1998-proc-cdc4a6-OBS-012","1998-internet-procurement-cdc4a6","ariba","","strategy-classification","1998","Ariba strategy classification","Pure-play Internet procurement software specialist targeting indirect/non-production goods buying","high","ingest-extraction","competitive-profiling","Overview","Ariba founded 1996 as Procuresoft; had early enterprise customer traction by 1998"
"1998-proc-cdc4a6-OBS-013","1998-internet-procurement-cdc4a6","commerce-one","","strategy-classification","1998","Commerce One strategy classification","B2B e-marketplace and catalog software provider; launched 5M-product catalog; targeted indirect procurement","high","ingest-extraction","competitive-profiling","Overview",""
"1998-proc-cdc4a6-OBS-014","1998-internet-procurement-cdc4a6","","edi-procurement","technology-assessment","1998","EDI vs. Internet procurement","EDI is established but costly; Internet procurement positioned as more accessible and flexible alternative","high","ingest-extraction","technology-assessment","Overview",""
"1998-proc-cdc4a6-OBS-015","1998-internet-procurement-cdc4a6","","workflow-approval-software","technology-assessment","1998","Procurement workflow automation maturity","Emerging; automated approval routing was key product differentiator for Ariba and Commerce One","medium","ingest-extraction","industry-analysis","Overview",""
