"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","HCL Technologies (via Harte-Hanks 2001)","1988-2014","1998-nt-professional-services-buying-guide-1998-edition-14e452","Boston-based IT research firm; Joe Clabby authored this report"
"joe-clabby","Joe Clabby","person","IT-research","active (analyst/writer)","","1990s-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","Aberdeen analyst; wrote NT Professional Services chapter and this buying guide"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","Windows NT platform vendor; also profiled as services organization"
"amdahl","Amdahl Corporation","company","IT-hardware","acquired","Fujitsu (1997 majority stake; fully acquired 2000)","1970-2000","1998-nt-professional-services-buying-guide-1998-edition-14e452","Mainframe manufacturer entering NT services market"
"compaq","Compaq Computer Corporation","company","IT-hardware","acquired","Hewlett-Packard (2002)","1982-2002","1998-nt-professional-services-buying-guide-1998-edition-14e452","Had acquired Tandem (1997) and Digital (1998); major NT OEM services provider"
"data-general","Data General Corporation","company","IT-hardware","acquired","EMC Corporation (1999)","1968-1999","1998-nt-professional-services-buying-guide-1998-edition-14e452","DG's NT strategy profiled; acquired by EMC for $1.1B in October 1999"
"digital-equipment","Digital Equipment Corporation (DEC)","company","IT-hardware","acquired","Compaq Computer Corporation (1998)","1957-1998","1998-nt-professional-services-buying-guide-1998-edition-14e452","DEC acquired by Compaq January 1998 for $9.6B — largest computer merger at the time"
"hewlett-packard","Hewlett-Packard Company","company","IT-hardware","active (split: HP Inc. / HPE 2015)","","1939-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","HP's NT strategy and professional services offerings profiled"
"ibm","IBM Corporation","company","IT-hardware","active","","1911-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","IBM's NT strategy; core NT products and services offerings profiled"
"ncr","NCR Corporation","company","IT-hardware","active","","1884-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","NCR NT-specific service and support programs profiled"
"tandem-computer","Tandem Computer Corporation","company","IT-hardware","acquired","Compaq Computer Corporation (1997)","1974-1997","1998-nt-professional-services-buying-guide-1998-edition-14e452","Acquired by Compaq June 1997 for ~$3B; note: report refers to 'Tandem' as Compaq Professional Services"
"unisys","Unisys Corporation","company","IT-services","active","","1986-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","Unisys NT strategy and professional services offerings profiled"
"sap","SAP AG","company","enterprise-software","active","","1972-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","SAP NT strategy and core products profiled; NT deployment of SAP R/3 driving services demand"
"cambridge-technology-partners","Cambridge Technology Partners","company","IT-services","acquired","Novell (2001)","1991-2001","1998-nt-professional-services-buying-guide-1998-edition-14e452","CTP acquired by Novell for ~$266M in July 2001; Aberdeen profiled as IPSP category leader"
"coopers-lybrand","Coopers & Lybrand","firm","IT-consulting","merged","PricewaterhouseCoopers (1998)","1957-1998","1998-nt-professional-services-buying-guide-1998-edition-14e452","Merged with Price Waterhouse to form PricewaterhouseCoopers July 1998 — same year as this report"
"computer-sciences-corp","Computer Sciences Corporation (CSC)","company","IT-services","merged","DXC Technology (2017)","1959-2017","1998-nt-professional-services-buying-guide-1998-edition-14e452","CSC's NT strategy and competitive positioning profiled; merged with HP Enterprise Services to form DXC 2017"
"deloitte-touche","Deloitte Touche Tohmatsu International","firm","IT-consulting","active (as Deloitte)","","1845-present","1998-nt-professional-services-buying-guide-1998-edition-14e452","Deloitte's NT strategy profiled"
"eds","Electronic Data Systems (EDS)","company","IT-services","acquired","HP (2008)","1962-2008","1998-nt-professional-services-buying-guide-1998-edition-14e452","EDS NT strategy profiled; acquired MCI Systemhouse 1999; acquired by HP 2008"
"entex-information-services","Entex Information Services","company","IT-services","acquired","Siemens AG (2000)","1993-2000","1998-nt-professional-services-buying-guide-1998-edition-14e452","Entex acquired by Siemens for ~$105M in March 2000"
"microage","MicroAge Inc.","company","IT-distribution","bankrupt","","1976-2000","1998-nt-professional-services-buying-guide-1998-edition-14e452","VAR and distributor that had entered NT services; filed for bankruptcy 2000"
