"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"14e452-OBS-001","1998-nt-professional-services-buying-guide-1998-edition-14e452","microsoft","windows-nt","market-data","1998","NT market position","Windows NT growing rapidly in market share on PC desktop and entry-level server, workgroup, and midrange server markets","high","ingest-extraction","industry-analysis","Executive Summary","Aberdeen's characterization of NT market penetration at time of report",""
"14e452-OBS-002","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","strategy-classification","1998","NT limitations requiring professional services","NT complexities and shortcomings in scalability; stability; systems management; storage management; security; and directory/domain services drive professional services demand","high","ingest-extraction","industry-analysis","Executive Summary","Six NT shortcoming categories identified as services demand drivers",""
"14e452-OBS-003","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","NT services category 1 — Systems Design/Integration","Initial assessment followed by architectural design and deployment; includes NT/Unix integration","high","ingest-extraction","competitive-profiling","Chapter 3","One of four NT Professional Services categories defined by Aberdeen",""
"14e452-OBS-004","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","NT services category 2 — Project Management","Scheduling; tracking; troubleshooting related to NT systems/application implementation","high","ingest-extraction","competitive-profiling","Chapter 3","One of four NT Professional Services categories",""
"14e452-OBS-005","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","NT services category 3 — Lifecycle Management","Ongoing maintenance and management of installed NT environment","high","ingest-extraction","competitive-profiling","Chapter 3","One of four NT Professional Services categories",""
"14e452-OBS-006","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","NT services category 4 — Training","Training of IS staff and user community in NT-based systems and applications","high","ingest-extraction","competitive-profiling","Chapter 3","One of four NT Professional Services categories",""
"14e452-OBS-007","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","Provider type 1 — OEMs","Computer makers providing NT platforms and NT-related services/support","high","ingest-extraction","competitive-profiling","Chapter 1","One of four NT Professional Services provider categories",""
"14e452-OBS-008","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","Provider type 2 — NT ISVs","Software suppliers with professional services orgs for NT software deployment; typically subcontract to IPSPs","high","ingest-extraction","competitive-profiling","Chapter 1","One of four NT Professional Services provider categories",""
"14e452-OBS-009","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","Provider type 3 — Independent Professional Services Providers (IPSPs)","Systems integrators ranging from small focused consultancies to large strategic planning and implementation firms","high","ingest-extraction","competitive-profiling","Chapter 1","One of four NT Professional Services provider categories",""
"14e452-OBS-010","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","framework-factor","1998","Provider type 4 — Computer Systems Resellers","VARs and PC/server distributors that have entered NT design/deployment business","high","ingest-extraction","competitive-profiling","Chapter 1","One of four NT Professional Services provider categories",""
"14e452-OBS-011","1998-nt-professional-services-buying-guide-1998-edition-14e452","","erp-platforms","expert-opinion","1998","Key IS resource competition from ERP and Y2K","Best IS resources frequently occupied with Y2K issues; enterprise intranet/extranet; and ERP/Supply Chain initiatives — driving external NT services demand","high","ingest-extraction","field-research","Executive Summary","Aberdeen identified three competing priorities as key rationale for outsourcing NT services",""
"14e452-OBS-012","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","strategy-classification","1998","Buyer selection criterion — strategic direction alignment","If IS needs strategic business planning + implementation: choose IPSP; if strategic direction set and seeking design/deployment: choose OEM","high","ingest-extraction","field-research","Chapter 1","IS buyer decision framework mapped to provider type",""
"14e452-OBS-013","1998-nt-professional-services-buying-guide-1998-edition-14e452","","erp-platforms","strategy-classification","1998","Buyer selection criterion — specific application deployment","If deploying specific NT-based applications (SAP/Baan/Oracle/CA): choose ISV professional services or their IPSP subcontractors","high","ingest-extraction","field-research","Chapter 1","Software makers considered best-practice deployers of their own applications",""
"14e452-OBS-014","1998-nt-professional-services-buying-guide-1998-edition-14e452","","windows-nt","expert-opinion","1998","Two consultant archetypes identified","(1) Desktop-grown NT consultants; (2) Production-environment veterans from mainframes/AS400/Unix — the latter commands higher pay","high","ingest-extraction","field-research","Chapter 1","Aberdeen surfaced this distinction from IS buyer interviews",""
"14e452-OBS-015","1998-nt-professional-services-buying-guide-1998-edition-14e452","digital-equipment","windows-nt","actual-outcome","1998","Digital Equipment Corporation fate","DEC acquired by Compaq January 26 1998 for $9.6B — the largest computer merger at the time; DEC's NT Professional Services became Compaq Professional Services","verified","web-source","document-review","Post-publication","Source: Wikipedia — DEC acquired by Compaq June 1998",""
