"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"process-of-process-eba-335083-OBS-001","process-of-process-eba-335083","process-manufacturing-industry","erp-process-manufacturing","market-data","1998","Process manufacturing IT investment driver","Reducing order-through-delivery time","high","ingest-extraction","industry-analysis","Overview","Primary competitive driver for IT adoption in process manufacturing",""
"process-of-process-eba-335083-OBS-002","process-of-process-eba-335083","process-manufacturing-industry","erp-process-manufacturing","market-data","1998","Process manufacturing IT investment driver","Improving ROI by reducing cycle times and improving inventory management","high","ingest-extraction","industry-analysis","Overview","Secondary competitive driver cited alongside order-delivery time reduction",""
"process-of-process-eba-335083-OBS-003","process-of-process-eba-335083","process-manufacturing-industry","eba-enterprise-business-applications","expert-opinion","1998","EBA supplier selection challenge","Choosing the right EBA supplier presents a formidable challenge for process manufacturers","high","ingest-extraction","expert-opinion","Overview","Aberdeen characterizes supplier selection as unusually complex in this vertical",""
"process-of-process-eba-335083-OBS-004","process-of-process-eba-335083","sap-ag","eba-enterprise-business-applications","strategy-classification","1998","EBA supplier process manufacturing footprint","Leading EBA suppliers claim process manufacturing presence but lack process-specific applications","high","ingest-extraction","competitive-profiling","Overview","Core finding: ERP vendors run horizontal business apps but not vertical process-specific modules",""
"process-of-process-eba-335083-OBS-005","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Potency control","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-006","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Temperature regulation","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-007","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Shelf life management","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-008","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Capacity planning","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-009","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Catch-weight management","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-010","process-of-process-eba-335083","","erp-process-manufacturing","framework-factor","1998","Process manufacturing unique requirement","Regulatory compliance tracking","high","ingest-extraction","industry-analysis","Overview","One of six unique process manufacturing EBA requirements identified",""
"process-of-process-eba-335083-OBS-011","process-of-process-eba-335083","","eba-enterprise-business-applications","technology-assessment","1998","EBA report scope","90-page primary research report with in-depth supplier analysis","high","ingest-extraction","field-research","Overview","Report format and scale indicating comprehensive primary research methodology",""
"process-of-process-eba-335083-OBS-012","process-of-process-eba-335083","","component-technology","technology-assessment","1998","IT architecture trend for process manufacturing","Component technology driving EBA architecture evolution","medium","ingest-extraction","industry-analysis","Overview","Component-based design identified as key architectural trend",""
"process-of-process-eba-335083-OBS-013","process-of-process-eba-335083","","web-technologies-1998","technology-assessment","1998","IT architecture trend for process manufacturing","Web technologies beginning to integrate with process manufacturing EBA","medium","ingest-extraction","industry-analysis","Overview","Early observation of internet/web integration in manufacturing software",""
"process-of-process-eba-335083-OBS-014","process-of-process-eba-335083","process-manufacturing-industry","","market-data","1998","Report price point","$895","high","ingest-extraction","industry-analysis","Overview","Market positioning as premium research product",""
"process-of-process-eba-335083-OBS-015","process-of-process-eba-335083","process-manufacturing-industry","erp-process-manufacturing","viability-prediction","1998","EBA supplier consolidation prediction","Many leading EBA suppliers without genuine process manufacturing modules will face market pressure from specialists","verified","outcome-linkage","expert-opinion","Overview","Implied prediction that vendor differentiation on process-specific functionality would be decisive",""
"process-of-process-eba-335083-OBS-016","process-of-process-eba-335083","sap-ag","erp-process-manufacturing","actual-outcome","2010","SAP process manufacturing coverage outcome","SAP acquired process-specific vendors (Synavant for pharma; IS-PI modules) closing capability gaps","verified","web-source","industry-analysis","N/A","SAP addressed the gap through vertical acquisitions and module development post-1998",""
"process-of-process-eba-335083-OBS-017","process-of-process-eba-335083","process-manufacturing-industry","","expert-opinion","1998","Critical success factors scope","Report identifies factors critical to user success and supplier success in process EBA market","high","ingest-extraction","expert-opinion","Overview","Dual-sided analysis of user and supplier success criteria",""
"process-of-process-eba-335083-OBS-018","process-of-process-eba-335083","process-manufacturing-industry","inventory-management-software","technology-assessment","1998","Process manufacturing IT tracking need","Tracking products through production as core competitive requirement","high","ingest-extraction","industry-analysis","Overview","In-process tracking identified as differentiating IT capability",""
