"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research-consulting","acquired","HCL Technologies (2010)","1988-2010","1999-aberdeengroup-newsletter-april-1999-d157ec","Boston-based market research firm; West Coast office opened Palo Alto April 1999; acquired by HCL Technologies 2010"
"novell","Novell Inc.","company","network-software","acquired","Attachmate (2011)","1979-2011","1999-aberdeengroup-newsletter-april-1999-d157ec","NetWare NOS maker; mentioned as one of dominant NOSs; acquired by Attachmate in 2011"
"microsoft","Microsoft Corporation","company","enterprise-software","active","","1975-present","1999-aberdeengroup-newsletter-april-1999-d157ec","Windows NT Server and OS/2 Warp mentioned as enterprise NOS; active as of 2026"
"ibm","IBM","company","enterprise-computing","active","","1911-present","1999-aberdeengroup-newsletter-april-1999-d157ec","IBM OS/2 Warp mentioned as legacy NOS; IBM remains active across enterprise computing"
"digital-equipment","Digital Equipment Corporation","company","minicomputer","acquired","Compaq (1998)","1957-1998","1999-aberdeengroup-newsletter-april-1999-d157ec","DEC PathWorks mentioned as legacy NOS; DEC acquired by Compaq in 1998 before this newsletter"
"banyan-systems","Banyan Systems","company","network-software","dissolved","","1983-2004","1999-aberdeengroup-newsletter-april-1999-d157ec","Banyan Vines NOS mentioned as legacy enterprise NOS; company dissolved 2004"
"cdnow","CDNow","company","e-commerce","acquired","Columbia House/BMG Direct -> Amazon","1994-2000","1999-aberdeengroup-newsletter-april-1999-d157ec","Mentioned as accepting digital wallet payments; acquired by BMG in 2000; later absorbed by Amazon"
"fred-abbott","Fred Abbott","person","IT-research","unknown","","1999","1999-aberdeengroup-newsletter-april-1999-d157ec","Aberdeen Network Services contact at Boston HQ (617) 854-5231"
"nancy-hill","Nancy Hill","person","IT-research","unknown","","1999","1999-aberdeengroup-newsletter-april-1999-d157ec","Aberdeen Network Services contact at Palo Alto office (650) 967-2727"
"margaret-koenig","Margaret Koenig","person","human-resources","unknown","","1999","1999-aberdeengroup-newsletter-april-1999-d157ec","Aberdeen Director of Human Resources; contact for West Coast hiring"
