"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-001","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","kpmg-consulting","","strategy-classification","2000","KPMG Consulting strategic positioning","Launched Microsoft Dot.com Practice — co-branded e-business consulting offering with Microsoft","high","ingest-extraction","document-review","Abstract","Key strategic move: KPMG co-branded practice with Microsoft to capture e-business consulting spend",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-002","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","","","framework-factor","2000","e-Business challenge 1: Brick-and-mortar digital transformation","Traditional firms must redesign strategy, processes, and technology to compete in Internet economy","high","ingest-extraction","expert-opinion","Abstract","Primary challenge framing for incumbents",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-003","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","","","framework-factor","2000","e-Business challenge 2: Internet startup scaling","Pure-play dot-coms face operational scaling challenges as they grow","medium","ingest-extraction","expert-opinion","Abstract","Startup operational challenges highlighted",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-004","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","","","framework-factor","2000","e-Business challenge 3: First-mover sustainability","Early dot-com winners face commoditization as followers copy business models","medium","ingest-extraction","expert-opinion","Abstract","First-mover advantage erosion concern",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-005","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","kpmg-consulting","","expert-opinion","2000","Professional services industry realignment for e-Business","Consulting firms restructuring practices to deliver e-business advisory services","high","ingest-extraction","industry-analysis","Abstract","Describes broader consulting industry pivot toward Internet economy",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-006","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","kpmg-consulting","windows-2000-dotcom","strategy-classification","2000","KPMG-Microsoft Dot.com Practice scope","Focused on helping existing and would-be dot.com companies deal with Internet economy challenges","high","ingest-extraction","document-review","Abstract","Explicit scope statement from study text",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-007","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","kpmg-consulting","","viability-prediction","2000","KPMG Consulting e-Business practice viability","KPMG Consulting well-positioned to capture e-business consulting market as premier provider","low","unverified","expert-opinion","Abstract","Implicitly self-promotional prediction by sponsor; not independently validated",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-008","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","kpmg-consulting","","actual-outcome","2009","KPMG Consulting e-Business practice viability — actual outcome","KPMG Consulting renamed BearingPoint 2002; US operations filed Chapter 11 bankruptcy Feb 2009","verified","web-source","document-review","N/A — post-study verification","Prediction OBS-007 failed; dot-com crash 2000 undermined e-business consulting revenues",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-009","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","","","actual-outcome","2001","dot-com economy sustainability — actual outcome","NASDAQ peaked March 2000 (just 5 weeks after publication), fell 78% by Oct 2002; most dot-coms failed","verified","web-source","document-review","N/A — post-study verification","The dot-com bubble burst rendered most study assumptions moot within months",""
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-010","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","aberdeen-group","","market-data","2000","Study type","Vendor-sponsored white paper (KPMG Consulting sponsor); not independent research","high","ingest-extraction","document-review","Cover page","Important context: study is primarily a marketing document for KPMG Consulting",""
