"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-001","2002-802-11a-b-wireless-comes-of-age-6a071d","atheros-communications","atheros-ar5001x","strategy-classification","2002","Market position after dual-band chipset launch","Market leader / vendor to beat","high","ingest-extraction","industry-analysis","abstract","Atheros launched dual-band 802.11a,b chipset and became the front-runner",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-002","2002-802-11a-b-wireless-comes-of-age-6a071d","","","market-data","2002","802.11 wireless market maturity","Coming of age / mainstream adoption","high","ingest-extraction","industry-analysis","abstract","Aberdeen declares wireless technology has come of age October 2002",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-003","2002-802-11a-b-wireless-comes-of-age-6a071d","","atheros-ar5001x","technology-assessment","2002","Dual-band chipset performance level","High-performance at attractive prices","high","ingest-extraction","industry-analysis","abstract","Competition producing high-performance wireless technology at attractive prices",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-004","2002-802-11a-b-wireless-comes-of-age-6a071d","intersil","","viability-prediction","2002","Vendor survival forecast in wireless chipset market","Many vendors will not remain in market within 1 year","high","ingest-extraction","expert-opinion","abstract","Direct quote from study: 'many vendors will not remain in this market a year from now'",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-005","2002-802-11a-b-wireless-comes-of-age-6a071d","intersil","","actual-outcome","2003","Intersil exit from WLAN chipset market","Sold WLAN unit to GlobespanVirata for $365M","verified","web-source","document-review","n/a","Intersil sold wireless networking product group to GlobespanVirata July 2003 — within 9 months of prediction",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-006","2002-802-11a-b-wireless-comes-of-age-6a071d","atheros-communications","","viability-prediction","2002","Atheros long-term market viability","Front-runner; implied survivor of shakeout","medium","ingest-extraction","expert-opinion","abstract","Atheros named as the new benchmark; implicit prediction of sustained leadership",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-007","2002-802-11a-b-wireless-comes-of-age-6a071d","atheros-communications","","actual-outcome","2011","Atheros eventual outcome","Acquired by Qualcomm for $3.1B","verified","web-source","document-review","n/a","Qualcomm acquired Atheros May 2011; operated as Qualcomm Atheros",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-008","2002-802-11a-b-wireless-comes-of-age-6a071d","intel","","strategy-classification","2002","Intel competitive role in 802.11 market","Major competitor lining up to challenge Atheros","medium","ingest-extraction","competitive-profiling","keywords","Intel listed among key competitors in study keywords; Centrino platform launched 2003",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-009","2002-802-11a-b-wireless-comes-of-age-6a071d","intel","","actual-outcome","2003","Intel 802.11 market strategy outcome","Launched Centrino platform integrating 802.11b/g; major market success","verified","web-source","document-review","n/a","Intel Centrino (2003) combined Pentium M, 855 chipset, and Intel PRO/Wireless 2100; transformed laptop Wi-Fi adoption",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-010","2002-802-11a-b-wireless-comes-of-age-6a071d","","802-11a","technology-assessment","2002","802.11a adoption trajectory","Emerging; dual-band chipsets enabling broader uptake","medium","ingest-extraction","industry-analysis","abstract","802.11a was higher-speed but shorter-range; dual-band with 802.11b boosted adoption",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-011","2002-802-11a-b-wireless-comes-of-age-6a071d","","802-11b","technology-assessment","2002","802.11b market position","Dominant standard at publication date; mature","high","ingest-extraction","industry-analysis","abstract","802.11b widely deployed in enterprise and consumer settings by October 2002",""
"2002-802-11a-b-wireless-comes-of-age-6a071d-OBS-012","2002-802-11a-b-wireless-comes-of-age-6a071d","","","market-data","2002","Competitive density of 802.11 chipset market","Myriad competitors lining up to challenge Atheros","high","ingest-extraction","industry-analysis","abstract","Study observes crowded vendor field post Atheros launch",""
