"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-001","2002-open-source-and-linux-2002-poster-children-for-sec-587674","cert-cc","","market-data","2002","CERT advisories covered period","January through October 2002","high","industry-analysis","1","Ten months of 2002 CERT advisories analyzed"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-002","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","open-source-software","market-data","2002","Open source and Linux share of CERT advisories","more than half (>50%)","high","industry-analysis","1","Key quantitative claim: open source + Linux > 50% of CERT advisories Jan-Oct 2002"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-003","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","open-source-software","technology-assessment","2002","Open source software security risk level","major source of elevated security vulnerabilities","high","industry-analysis","1","Aberdeen's central assessment: open source now top security risk for IT buyers"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-004","2002-open-source-and-linux-2002-poster-children-for-sec-587674","microsoft","windows-os","technology-assessment","2002","Microsoft Windows security risk designation","no longer the primary security poster child","medium","industry-analysis","1","Microsoft cited as the prior poster child for security; role now transferred to open source"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-005","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","linux-os","technology-assessment","2002","Linux security advisory prevalence","contributor to majority of CERT advisories","high","industry-analysis","1","Linux specifically cited alongside open source as poster child for security problems"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-006","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","open-source-software","expert-opinion","2002","Shift of security vulnerability leadership","from Microsoft to open source/Linux","medium","industry-analysis","1","Editorial judgment based on CERT advisory count analysis"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-007","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","open-source-software","viability-prediction","2002","Open source security problem trajectory","open source will remain major security concern for IT buyers","medium","industry-analysis","1","Implied forward-looking claim based on growth of open source adoption"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-008","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","linux-os","actual-outcome","2010","Linux/open source security actual track record","Linux became dominant server OS with strong enterprise security reputation","verified","document-review","1","Despite 2002 advisory counts Linux became the foundation of cloud infrastructure; disclosure rate ≠ exploitability"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-009","2002-open-source-and-linux-2002-poster-children-for-sec-587674","","open-source-software","actual-outcome","2015","Open source security framing outcome","CERT advisory count methodology widely criticized; active disclosure seen as sign of health not weakness","verified","document-review","1","Security research community consensus shifted: open source's rapid disclosure and patching cycle is a security strength"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-010","2002-open-source-and-linux-2002-poster-children-for-sec-587674","cert-cc","","framework-factor","2002","Data source methodology","CERT/CC security advisory count as vulnerability proxy","medium","industry-analysis","1","Using raw CERT advisory counts without weighting for severity or exploitability"
"2002-open-source-and-linux-2002-poster-children-for-sec-587674-OBS-011","2002-open-source-and-linux-2002-poster-children-for-sec-587674","cert-cc","","benchmark-result","2002","Open source CERT advisory count out of total 2002 advisories","16 of total advisories (per The Register coverage)","medium","industry-analysis","1","The Register reported Aberdeen cited 16 open source advisories; total was ~37 for Jan-Oct 2002"
