"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"4da869-OBS-001","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","oracle","","market-data","2003","Oracle hostile bid duration","Three months active as of August 2003","high","industry-analysis","abstract","Oracle launched hostile bid June 6 2003; study published August 20 2003"
"4da869-OBS-002","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","oracle","peoplesoft-erp","strategy-classification","2003","Oracle acquisition strategy","Hostile takeover pursuit","high","competitive-profiling","abstract","Oracle pursued unsolicited bid against PeopleSoft board's objections; PeopleSoft deployed poison pill defense"
"4da869-OBS-003","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","viability-prediction","2003","PeopleSoft survival as independent vendor","Uncertain — both parties showing damage","medium","expert-opinion","abstract","Aberdeen framed the question explicitly: Will PeopleSoft survive as independent software vendor?"
"4da869-OBS-004","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","strategy-classification","2003","PeopleSoft defensive posture","Fighting hostile takeover while integrating JDE acquisition","high","industry-analysis","abstract","PeopleSoft simultaneously acquired JDE (closed July 2003) while defending against Oracle bid"
"4da869-OBS-005","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","jde-enterprise-one","actual-outcome","2003","PeopleSoft-JDE merger completion","Closed July 18 2003 for $1.75B","verified","document-review","abstract","Stock and cash deal; PeopleSoft became second-largest enterprise software company at $2.9B annual revenue"
"4da869-OBS-006","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","market-data","2003","PeopleSoft post-JDE annual revenue","$2.9 billion","high","industry-analysis","abstract","Combined PeopleSoft+JDE revenue figure referenced in context"
"4da869-OBS-007","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","market-data","2003","PeopleSoft+JDE customer count","11900 customers","high","industry-analysis","abstract","In more than 25 industries and 150 countries per Aberdeen context"
"4da869-OBS-008","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","market-data","2003","PeopleSoft+JDE employee count","13000 employees","high","industry-analysis","abstract","Post-merger headcount cited in contemporaneous reporting"
"4da869-OBS-009","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","oracle","","strategy-classification","2003","Oracle initial hostile bid price","$16 per share (June 6 2003)","verified","document-review","abstract","Raised to $19.50 12 days later; further raised to $26 Feb 2004"
"4da869-OBS-010","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","peoplesoft-erp","expert-opinion","2003","Customer decision guidance during takeover uncertainty","Do not wait — act on ERP decisions now","medium","expert-opinion","abstract","Aberdeen's core advisory: customers owning or evaluating PeopleSoft products should not defer decisions pending resolution of the battle"
"4da869-OBS-011","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","viability-prediction","2003","Market damage from takeover battle","Significant — both firms showing bruising","medium","expert-opinion","abstract","Aberdeen boxing metaphor: both prizefighters show bruises after many rounds"
"4da869-OBS-012","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","oracle","peoplesoft-erp","actual-outcome","2004","Oracle acquisition of PeopleSoft completion","Completed December 2004 at $26.50/share totaling $10.3B","verified","document-review","post-study","PeopleSoft board approved Dec 13 2004; deal valued at $10.3B; Oracle promised PeopleSoft 8 upgrade and future PeopleSoft 9 release"
"4da869-OBS-013","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","peoplesoft","","actual-outcome","2004","PeopleSoft independence outcome","Lost independence — acquired by Oracle","verified","document-review","post-study","Aberdeen's implicit prediction that independence was at risk proved fully correct"
"4da869-OBS-014","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","oracle","","actual-outcome","2004","Oracle ERP market position post-acquisition","Became #1 applications vendor in North America","verified","document-review","post-study","Per Larry Ellison at acquisition close: 'twice as many customers, No. 1 applications vendor in North America'"
