"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"fc2b1b-OBS-001","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Total IT security market spending 2002","$16.3 billion (products and services)","high","ingest-extraction","statistical-analysis","abstract","Top 10 suppliers earned 54% = $8.8B; Hurley's baseline market size figure"
"fc2b1b-OBS-002","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Top 10 security suppliers market share","54% of all spending ($16.3B total)","high","ingest-extraction","statistical-analysis","abstract","Aberdeen's core market concentration finding"
"fc2b1b-OBS-003","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Next 60 security suppliers market share","36% of spending","high","ingest-extraction","statistical-analysis","abstract","60 suppliers in tier 2 captured 36% of a ~$16.3B market"
"fc2b1b-OBS-004","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Long-tail privately held security suppliers count","350+ privately held suppliers","high","ingest-extraction","statistical-analysis","abstract","350+ private suppliers shared remaining 10% of spending"
"fc2b1b-OBS-005","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Long-tail privately held suppliers market share","10% of total spending","high","ingest-extraction","statistical-analysis","abstract","Highly fragmented long tail despite top-10 concentration"
"fc2b1b-OBS-006","2003-the-top-10-security-suppliers-fc2b1b","","","market-data","2002","Previous peak security growth rate","16% across all solution sectors (now ended)","high","ingest-extraction","industry-analysis","abstract","Hurley explicitly states heady days of 16% growth in every solution sector are over"
"fc2b1b-OBS-007","2003-the-top-10-security-suppliers-fc2b1b","","","expert-opinion","2003","Future growth driver model for security suppliers","Multi-dimensional: solutions + geographies + channels + industries + channels-to-market","high","ingest-extraction","expert-opinion","abstract","Hurley's forward-looking growth framework for security vendors"
"fc2b1b-OBS-008","2003-the-top-10-security-suppliers-fc2b1b","","","framework-factor","2003","Growth factor 1: Solution breadth","Suppliers must grow via multiple solution sectors","high","ingest-extraction","expert-opinion","abstract","First component of Hurley's 5-factor growth model"
"fc2b1b-OBS-009","2003-the-top-10-security-suppliers-fc2b1b","","","framework-factor","2003","Growth factor 2: Geographic expansion","Suppliers must pursue international geographies","high","ingest-extraction","expert-opinion","abstract","Second component of Hurley's growth model"
"fc2b1b-OBS-010","2003-the-top-10-security-suppliers-fc2b1b","","","framework-factor","2003","Growth factor 3: Channel strategy","Suppliers must leverage multiple channels","high","ingest-extraction","expert-opinion","abstract","Third component of Hurley's growth model"
"fc2b1b-OBS-011","2003-the-top-10-security-suppliers-fc2b1b","","","framework-factor","2003","Growth factor 4: Industry verticals","Suppliers must target specific industry verticals","high","ingest-extraction","expert-opinion","abstract","Fourth component of Hurley's growth model"
"fc2b1b-OBS-012","2003-the-top-10-security-suppliers-fc2b1b","","","framework-factor","2003","Growth factor 5: Channels-to-market","Suppliers must diversify go-to-market channels","high","ingest-extraction","expert-opinion","abstract","Fifth component of Hurley's growth model"
"fc2b1b-OBS-013","2003-the-top-10-security-suppliers-fc2b1b","symantec","antivirus","market-data","2002","Symantec worldwide security market share 2002","12% of $6B worldwide security market (#1 per IDC)","verified","ingest-extraction","document-review","abstract","IDC data: Symantec #1 security vendor 2002 with 12% share; $6B security software market per IDC; separate from Aberdeen's $16.3B all-products-services figure"
"fc2b1b-OBS-014","2003-the-top-10-security-suppliers-fc2b1b","symantec","","actual-outcome","2019","Symantec enterprise security fate","Enterprise security division sold to Broadcom for $10.7B in 2019; consumer unit became NortonLifeLock","verified","web-source","document-review","post-study","Symantec pursued multi-dimensional growth per Hurley's model; ultimately split due to enterprise vs consumer divergence"
"fc2b1b-OBS-015","2003-the-top-10-security-suppliers-fc2b1b","","network-security-appliance","actual-outcome","2004","Network security appliance market growth","Worldwide network security appliance and software revenue topped $3.7B in 2004; +30% from 2003","verified","web-source","document-review","post-study","Per ZDNet/IDC 2005; Hurley's prediction of high-growth solution sectors proved correct; some sectors did grow at 2x average"
