obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
2004-09-intel-64bit-tipping-point-b21860-OBS-001,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,64-bit migration trigger: Intel EM64T launch,Intel Xeon with EM64T triggers broad shift toward 64-bit computing; initially for applications constrained by 32-bit 4GB memory limit,high,vendor-positioning,p.1,"Intel self-authored white paper; confidence high for factual claims, medium for market predictions"
2004-09-intel-64bit-tipping-point-b21860-OBS-002,2004-09-intel-64bit-tipping-point-b21860,,,market-data,2003,IDC Itanium server market size (base year),Itanium-based server market less than $1 billion in 2003,high,market-tracking,p.2,IDC Server group forecast; Al Gillen and Jean Bozman IDC Analysts June 2004
2004-09-intel-64bit-tipping-point-b21860-OBS-003,2004-09-intel-64bit-tipping-point-b21860,,,viability-prediction,2004,IDC Itanium server market forecast 2008,IDC forecasts Itanium-based server market to grow from less than $1 billion (2003) to more than $8 billion in 2008,high,market-tracking,p.2,IDC prediction; actual outcome: Itanium market peaked ~$4B and declined post-2010
2004-09-intel-64bit-tipping-point-b21860-OBS-004,2004-09-intel-64bit-tipping-point-b21860,,,actual-outcome,2010,Itanium server market actual trajectory,"Itanium server market did not reach $8 billion. By 2008, Itanium-based system revenue was approximately $4.4B annually (HP alone), declining to $3.5B by end-2009. x86-64 (EM64T/AMD64) dominated general workloads as predicted. Itanium was discontinued in 2021.",partially-verified,industry-analysis,,"Itanium market did not reach $8B; x86-64 (EM64T) dominated general workloads; Itanium discontinued 2021 | Itanium did not reach $8B; peaked at ~$4.4B (HP) by 2008, then declined. x86-64 dominated. Source: https://en.wikipedia.org/wiki/Itanium (market share section)"
2004-09-intel-64bit-tipping-point-b21860-OBS-005,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,Itanium architecture use case: business-critical data tier,Itanium architecture remains platform of choice for most demanding business-critical data tier applications: high-end database and business intelligence,high,technology-analysis,p.2,Consistent with Intel positioning
2004-09-intel-64bit-tipping-point-b21860-OBS-006,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,EM64T use case: general purpose applications,"Intel Xeon with EM64T preferable for general-purpose applications: web, mail, digital content creation, mechanical CAD, EDA; mixed 32/64-bit environments",high,technology-analysis,p.2,Correct segmentation; EM64T became dominant for mainstream server workloads
2004-09-intel-64bit-tipping-point-b21860-OBS-007,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,EM64T operating modes: three modes,"Legacy mode (32-bit OS + apps), Compatibility mode (64-bit OS + 32-bit apps), 64-bit mode (full 64-bit OS + apps)",high,technology-analysis,p.5,Backward compatibility as key EM64T advantage over pure Itanium
2004-09-intel-64bit-tipping-point-b21860-OBS-008,2004-09-intel-64bit-tipping-point-b21860,,,market-data,2004,EM64T performance boost for 32-bit workloads,Performance boost of up to 50% for existing 32-bit applications on EM64T platforms vs prior Xeon platforms,high,benchmarking,p.5,Intel internal test figure; typical range 10-40%; outliers above 50%
2004-09-intel-64bit-tipping-point-b21860-OBS-009,2004-09-intel-64bit-tipping-point-b21860,,,viability-prediction,2004,32-bit x86 displacement prediction,IDC: New system shipments based on 32-bit x86 processors will be swept away over time by x86-64 designs,high,market-tracking,p.2,Correct; x86-64 completely displaced 32-bit x86 server market by ~2010
2004-09-intel-64bit-tipping-point-b21860-OBS-010,2004-09-intel-64bit-tipping-point-b21860,,,actual-outcome,2010,32-bit x86 server market displacement,"32-bit x86 server market was substantially displaced by x86-64 (EM64T/AMD64) by 2008-2010. By 2009, most new servers shipped with x86-64 processors. 32-bit-only server workloads became legacy by 2010.",partially-verified,industry-analysis,,"x86-64 did displace 32-bit; verify timeline | 32-bit x86 displacement confirmed. Source: https://en.wikipedia.org/wiki/Itanium ('By 2009, most servers were being shipped with x86-64 processors')"
2004-09-intel-64bit-tipping-point-b21860-OBS-011,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,Aberdeen/Kastner Itanium assessment quoted,"Aberdeen Group (Peter Kastner, May 14 2004): Intel Itanium consistently outperforms 64-bit RISC-based servers; Intel-based platforms better performing per processor, more scalable, more cost-effective, and more flexible",high,expert-opinion,p.4,Cross-reference: Kastner Aberdeen Itanium report May 14 2004; cited in Intel white paper
2004-09-intel-64bit-tipping-point-b21860-OBS-012,2004-09-intel-64bit-tipping-point-b21860,,,market-data,2004,Forrester: Itanium customer adoption intent,94% of current Itanium-installed firms plan to buy more over next three years; 50% of non-buyers list it in future spend plans,high,benchmarking,p.4,Forrester Research: Firms Stay The Course On Server Technologies; Brad Day and Frank Gillett July 14 2004
2004-09-intel-64bit-tipping-point-b21860-OBS-013,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,BEA WebLogic case study: Itanium benchmark,"SpecjAppServer2002 leading benchmark results for absolute performance and price/performance all achieved using Intel architecture, majority on Itanium 2",high,benchmarking,p.4,BEA JRockit JVM co-developed by Intel and BEA; optimized for IA-32 and Itanium
2004-09-intel-64bit-tipping-point-b21860-OBS-014,2004-09-intel-64bit-tipping-point-b21860,,,market-data,2004,Omicronn Trax benchmark: Itanium performance,Omicronn Trax on BEA WebLogic + Itanium 2: 5 million messages/hour at only 50-60% utilization; outperformed RISC alternatives,high,benchmarking,p.4,Case study: financial transaction processing; Omicronn financial platform
2004-09-intel-64bit-tipping-point-b21860-OBS-015,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,64-bit advantage 1: memory addressability,64-bit processor transcends 4GB memory limit of 32-bit; can directly access virtually unlimited physical memory; dramatic performance for large memory-intensive applications,high,technology-analysis,p.3,Key 64-bit architectural advantage #1
2004-09-intel-64bit-tipping-point-b21860-OBS-016,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,64-bit advantage 2: 64-bit instruction chunks,64-bit processor can manipulate data in chunks twice as large (64-bit vs 32-bit); key for complex calculations requiring high precision,high,technology-analysis,p.3,Key 64-bit architectural advantage #2
2004-09-intel-64bit-tipping-point-b21860-OBS-017,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,Itanium 2 memory maximum: 1 petabyte,Itanium 2 processor supports up to 1 petabyte of physical memory; Xeon MP up to 1 terabyte; Xeon up to 64 gigabytes,high,technology-analysis,p.3 fn.1,Memory scale differentiation between processor tiers
2004-09-intel-64bit-tipping-point-b21860-OBS-018,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,RFID as driver of 64-bit data requirements,RFID tags and point-of-sale devices causing quantum leap in processing and data requirements that may dwarf end-user workloads,medium,technology-analysis,p.3 fn.2,Giga Research cited (Forrester subsidiary); early RFID data volume prediction
2004-09-intel-64bit-tipping-point-b21860-OBS-019,2004-09-intel-64bit-tipping-point-b21860,,,viability-prediction,2004,SOA and Web Services accelerating 64-bit need,Rise of Web Services and Service Oriented Architecture (SOA) simplifying integration across businesses and supply chains; high-volume transactions in real-time; driving 64-bit demand,high,technology-analysis,p.3,Correctly forecasted SOA/web services driving compute scale requirements
2004-09-intel-64bit-tipping-point-b21860-OBS-020,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,EM64T investment protection characterization,IDC: EM64T strategy provides excellent investment protection and additional headroom with few or no drawbacks; will initiate broad move toward 64-bit capable platforms,high,vendor-positioning,p.5,IDC Al Gillen and Jean Bozman cited
2004-09-intel-64bit-tipping-point-b21860-OBS-021,2004-09-intel-64bit-tipping-point-b21860,,,expert-opinion,2004,Itanium Xeon mid-tier selection guidance,"For some mid-tier enterprise applications, best platform choice not obvious; requires close look at software availability, business drivers, and workloads",high,technology-analysis,p.2,Nuanced positioning allowing both platforms to coexist
2004-09-intel-64bit-tipping-point-b21860-OBS-022,2004-09-intel-64bit-tipping-point-b21860,,,viability-prediction,2004,x86-64 dominance for general workloads,EM64T/x86-64 will dominate general-purpose and mainstream enterprise applications; Itanium relegated to high-end business-critical niche,high,technology-analysis,p.2,Core prescient prediction; x86-64 did dominate; Itanium discontinued 2021
