obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
aberdeen-1995-hp-customer-interaction-software-OBS-001,aberdeen-1995-hp-customer-interaction-software,ent-hp,,market-data,1995,cis_market_growth_rate,40% annually or better,high,industry-analysis,1,Aberdeen research shows CIS market growing 40% or better annually
aberdeen-1995-hp-customer-interaction-software-OBS-002,aberdeen-1995-hp-customer-interaction-software,ent-hp,,market-data,1995,cis_total_market_value_1995,>$1.5 billion,high,industry-analysis,4,"Total value of all software, hardware, networking equipment, and services associated with ISV-developed CIS applications will exceed $1.5 billion in 1995"
aberdeen-1995-hp-customer-interaction-software-OBS-003,aberdeen-1995-hp-customer-interaction-software,ent-hp,,market-data,1995,cis_market_growth_rate_projection,40% per year,high,industry-analysis,4,CIS market growing at approximately 40% per year (confirmed in final page)
aberdeen-1995-hp-customer-interaction-software-OBS-004,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-act,expert-opinion,1995,hp_act_customer_sites,>200 call center sites,high,field-research,1,HP ACT deployed at over 200 customer call center sites by December 1995
aberdeen-1995-hp-customer-interaction-software-OBS-005,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-smart-contact,technology-assessment,1995,smart_contact_launch_date,December 1995,high,field-research,1,Smart ContAct initiative publicly unveiled December 1995
aberdeen-1995-hp-customer-interaction-software-OBS-006,aberdeen-1995-hp-customer-interaction-software,ent-hp,,technology-assessment,1995,hp_pso_headcount,3800 individuals,high,field-research,1,HP Professional Services Organization consists of 3800 individuals with client-server implementation experience
aberdeen-1995-hp-customer-interaction-software-OBS-007,aberdeen-1995-hp-customer-interaction-software,ent-hp,,market-data,1995,hp_annual_revenue,$30 billion,high,field-research,3,HP described as a global $30 billion organization
aberdeen-1995-hp-customer-interaction-software-OBS-008,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-ccm,market-data,1995,ccm_price_per_user,$300-$800 per user,high,field-research,2,CCM pricing ranges from $300-$800 per user
aberdeen-1995-hp-customer-interaction-software-OBS-009,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-risc-unix,technology-assessment,1995,hp_server_range,HP K100 (low-end) to T-520 (high-end),high,field-research,2,HP server product line: K100 at low end to 12-way 5621 tpm-C rated T-520 at high end
aberdeen-1995-hp-customer-interaction-software-OBS-010,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-risc-unix,expert-opinion,1995,hp_risc_unix_market_position,leading supplier,high,industry-analysis,2,HP is the leading supplier of commercial RISC/Unix servers
aberdeen-1995-hp-customer-interaction-software-OBS-011,aberdeen-1995-hp-customer-interaction-software,,tech-cti,technology-assessment,1995,cti_complexity,too complex for most user organizations to implement alone,high,industry-analysis,2,CTI is too complex for most user organizations to implement on their own
aberdeen-1995-hp-customer-interaction-software-OBS-012,aberdeen-1995-hp-customer-interaction-software,,tech-cti,technology-assessment,1995,cti_isv_coverage,not forte of most software suppliers,high,industry-analysis,2,"While viewed by most CIS ISVs as critical to overall solution, CTI is not the forte of most software suppliers"
aberdeen-1995-hp-customer-interaction-software-OBS-013,aberdeen-1995-hp-customer-interaction-software,,tech-tsapi,technology-assessment,1995,tsapi_support_timeline,Q1 1996 (planned),medium,field-research,2,CCM will soon support TSAPI in Q1 1996; described as experiencing growing industry support
aberdeen-1995-hp-customer-interaction-software-OBS-014,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-smart-contact,technology-assessment,1995,smart_contact_component_count,7 key parts,high,industry-analysis,1,Aberdeen identified 7 key parts to Smart ContAct program
aberdeen-1995-hp-customer-interaction-software-OBS-015,aberdeen-1995-hp-customer-interaction-software,,tech-cis,market-data,1995,cis_demand_constraint,industry implementation capacity,high,industry-analysis,1,CIS market growth constrained by industry ability to implement systems not by demand
aberdeen-1995-hp-customer-interaction-software-OBS-016,aberdeen-1995-hp-customer-interaction-software,,tech-cis,market-data,1995,cis_buyer_profile,Fortune 1000 companies,high,industry-analysis,1,Buyers are Fortune 1000 companies transitioning from home-grown first-generation CIS systems
aberdeen-1995-hp-customer-interaction-software-OBS-017,aberdeen-1995-hp-customer-interaction-software,,tech-cis,market-data,1995,cis_market_driver_1,increasing customer expectation for service and support,high,industry-analysis,1,First force driving market expansion: ever-increasing customer expectation levels for service and support
aberdeen-1995-hp-customer-interaction-software-OBS-018,aberdeen-1995-hp-customer-interaction-software,,tech-cis,market-data,1995,cis_market_driver_2,new ISV applications and information technologies,high,industry-analysis,1,Second force: entirely new set of applications and information technologies focused on CIS
