"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"TECH001","LIMD (Large-Scale In-Memory Database)","database-architecture","Database technology supporting 5+ gigabytes of in-system main memory enabling high-performance data access by eliminating I/O bottlenecks","evolved","Evolved into modern in-memory databases (SAP HANA"," Oracle TimesTen"," VoltDB","MemSQL/SingleStore), 1994, , SAP HANA; Oracle TimesTen; Redis; SingleStore"
"TECH002","64-bit computing architecture","hardware-architecture","CPU architecture allowing addressable memory far beyond the 2GB limit of 32-bit; foundation for LIMD technology","ubiquitous","64-bit is now universal in server and desktop computing; 32-bit largely obsolete for servers","1992","","64-bit ARM; x86-64"
"TECH003","VLM64 architecture","hardware-architecture","Digital Equipment Corporation's Very Large Memory 64-bit architecture for Alpha servers enabling tens of gigabytes of addressable RAM","obsolete","Proprietary to DEC/Compaq; became obsolete after HP absorbed DEC; replaced by x86-64 platforms","1995","2002","x86-64; Itanium"
"TECH004","Alpha chip (DEC Alpha)","processor","DEC's 64-bit RISC processor powering the Alpha 8200 and 8400 server lines; first major commercial 64-bit server CPU","obsolete","Discontinued after HP acquisition of Compaq; last Alpha CPUs shipped ~2007","1992","2007","x86-64 (Xeon/Opteron)"
"TECH005","MIPS 64-bit (SGI R8000/R10000)","processor","SGI's 64-bit MIPS-based processor; 64-bit but limited to 2GB per process in 1995","obsolete","MIPS processors for commercial servers largely obsolete; MIPS IP discontinued by MIPS Technologies 2021","1994","2010","x86-64"
"TECH006","UltraSPARC 64-bit (Sun)","processor","Sun Microsystems' 64-bit UltraSPARC processor and SunOS adaptation for 64-bit applications","obsolete","SPARC architecture discontinued by Oracle post-2010 Sun acquisition; last SPARC server shipped 2017","1995","2017","x86-64; Oracle SPARC (M-series)"
"TECH007","PA-RISC (HP PA-8000)","processor","HP's 32/64-bit PA-RISC processor planned for HP 9000 Enterprise Parallel Servers; successor PA-8000 was 64-bit","obsolete","HP PA-RISC discontinued; replaced by Itanium then x86-64","1986","2008","Intel Itanium; x86-64"
"TECH008","PowerPC 64-bit (IBM/Motorola)","processor","IBM and Motorola's planned 64-bit PowerPC chipset for upgrading existing PowerPC architectures","evolved","IBM POWER architecture continues as POWER9/POWER10; used in IBM mainframes and HPC; PowerPC in consumer devices largely replaced by ARM","1994","","IBM POWER10; Apple Silicon (ARM)"
"TECH009","Oracle RDBMS 7.x","database-software","Oracle's relational database versions 7.1/7.2/7.3 rearchitected for 64-bit LIMD support with parallel scalability and symmetric data replication","evolved","Oracle 7.x superseded; Oracle database continues as 19c/21c/23c","1992","","Oracle Database 19c/21c"
"TECH010","Sybase System 11","database-software","Sybase's RDBMS with Named Caches (up to 2GB per cache) variable block I/O and symmetric network engines optimized for LIMD hardware","evolved","System 11 superseded by later Sybase/SAP versions; SAP ASE (Adaptive Server Enterprise) is current successor","1995","","SAP ASE (Adaptive Server Enterprise)"
"TECH011","Informix-OnLine 7.x / 8.0","database-software","Informix parallel RDBMS with 64-bit support for LIMD hardware; 8.0 in beta in 1995 with strong data-warehousing performance","evolved","Acquired by IBM 2001; continues as IBM Informix 14.x","1995","","IBM Informix 14.x"
"TECH012","SMP (Symmetric MultiProcessing)","hardware-architecture","Multi-processor architecture sharing memory and OS; dominant scale-up approach for database servers in the 1990s","active","SMP is still the dominant architecture for multi-core server CPUs; continues in modern server platforms","1980","","Multi-core x86-64; AMD EPYC; Intel Xeon"
"TECH013","MPP (Massively Parallel Processing)","hardware-architecture","Architecture with many independent nodes each with own memory connected by high-speed network; used for extreme-scale database queries","active","MPP concepts continue in modern big data platforms (Teradata; AWS Redshift; Snowflake)","1985","","Snowflake; AWS Redshift; Teradata"
"TECH014","TPC-C benchmark","benchmark","Transaction Processing Performance Council benchmark measuring OLTP throughput in transactions per minute (tpmC)","active","TPC-C still actively used as of 2024; benchmark standard for OLTP database performance comparisons","1992","","TPC-E; TPC-H (for analytics)"
"TECH015","Oracle Rdb","database-software","Relational database originally developed by DEC; acquired by Oracle; optimized for VAX/VMS and Alpha environments","evolved","Oracle Rdb continues in niche use on OpenVMS; current version Oracle Rdb 7.4","1984","","Oracle Rdb 7.4 (niche)"
"TECH016","Sybase IQ Accelerator","database-software","Sybase component delivering order-of-magnitude speedup for complex queries using columnar storage techniques","evolved","Evolved into SAP IQ (formerly Sybase IQ); still active as SAP IQ for analytics","1995","","SAP IQ"
"TECH017","Memory Channel bus","hardware-interconnect","Digital's 100 MB/s cluster interconnect bus allowing in-memory data passing between cluster nodes without disk I/O","obsolete","Proprietary DEC interconnect; replaced by InfiniBand and high-speed Ethernet for cluster communications","1995","2002","InfiniBand; RoCE; NVLink"
"TECH018","ATM (Asynchronous Transfer Mode) networking","networking","High-speed networking technology enabling gigabyte-per-second bandwidth requiring fast in-memory buffering","evolved","ATM largely replaced by Ethernet (10GbE; 100GbE) and MPLS in carrier networks","1988","2005","100GbE; MPLS; SDN"
"TECH019","32-bit computing architecture","hardware-architecture","CPU architecture limiting addressable memory to ~2-4GB; the dominant architecture being superseded by 64-bit in 1995","obsolete","32-bit server computing largely obsolete by mid-2000s; 32-bit client computing obsolete by 2020s","1978","2005","64-bit (x86-64; ARM64)"
"TECH020","NonStop Guardian (Tandem)","database-software","Tandem's fault-tolerant RDBMS for its Himalaya line designed for high-availability OLTP without LIMD support in 1995","evolved","Continues as HPE NonStop SQL / NonStop Advanced Server; still used in financial OLTP","1976","","HPE NonStop SQL"
