obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
aberdeen-1995-sun-microsystems-computer-company-OBS-001,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,market-data,1995,Sun commercial server market position,on short list of preferred Unix suppliers in major corporations,high,USER-INTERVIEWS,1,Aberdeen customer interviews confirm Sun on preferred Unix supplier short lists
aberdeen-1995-sun-microsystems-computer-company-OBS-002,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,market-data,1995,Sun founding year,1982,high,DOCUMENT,1,Sun founded 1982; became technical workstation market unit shipment leader
aberdeen-1995-sun-microsystems-computer-company-OBS-003,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SOLARIS,technology-assessment,1995,Solaris OS features,Unix V.4 with SMP extensions and high security levels,high,PRODUCT-EVAL,1,Newest Solaris release at time of study: Unix V.4 base with SMP and security extensions
aberdeen-1995-sun-microsystems-computer-company-OBS-004,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SMP,technology-assessment,1995,commercial server product range,"workgroup (SPARCserver 4/5/20), departmental (1000E), enterprise (SPARCcenter 2000E)",high,PRODUCT-EVAL,2,Full commercial server product line spanning workgroup to enterprise tiers as of 1995
aberdeen-1995-sun-microsystems-computer-company-OBS-005,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-HA-CLUSTER,technology-assessment,1995,HA cluster offerings,SPARCcluster 1000/2000 PDB and SPARCcluster HA,high,PRODUCT-EVAL,2,Sun offers specialized HA servers and parallel database cluster variants
aberdeen-1995-sun-microsystems-computer-company-OBS-006,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-TPC,benchmark-result,1995,database performance optimization,recent TPC benchmark results demonstrate competitive commercial DB performance,medium,BENCHMARK,2,Aberdeen references Sun TPC benchmark results as evidence of commercial RDBMS performance investment
aberdeen-1995-sun-microsystems-computer-company-OBS-007,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-RDBMS-COMM,technology-assessment,1995,commercial buyer top criteria,"performance, scalability, availability, cost of ownership (3-5 year)",high,USER-INTERVIEWS,2,Aberdeen identifies four universal top criteria from commercial server buyers regardless of size/industry
aberdeen-1995-sun-microsystems-computer-company-OBS-008,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,strategy-classification,1995,commercial market entry strategy,leveraging technical installed base + new ISV/marketing programs for commercial apps and mainframe downsizing,high,ANALYST-ASSESSMENT,1,Sun used workstation installed base and mainframe downsizing trend as commercial server entry wedge
aberdeen-1995-sun-microsystems-computer-company-OBS-009,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-UNIX,strategy-classification,1995,open systems strategy,contributed to 12+ worldwide standards organizations; positioned as open systems leader,high,DOCUMENT,1,"Sun contributed to 12+ standards organizations; ""network is the computer"" philosophy"
aberdeen-1995-sun-microsystems-computer-company-OBS-010,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,viability-prediction,1995,commercial Unix server trajectory,Sun will extend commercial market presence beyond technical compute base,high,ANALYST-ASSESSMENT,1,Aberdeen predicts continued growth in Sun commercial server sales based on buyer feedback
aberdeen-1995-sun-microsystems-computer-company-OBS-011,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,viability-prediction,1995,network computing vision,"""network is the computer"" becomes de-facto enterprise standard",high,ANALYST-ASSESSMENT,1,Sun's 1980s vision of networked computing validated; Aberdeen confirms enterprise network computing now de-facto standard
aberdeen-1995-sun-microsystems-computer-company-OBS-012,aberdeen-1995-sun-microsystems-computer-company,ENT-SUN,TECH-SPARC,viability-prediction,1995,SPARC competitive durability,SPARC server line will remain competitive in commercial market,medium,ANALYST-ASSESSMENT,2,Implicit in Aberdeen's bullish profile; study does not flag x86 as competitive threat
