"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-1996-remote-access-cisco-untold-story-OBS-001","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","market-data","1996","Remote access market size estimate 1996","$4 billion","medium","ingest-extraction","industry-analysis","Changing Character","Aberdeen estimate",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-002","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","market-data","2000","Remote access market size projection for 2000","$20 billion","medium","ingest-extraction","industry-analysis","Changing Character","Aberdeen 4-year projection",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-003","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","market-data","2000","Dial-up market size projection for 2000","Over $5.5 billion","medium","ingest-extraction","industry-analysis","Changing Character","",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-004","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","benchmark-result","1996","Cisco enterprise branch-to-branch market share","More than 60%; over 1 million installed units","high","ingest-extraction","field-research","Market Snapshot","Moved from 50% to 60%+",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-005","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","cisco-as5200","benchmark-result","1996","AS5200 worldwide customer count (October 1996)","Over 700 customers including 10 major telcos, 5 ISPs, several IXC services","high","ingest-extraction","field-research","AS5200 Quiet Success","",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-006","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","cisco-as5200","benchmark-result","1996","AS5200 new order unit growth trend","Units per customer on new orders tripled since August 1996","high","ingest-extraction","field-research","AS5200 Quiet Success","Rapid adoption acceleration",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-007","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","cisco-ios","strategy-classification","1996","IOS software competitive moat","Robustness and depth of IOS software is Cisco's primary value-add; cross-platform consistency","high","ingest-extraction","expert-opinion","Aberdeen Conclusions","Named as first of four competitive weapons",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-008","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","strategy-classification","1996","Cisco competitive weapons framework","Four weapons: IOS software, acquisition capability, large loyal customer base, excellent support","high","ingest-extraction","expert-opinion","Aberdeen Conclusions","Framework factor summary",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-009","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","","strategy-classification","1996","Cisco acquisition strategy","Timely acquisition of technologies for rapidly changing market; Combinet, Newport, Telebit MICA","high","ingest-extraction","document-review","Telebit Acquisition","M&A as tech fill strategy",""
"aberdeen-1996-remote-access-cisco-untold-story-OBS-010","aberdeen-1996-remote-access-cisco-untold-story","cisco-systems","mica-technology","technology-assessment","1996","MICA technology benefit","High-density digital modem concentration for next-gen ISP access servers; enables sub-T3 installations","high","ingest-extraction","expert-opinion","Telebit Acquisition","Cost per port reduction driver",""
