"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-001","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","market-data","1995","Sun Commercial Market Revenue","Over $2 billion in sales from commercial applications market in 1995","high","ingest-extraction","industry-analysis","Market Position","Sun solidified as top 3 Unix commercial server vendor in 1995",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-002","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","market-data","1996","Sun Revenue Growth (9 months ending March 1996)","$5.1 billion in revenues for 9 months ending March 1996, up nearly 20% over prior year","high","ingest-extraction","industry-analysis","Organizational Structure and Financials","Nine-month revenue nearly equaled full FY1995 total revenues",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-003","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","viability-prediction","1996","Sun Commercial Market Growth Forecast","Aberdeen forecasts another significant increase in Sun's revenues from commercial accounts for 1996","high","ingest-extraction","industry-analysis","Market Position","Based on UltraSPARC launch and commercial strategy momentum",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-004","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","actual-outcome","2000","Sun Commercial Market Growth - Outcome","Sun achieved peak revenues of ~$15B by FY2001; commercial Unix server leadership maintained through late 1990s before internet bust","verified","web-source","document-review","post-publication","Aberdeen's forecast proved accurate for 1996-2000; Sun later declined and was acquired by Oracle in 2010",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-005","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","ultrasparc","benchmark-result","1996","UltraSPARC vs SPARC Performance","2x processing power, 5x bandwidth, 20% latency reduction vs prior SPARC architecture","high","ingest-extraction","benchmarking","Key Technologies and Products","First UltraSPARC shipped at 143/167/200MHz in April 1996",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-006","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","solaris","benchmark-result","1996","Solaris SMP Scalability vs Competitors","Other Unix SMP implementations require 15-30% CPU overhead when adding processors; Solaris 2.5 finely tuned for near-linear SMP scaling","high","ingest-extraction","benchmarking","Operating System","NT Server shown to have higher overhead than Solaris in SMP configurations",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-007","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","java","technology-assessment","1996","Java Market Impact Assessment","Java has taken the ISV community including industry giants by storm; many business-critical applications expected within following months","high","ingest-extraction","industry-analysis","Commercial Computing Strategies","Aberdeen's assessment in 1996 of Java's commercial momentum proved highly accurate",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-008","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","java","viability-prediction","1996","Java as Enterprise Platform","Aberdeen opinion: Sun has again set industry vision for important emerging IS opportunity with Java internet/intranet applications","verified","outcome-linkage","expert-opinion","Commercial Computing Strategies","Aberdeen assesses Java+Intranet as transformative",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-009","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","java","actual-outcome","2010","Java as Enterprise Platform - Outcome","Java became the dominant enterprise application runtime; billions of devices; Oracle acquired Sun for $7.4B largely for Java IP","verified","web-source","document-review","post-publication","Aberdeen's assessment proved highly accurate; Java remains #1 enterprise language by many measures",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-010","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","strategy-classification","1996","Network Business Advantage Strategy","Three-pillar commercial strategy: BusinessWare (ERP/transactional), Customer Management Solutions, Decision Warehouse (analytics)","high","ingest-extraction","industry-analysis","Commercial Computing Strategies","Sun's structured approach to penetrating commercial accounts from prior technical workstation base",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-011","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","framework-factor","1996","IS Buying Criteria: Scalability","Ability to efficiently and cost-effectively scale system as needs grow","high","ingest-extraction","field-research","Meeting Customer Requirements","First of four canonical IS buying criteria identified by Aberdeen research",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-012","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","framework-factor","1996","IS Buying Criteria: Availability","Ability to keep total system availability 7x24","high","ingest-extraction","field-research","Meeting Customer Requirements","Second buying criterion; 24/7 uptime requirement from commercial users",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-013","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","framework-factor","1996","IS Buying Criteria: Manageability","Ability to easily manage the system","high","ingest-extraction","field-research","Meeting Customer Requirements","Third buying criterion",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-014","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","framework-factor","1996","IS Buying Criteria: ISV Software Compatibility","Ability of software packages to work well with total system solution","high","ingest-extraction","field-research","Meeting Customer Requirements","Fourth buying criterion; ISV ecosystem critical for commercial adoption",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-015","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","netra-servers","technology-assessment","1996","Sun Internet Commerce Positioning","New Internet-based electronic commerce programs announced March 1996; Netra servers for remote e-commerce deployment","high","ingest-extraction","industry-analysis","Commercial Computing Strategies","Early commercial e-commerce infrastructure; presaged explosion of .com era",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-016","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","expert-opinion","1996","Network is the Computer Vindication","Sun's 'network is the computer' concept derided in mid-1980s is now a de facto standard for distributed information systems design","high","ingest-extraction","industry-analysis","Market Position","Aberdeen validates Sun's foundational vision; concept became cloud computing foundation",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-017","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","solaris","strategy-classification","1996","Sun OS Strategy","Pure Unix play with Solaris 2.5 at center stage; no OS identity crisis unlike multi-platform competitors","high","ingest-extraction","competitive-profiling","Operating System","Contrasted with HP and IBM multi-OS strategies; Sun's single-platform focus seen as advantage",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-018","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","","market-data","1996","Sun ISV Ecosystem Size","Sun has contributed to more than a dozen worldwide standards organizations; extensive ISV partner network","medium","ingest-extraction","industry-analysis","Market Position","Standards participation cited as competitive advantage for ISV ecosystem",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-019","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","java","technology-assessment","1996","Java Applet Integration with Legacy Systems","Sun professional services specializes in building links between existing production applications and new distributed Java applets","high","ingest-extraction","industry-analysis","Commercial Computing Strategies","Java as bridge between legacy data center and new internet applications",""
"aberdeen-1996-sun-microsystems-ultracomputing-business-OBS-020","aberdeen-1996-sun-microsystems-ultracomputing-business","sun-microsystems","ultrasparc","technology-assessment","1996","UltraSPARC Architecture Design Generation","New Enterprise Server line is totally new design inside and out; not a simple update of older SPARCservers","high","ingest-extraction","industry-analysis","Key Technologies and Products","Emphasizes architectural leap rather than incremental update",""
