"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-001","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","telechips-access","technology-assessment","1996","Access CTI benchmark claim","Access raises the bar for network client CTI; new benchmark for ease of use, network admin simplicity, and application openness","medium","ingest-extraction","competitive-profiling","p.1 (A New Breed of Appliance)","Aberdeen's opening assessment of Access competitive position",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-002","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","telechips-access","technology-assessment","1996","Access hardware architecture differentiation","E1-like synchronous bus with variable-length time slots; addressable by all processing/peripheral elements; unique multi-bus integration","high","ingest-extraction","competitive-profiling","p.1 (Developer's Dream)","Core technical differentiator enabling multimedia transport",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-003","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","windows-31","technology-assessment","1996","Access OS: Windows 3.1 in ROM","Runs Windows 3.1 in ROM; software upgradeable only from server or by trained personnel; near-indestructible reliability","high","ingest-extraction","competitive-profiling","p.1 (Developer's Dream)","ROM-based OS strategy for stability and tamper-proofing",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-004","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","microsoft-tapi","strategy-classification","1996","Telechips Microsoft TAPI partnership","Built-in hardware support for Microsoft TAPI; co-development with Microsoft for compatibility","high","ingest-extraction","competitive-profiling","p.1 (Developer's Dream)","Key ISV/OEM partnership for enterprise telephony ecosystem",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-005","aberdeen-1996-telechips-access-pc-telephony-interaction","tandem-computers","telechips-access","market-data","1996","Tandem Access field trial application","Tandem Computer anticipates using Access as ruggedized lottery terminal in convenience stores","medium","ingest-extraction","field-research","p.1 (The Computer That Isn't)","Named enterprise customer planning Access deployment",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-006","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","cti-new-generation","viability-prediction","1996","Telechips market opportunity prediction","Aberdeen predicts broad and deep market for Telechips 'new CTI' technology across Global 1000 enterprises","medium","ingest-extraction","expert-opinion","p.1 (Quality Network Citizen)","Aberdeen's forward-looking market assessment",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-007","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","cti-new-generation","actual-outcome","2005","Telechips actual market outcome","Telechips Corporation did not achieve mass market scale; company dissolved; CTI appliance category displaced by smartphones and UCaaS platforms","medium","ingest-extraction","document-review","N/A (post-publication)","No evidence of commercial success at scale; iPhone (2007) disrupted entire CTI appliance market",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-008","aberdeen-1996-telechips-access-pc-telephony-interaction","","cti-new-generation","expert-opinion","1996","Gap between computer and telco suppliers in CTI","Most computer suppliers treat telephony as just another application; telco suppliers cannot develop software in timely/cost-effective manner","high","ingest-extraction","expert-opinion","p.1-2 (The Benefits of New CTI)","Aberdeen's structural market gap analysis; accurate observation in 1996",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-009","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","telechips-access","strategy-classification","1996","Telechips strategic positioning","First-mover in convergent voice-data appliance space; master of both computer and telephony domains","medium","ingest-extraction","competitive-profiling","p.2 (The Benefits of New CTI)","Aberdeen's characterization of Telechips competitive advantage",""
"aberdeen-1996-telechips-access-pc-telephony-interaction-OBS-010","aberdeen-1996-telechips-access-pc-telephony-interaction","telechips-corporation","telechips-access","technology-assessment","1996","Access target use cases","Kiosk-based sales/service, order entry automation, informational services to non-PC-literate users, point-of-sale deployment","high","ingest-extraction","competitive-profiling","p.2 (Conclusion)","Market applications identified by Aberdeen from field research",""
