"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ibm-as400","IBM AS/400","platform","IBM","1988-2000","mature","legacy-supported","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Renamed iSeries 2000, then System i, then IBM i; still active as IBM Power Systems running IBM i in 2025"
"nt-server-40","Microsoft NT Server 4.0","platform","Microsoft","1993-2003","emerging","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Integrated into AS/400 Integrated PC Server; evolved to Windows Server 2000+"
"os400","OS/400","platform","IBM","1988-2008","mature","legacy-supported","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Renamed i5/OS then IBM i; continues as IBM i in 2025"
"integrated-pc-server","IBM Integrated PC Server (FSIOP)","platform","IBM","1994-2002","emerging","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Intel Pentium Pro 200MHz board in AS/400 slot; original name FSIOP ('fizzy-op')"
"lan-server-400","IBM LAN Server/400","platform","IBM","1992-2000","mature","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","IBM's NOS on AS/400 prior to NT integration; OS/2-based"
"novell-netware","Novell NetWare","platform","Novell","1983-2009","mature","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Third NOS option on Integrated PC Server alongside LAN Server/400 and NT"
"backoffice-suite","Microsoft BackOffice Suite","application","Microsoft","1994-2002","emerging","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","SQL Server, Exchange, Internet Exchange; Aberdeen notes AS/400 better for transaction processing"
"lotus-domino","Lotus Domino 4.5","application","IBM/Lotus","1996-2015","emerging","legacy-supported","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Web-enabled Notes; available on AS/400 Integrated PC Server May 1997; native mode expected year-end 1997"
"odbc","ODBC (Open Database Connectivity)","protocol","Microsoft/IODBC","1992-present","mature","active","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","Key integration point between DB2/400 and NT applications"
"db2-400","DB2/400","application","IBM","1988-present","mature","active","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","AS/400 integrated database; data transferred to NT apps via ODBC"
"ibm-network-station","IBM Network Station","platform","IBM","1996-2001","emerging","obsolete","aberdeen-1997-as400-nt-server-ibm-microsoft-working-together","IBM's Network Computer concept; cited alongside AS/400+NT as IBM's network computing vision"
