"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-001","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","","market-data","1996","Lawson FY1996 revenues","$101.8 million (46% increase over prior year)","high","ingest-extraction","competitive-profiling","p.5 Financials","Fiscal year ending May 31; joined over-$100M club in FY1996",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-002","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","","market-data","1997","Lawson customer count","Over 2,300 customers","high","ingest-extraction","competitive-profiling","p.5 Financials","Across AS/400, Unix, and Windows NT operating environments",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-003","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","","market-data","1997","Lawson employee count","Over 800 employees","high","ingest-extraction","competitive-profiling","p.5 Sales and Distribution","14 North American offices; UK subsidiary; 7 international distributors; expanding international affiliates",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-004","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","lawson-insight-bms","framework-factor","1997","Lawson Insight cornerstone 1","Process Orientation — cross-functional business processes via Lawson Process Suites (Financials, HR, Procurement, Supply Chain)","high","ingest-extraction","competitive-profiling","p.1 Executive Summary","Replaces functional silo orientation; based on BPR learning that operations are cross-functional",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-005","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","activity-based-management","framework-factor","1997","Lawson Insight cornerstone 2","Event-based Management — Activity-Based Management with financial and process data for decision support","high","ingest-extraction","competitive-profiling","p.1 Executive Summary","ABM implemented via Activity Repository (intelligent data warehouse synchronized with GL)",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-006","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","lawson-insight-bms","framework-factor","1997","Lawson Insight cornerstone 3","Continual Improvement — multi-level cross-organizational workflow enabling process evolution","high","ingest-extraction","competitive-profiling","p.1 Executive Summary","Workflow encompasses personal, collaborative (workgroup), and enterprise capabilities",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-007","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","lawson-webdesktop","framework-factor","1997","Lawson Insight cornerstone 4","Ubiquitous Information Access — Drill-Around analysis, OLAP, web-deployable WebDesktop and Web Service Centers","high","ingest-extraction","competitive-profiling","p.1 Executive Summary","Lawson's trademark Drill-Around analysis; WebDesktop in second release by May 1997",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-008","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","lawson-webdesktop","technology-assessment","1997","WebDesktop maturity","Second release; full BMS functionality from browser; Insight screens as JAVA forms; supports JavaScript and Microsoft Office integration","high","ingest-extraction","competitive-profiling","p.4","Phase II to add JAVA Server support for true dynamic B2B and B2C electronic commerce",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-009","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","activity-based-management","technology-assessment","1997","ABM architecture differentiation","Activity Repository as intelligent data warehouse: synchronized with GL yet unconstrained by GL metadata model; avoids GL performance degradation","high","ingest-extraction","competitive-profiling","p.3","Contrasted with competitors who subvert GL with ABC data — simplistic but inflexible",""
"aberdeen-1997-lawson-insight-process-orientation-business-management-OBS-010","aberdeen-1997-lawson-insight-process-orientation-business-management","lawson-software","lawson-web-service-centers","technology-assessment","1997","Web Service Centers coverage","6 pre-built web apps: Employee Service Center, Supervisor Service Center, Internal Procurement Center, Customer Information Center, Vendor Information Center, Financial Information Center","high","ingest-extraction","competitive-profiling","p.4 Table 1","Ready-to-go pre-built web applications for immediate Internet business benefits",""
