"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-001","boston-globe-dec-steul-cfo-resigns-1994-4013c6","digital-equipment-corp","dec-q3-1994-loss","market-data","1994","Q3 surprise loss","$183M loss announced April 15, 1994; stock plummeted; analysts criticized DEC's inability to predict its own results","verified","ingest-extraction","company-announcement","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-002","boston-globe-dec-steul-cfo-resigns-1994-4013c6","william-m-steul","","market-data","1994","Steul resignation","DEC CFO William M. Steul, 51, resigned May 1994; 22-year DEC veteran; CFO since June 1992","verified","ingest-extraction","company-announcement","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-003","boston-globe-dec-steul-cfo-resigns-1994-4013c6","edward-e-lucente","","market-data","1994","Lucente earlier departure","DEC worldwide sales chief Edward E. Lucente (also #2 exec) left days after April 15 loss","verified","ingest-extraction","company-announcement","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-004","boston-globe-dec-steul-cfo-resigns-1994-4013c6","vincent-j-mullarkey","","market-data","1994","Mullarkey CFO promotion","Vincent J. Mullarkey, 46, corporate controller (joined DEC 1971), promoted to VP/CFO","verified","ingest-extraction","company-announcement","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-005","boston-globe-dec-steul-cfo-resigns-1994-4013c6","franc-romano","dec-financial-accounting-system","expert-opinion","1994","Romano critique of Mullarkey","'The only financial experience Vin has ever had was with Digital. I don't believe he brings the broad perspective that is necessary there or the cash management skills the company is going to need.'","verified","ingest-extraction","expert-quote","p.1","Aberdeen Group; former DEC employee"
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-006","boston-globe-dec-steul-cfo-resigns-1994-4013c6","richard-buchanan","dec-financial-accounting-system","expert-opinion","1994","Buchanan counter-perspective","DEC's financial accounting system 'is so arcane and quite specific to the history that Digital has passed through. To bring in an outsider to decipher that would be tough to do.' Also: 'is broken in many ways and needs to be fixed.'","verified","ingest-extraction","expert-quote","p.1","Forrester Research; offers nuanced view"
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-007","boston-globe-dec-steul-cfo-resigns-1994-4013c6","franc-romano","","personal-recollection","1994","Romano's DEC ties","Romano was a former DEC employee — gives him insider perspective on the financial-organization politics","high","ingest-extraction","biographical-archival","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-008","boston-globe-dec-steul-cfo-resigns-1994-4013c6","james-osterhoff","","market-data","1994","Osterhoff predecessor context","Steul's predecessor at DEC was James Osterhoff (Ford Motor recruit) — 'highly regarded for imposing financial discipline'","verified","ingest-extraction","historical-context","p.1",""
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-009","boston-globe-dec-steul-cfo-resigns-1994-4013c6","kenneth-h-olsen","","expert-opinion","1994","Steul appointment timing","Steul named CFO by Olsen in June 1992, weeks before board asked Olsen to resign as president — 'rise had been controversial because he had not worked in the finance operation for more than a decade'","high","ingest-extraction","historical-context","p.1","Important political context for the resignation"
"boston-globe-dec-steul-cfo-resigns-1994-4013c6-OBS-010","boston-globe-dec-steul-cfo-resigns-1994-4013c6","digital-equipment-corp","","actual-outcome","1998","DEC sold to Compaq","DEC sold to Compaq Computer in 1998 for $9.6B — the consolidation Kastner predicted in 1989 WSJ quote (Honeywell Bull article) extended to DEC","verified","web-source","historical-record","follow-on","Then HP acquired Compaq 2002"
