"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"cnet-news","CNET News","company","tech-news-media","active","","1995-present","cnet-shankland-ibm-itanium-x450-2003-c91608","CBS Interactive tech-news site"
"stephen-shankland-cnet","Stephen Shankland","person","tech-journalism","active","","1990s-present","cnet-shankland-ibm-itanium-x450-2003-c91608","CNET News senior writer"
"ibm-corp","IBM Corporation","company","computing","active","","1911-present","cnet-shankland-ibm-itanium-x450-2003-c91608",""
"intel-corp","Intel Corporation","company","semiconductors","active","","1968-present","cnet-shankland-ibm-itanium-x450-2003-c91608",""
"hewlett-packard","Hewlett-Packard","company","computing-hardware","split","HP Inc + HPE (2015)","1939-2015","cnet-shankland-ibm-itanium-x450-2003-c91608",""
"amd","Advanced Micro Devices","company","semiconductors","active","","1969-present","cnet-shankland-ibm-itanium-x450-2003-c91608",""
"microsoft","Microsoft Corporation","company","software","active","","1975-present","cnet-shankland-ibm-itanium-x450-2003-c91608",""
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1980s-present","cnet-shankland-ibm-itanium-x450-2003-c91608","Aberdeen Group co-founder, EVP/CRO; later Scott-Page Associates"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spectrum Equity (2017)","1988-present","cnet-shankland-ibm-itanium-x450-2003-c91608","Boston-based research firm"
"karl-advani-ibm","Karl Advani","person","IBM-product-mgmt","unknown","","1990s-2000s","cnet-shankland-ibm-itanium-x450-2003-c91608","IBM Itanium product spokesperson"
"digital-equipment-corp","Digital Equipment Corporation","company","computing","acquired","Compaq (1998); HP (2002)","1957-1998","cnet-shankland-ibm-itanium-x450-2003-c91608","Cited as cautionary one-architecture analogue"
"sun-microsystems","Sun Microsystems","company","computing","acquired","Oracle (2010)","1982-2010","cnet-shankland-ibm-itanium-x450-2003-c91608",""
