"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-001","cnet-shankland-ibm-itanium-x450-2003-c91608","ibm-corp","ibm-x450","market-data","2003","x450 launch pricing","Prices for x450 begin at $25,999 for single-processor; most customers pay ~$38,000 for setup with two 1GHz Itanium 2 processors with 3MB cache","high","vendor-stmt","online",""
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-002","cnet-shankland-ibm-itanium-x450-2003-c91608","ibm-corp","intel-madison","market-data","2003","16-processor sibling roadmap","Larger 16-processor x450 sibling using Madison Itanium 2 6M and second-gen EXA due by end of year","high","vendor-stmt","online",""
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-003","cnet-shankland-ibm-itanium-x450-2003-c91608","peter-s-kastner","intel-itanium","expert-opinion","2003","Itanium share-gain prediction","There's no doubt that Itanium machines will begin to take material market share away from other architectures going forward this year","high","expert-opinion","online","Kastner verbatim — partially validated; Itanium took share at high end but Xeon dominated"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-004","cnet-shankland-ibm-itanium-x450-2003-c91608","peter-s-kastner","intel-xeon","expert-opinion","2003","Xeon revenue dominance over Itanium","Xeon-based systems likely will bring in more revenue for at least the next five years","high","expert-opinion","online","Validated — Xeon revenue stayed >10x Itanium through 2008"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-005","cnet-shankland-ibm-itanium-x450-2003-c91608","peter-s-kastner","ibm-x450","expert-opinion","2003","IBM strategic timing forced by Opteron announcement","IBM had to release its Itanium product soon, given the plans it announced last week to sell some servers using AMD's Opteron processor. IBM had to have a strong Intel 32-bit and 64-bit product line in order not to confuse customers into thinking that there's some unannounced transition to AMD in the cards.","high","expert-opinion","online","Kastner verbatim"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-006","cnet-shankland-ibm-itanium-x450-2003-c91608","hewlett-packard","intel-itanium","expert-opinion","2003","HP all-in Itanium strategic posture","IBM's Itanium support trails that of rival Hewlett-Packard, which is betting the company on Itanium","high","expert-opinion","online","Kastner verbatim — historic phrasing of HP-Itanium risk"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-007","cnet-shankland-ibm-itanium-x450-2003-c91608","ibm-corp","intel-itanium","market-data","2003","Itanium accepted into IBM 4-line server portfolio","Itanium acceptance means IBM contends with four server processor families: Xeon/Itanium (xSeries), Power4 (pSeries/iSeries), proprietary z (zSeries)","high","primary-source","online","IBM Karl Advani: too much simplicity also a problem"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-008","cnet-shankland-ibm-itanium-x450-2003-c91608","ibm-corp","intel-itanium","expert-opinion","2003","DEC/Sun analogue","Digital Equipment in the 1980s and Sun (Microsystems) in the 1990s showed that one-size-fits-all model is not sustainable","high","primary-source","online","Advani comment cited as DEC/Sun analogue"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-009","cnet-shankland-ibm-itanium-x450-2003-c91608","intel-corp","intel-itanium","market-data","2003","Earlier Itanium failure","IBM previously sold a server with first-gen Itanium ('Merced') which arrived late and performed poorly; only positioned for developer rebuilds, not real-world use","high","primary-source","online","Advani frame on Merced"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-010","cnet-shankland-ibm-itanium-x450-2003-c91608","intel-corp","ia64-x86-emulation","market-data","2003","Itanium incompatibility with Pentium/Xeon software","Itanium's debut hampered by inability to run older Pentium/Xeon software effectively; Intel addressing with new emulation software","high","primary-source","online","Persistent Itanium liability cited by Shankland"
"cnet-shankland-ibm-itanium-x450-2003-c91608-OBS-011","cnet-shankland-ibm-itanium-x450-2003-c91608","peter-s-kastner","","biographical","2003","Kastner role at Aberdeen 2003-04","Aberdeen Group analyst Peter Kastner","high","primary-source","online",""
