"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-001","computerworld-stratus-xa2000-launch-1987-d9d143","peter-s-kastner","","affiliation","1987","Kastner role and employer","Peter S. Kastner, manager of marketing support programs for Stratus","high","ingest-extraction","primary-source","1","Third pre-Aberdeen Stratus title (after 'communications director' 1982 and 'manager of marketing development' 1982/1987-CW-OLTP)",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-002","computerworld-stratus-xa2000-launch-1987-d9d143","peter-s-kastner","motorola-68881","commentary","1987","Kastner FP coprocessor framing","68881 designed to help OLTP users perform financial modeling; NO plans to enter scientific or engineering markets","high","ingest-extraction","primary-source","1","Direct Kastner quote on FP-coprocessor positioning",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-003","computerworld-stratus-xa2000-launch-1987-d9d143","william-e-foster","","affiliation","1987","Foster Stratus role","William E. Foster, Stratus Chief Executive Officer","high","ingest-extraction","primary-source","1","Stratus CEO 1987",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-004","computerworld-stratus-xa2000-launch-1987-d9d143","william-e-foster","oltp-45pct-growth-forecast","commentary","1987","Foster OLTP forecast","Selling into a market that has an insatiable appetite for tps; 45% annual growth over next 5 years","high","ingest-extraction","primary-source","1","Verbatim Foster quote and design assumption",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-005","computerworld-stratus-xa2000-launch-1987-d9d143","yankee-group","stratus-xa2000-140","commentary","1987","Henkel VLX/3090 class framing","First time Stratus has gotten into the VLX or IBM 3090 class in OLTP performance","high","ingest-extraction","primary-source","1","Thomas Henkel, Yankee Group analyst",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-006","computerworld-stratus-xa2000-launch-1987-d9d143","yankee-group","ibm-system-88","commentary","1987","Henkel IBM/Stratus question","Questioned how long IBM will maintain its relationship with Stratus if Stratus continues to compete with 3090 mainframes","high","ingest-extraction","primary-source","1","Henkel skeptical view",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-007","computerworld-stratus-xa2000-launch-1987-d9d143","stratus-computer","stratus-xa2000-series","benchmark-result","1987","ET-1 ratings (Models 110-140)","15 / 27-29 / 37-40 / 47-53 tps for Models 110 / 120 / 130 / 140","high","ingest-extraction","primary-source-vendor","1","Stratus claimed ET-1 throughput",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-008","computerworld-stratus-xa2000-launch-1987-d9d143","stratus-computer","stratus-xa2000-140","benchmark-result","1987","Performance multiplier vs XA600","3x XA600 ET-1; 2.5x XA600 TP-1","high","ingest-extraction","primary-source-vendor","1","Stratus claimed XA2000 Model 140 vs XA600",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-009","computerworld-stratus-xa2000-launch-1987-d9d143","stratus-computer","stratus-xa2000-series","product-spec","1987","Memory and storage","Up to 64 MB memory, 64 KB cache, 128 MB virtual address space, 46 GB disk","high","ingest-extraction","primary-source-vendor","1","XA2000 capacity",""
"computerworld-stratus-xa2000-launch-1987-d9d143-OBS-010","computerworld-stratus-xa2000-launch-1987-d9d143","stratus-computer","stratus-xa2000-series","market-context","1987","Pricing","$260K-$500K Model 110; $770K-$1.1M Model 140; transaction-per-second cost half of earlier products","high","ingest-extraction","primary-source-vendor","1","Stratus 1987 list pricing and tps-cost claim",""
