"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"informix-software","Informix Software","company","database","acquired","IBM (2001)","1980-2001","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","RDBMS vendor; Dynamic Scalable Architecture launched 1994"
"oracle-corporation","Oracle Corporation","company","database-and-applications","active","","1977-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Relational database market leader"
"sybase-inc","Sybase, Inc.","company","database","acquired","SAP (2010)","1984-2010","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","RDBMS vendor; competitor to Oracle and Informix"
"idc-corporation","IDC","firm","IT-research","active","","1964-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Market-research firm; competitor to Aberdeen"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (2007); Spiceworks Ziff Davis","1988-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Boston-based IT research firm"
"john-morrell-idc","John Morrell","person","IT-analyst","active","","1990s","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","IDC analyst quoted in Informix DSA ad"
"david-mcgoveran","David McGoveran","person","IT-consultant","active","","1980s-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Alternative Technologies consultant quoted in Informix ad"
"rob-tholomoler","Rob Tholomoler","person","IT-analyst","active","","1990s","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Mota Group analyst quoted in Informix ad"
"gordon-kerr-hyatt","Gordon Kerr","person","enterprise-IT-executive","active","","1990s","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","VP Information Systems, Hyatt Hotels and Resorts; quoted"
"michael-bloomberg-person","Michael Bloomberg","person","financial-IT-executive","active","","1942-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Bloomberg Financial Markets founder; quoted in Informix ad"
"hyatt-hotels","Hyatt Hotels and Resorts","company","hospitality","active","","1957-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Hospitality firm; cited Informix DSA reference customer"
"bloomberg-financial-markets","Bloomberg Financial Markets","company","financial-data-and-news","active","","1981-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Bloomberg LP; cited Informix DSA reference customer"
"alternative-technologies","Alternative Technologies","firm","IT-consulting","active","","1980s-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","McGoveran's database-consulting firm"
"mota-group","Mota Group","firm","IT-research","active","","1990s","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Tholomoler's IT-research firm"
"datamation","Datamation","publication","IT-trade-press","online-only","Datamation.com (now QuinStreet)","1957-present","datamation-informix-dsa-ad-aberdeen-cite-a9f18d","Long-running IT publication; print-to-online transition late 1990s"
