"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002) -> Spiceworks Ziff Davis","1988-present","death-of-crt-monitor-pcmag-2002-977c17","Kastner's employer 2002"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1960s-present","death-of-crt-monitor-pcmag-2002-977c17","Aberdeen Group VP and senior researcher 2002; pre-CRO"
"isuppli-corp","iSuppli Corporation (Stanford Resources)","firm","industry-analyst","acquired","IHS (2010) -> IHS Markit -> S&P Global","1999-2010","death-of-crt-monitor-pcmag-2002-977c17","El Segundo CA electronics/display market research; Stanford Resources was predecessor/subsidiary"
"rhonda-alexander-isuppli","Rhonda Alexander","person","industry-analyst","unknown [REVIEW]","","2000s-2010s","death-of-crt-monitor-pcmag-2002-977c17","iSuppli/Stanford Resources display analyst"
"planar-systems","Planar Systems","company","display-hardware","acquired","Leyard Optoelectronic (2015-10-27)","1983-present","death-of-crt-monitor-pcmag-2002-977c17","Beaverton OR LCD/digital-signage maker; acquired by China's Leyard 2015"
"rob-baumgartner-planar","Rob Baumgartner","person","corporate-product-management","unknown [REVIEW]","","2000s","death-of-crt-monitor-pcmag-2002-977c17","Planar Systems product manager 2002"
"university-of-minnesota","University of Minnesota","institution","higher-education","active","","1851-present","death-of-crt-monitor-pcmag-2002-977c17","Carlson School of Management home institution"
"thomas-murtha-umn","Thomas Murtha","person","academic","unknown [REVIEW]","","1990s-2000s","death-of-crt-monitor-pcmag-2002-977c17","U Minnesota Carlson School of Management professor; co-author of Managing New Industry Creation book"
"stephanie-lenway-umn","Stephanie Ann Lenway","person","academic","active","","1990s-present","death-of-crt-monitor-pcmag-2002-977c17","U Minnesota Carlson School of Management professor; co-author of Managing New Industry Creation book"
"pc-magazine","PC Magazine / PCMag.com","publication","tech-magazine","active (online only since 2009)","Ziff Davis","1982-present","death-of-crt-monitor-pcmag-2002-977c17","Monthly print until 2009; ongoing online"
"cade-metz-journalist","Cade Metz","person","journalist","active","","2000s-present","death-of-crt-monitor-pcmag-2002-977c17","Former PC Magazine senior writer; later WIRED, now NYT technology correspondent"
"ziff-davis","Ziff Davis Publishing Holdings","company","tech-publishing","active","","1927-present","death-of-crt-monitor-pcmag-2002-977c17","PC Magazine parent"
"lance-ulanoff-pcmag","Lance Ulanoff","person","journalist","active","","1990s-present","death-of-crt-monitor-pcmag-2002-977c17","PCMag.com senior executive producer 2002"
