"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"death-of-crt-monitor-pcmag-2002-977c17-OBS-001","death-of-crt-monitor-pcmag-2002-977c17","peter-s-kastner","lcd-monitor","market-data","2002","LCD share of desktop-display market","LCDs account for only 40 percent of the desktop display market, with roughly 2 million units sold per month","high","ingest-extraction","analyst-research","p1","Kastner's higher estimate vs Alexander's 29%",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-002","death-of-crt-monitor-pcmag-2002-977c17","peter-s-kastner","lcd-monitor","market-data","2002","Monthly LCD revenue","LCD sales at $800 million a month, with roughly 2 million displays selling for an average price of $400 each","high","ingest-extraction","analyst-research","p1","Kastner monthly market sizing",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-003","death-of-crt-monitor-pcmag-2002-977c17","rhonda-alexander-isuppli","lcd-monitor","market-data","2002","LCD share (alternative lower estimate)","LCD market share at around 29 percent","high","ingest-extraction","analyst-research","p1","iSuppli/Stanford Resources figure",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-004","death-of-crt-monitor-pcmag-2002-977c17","rhonda-alexander-isuppli","lcd-monitor","market-data","2000","LCD share Q1 2000","3 percent in the first quarter of 2000","high","ingest-extraction","analyst-research","p1","iSuppli/Stanford Resources historical data",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-005","death-of-crt-monitor-pcmag-2002-977c17","rhonda-alexander-isuppli","lcd-monitor","market-data","2001","LCD share early 2001","5 percent in early 2001","high","ingest-extraction","analyst-research","p1","iSuppli/Stanford Resources historical data",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-006","death-of-crt-monitor-pcmag-2002-977c17","rhonda-alexander-isuppli","lcd-monitor","market-data","2002","LCD share January 2002","21 percent in January of this year","high","ingest-extraction","analyst-research","p1","iSuppli/Stanford Resources historical data",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-007","death-of-crt-monitor-pcmag-2002-977c17","peter-s-kastner","lcd-monitor","viability-prediction","2003","LCDs to outnumber CRTs as standard PC monitor in 2003","In 2003, they say, we'll finally see LCDs outnumber CRTs as the standard monitor sold with PCs.","verified","outcome-linkage","analyst-forecast","p1","Joint Kastner/Alexander prediction",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-008","death-of-crt-monitor-pcmag-2002-977c17","peter-s-kastner","lcd-monitor","expert-opinion","2002","LCDs weak on full-motion video; CRTs retain niche","Because there's often a latency when it comes to displaying full-motion video on an LCD, games freaks and DVD aficionados are going to quibble with the picture and probably will stick with CRTs for the time being","high","ingest-extraction","analyst-commentary","p1","Kastner caveat about gaming/video latency",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-009","death-of-crt-monitor-pcmag-2002-977c17","rob-baumgartner-planar","lcd-monitor","expert-opinion","2002","LCD response-time improving with vendor effort","There are still issues with watching movies or video clips on the Internet, but response time is getting better and better","high","ingest-extraction","vendor-commentary","p1","Planar Systems product manager",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-010","death-of-crt-monitor-pcmag-2002-977c17","stephanie-lenway-umn","lcd-monitor","viability-prediction","2006","LCDs to outnumber CRTs 5:1 by 2006","By 2006, LCDs will outnumber CRTs by 5 to 1.","verified","outcome-linkage","academic-forecast","p1","UMN Carlson professor prediction",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-011","death-of-crt-monitor-pcmag-2002-977c17","","lcd-monitor","actual-outcome","2003","LCD shipments first exceeded CRT 2003 globally per DisplaySearch","2003 was the first year LCD monitor shipments exceeded CRT monitor shipments per DisplaySearch/iSuppli tracking","verified","web-source","historical-record","p1","Validates Kastner/Alexander 2003 prediction",""
"death-of-crt-monitor-pcmag-2002-977c17-OBS-012","death-of-crt-monitor-pcmag-2002-977c17","","crt-monitor","actual-outcome","2010","CRT fully phased out of mainstream PC monitors","Major CRT monitor manufacturers exited by 2008; last Sony CRT TV production ended 2008; CRT PC monitors essentially unavailable in retail by 2010","verified","web-source","historical-record","p1","Validates Kastner/Alexander CRT obsolescence",""
