"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002) -> Spiceworks Ziff Davis","1988-present","great-rebate-debate-smartmoney-grant-80650c","Boston-based; Kastner's attribution 2006 (post-Vericours 2005 era)"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1960s-present","great-rebate-debate-smartmoney-grant-80650c","Aberdeen analyst per 2006 SmartMoney attribution"
"smartmoney-magazine","SmartMoney (Dow Jones/Hearst joint venture)","publication","personal-finance-magazine","dissolved","Discontinued 2012 (merged into WSJ personal-finance)","1992-2012","great-rebate-debate-smartmoney-grant-80650c","Dow Jones & Company + Hearst joint venture; print ceased Sep 2012; domain redirected to WSJ"
"kelli-b-grant-journalist","Kelli B. Grant","person","journalist","active","","2000s-present","great-rebate-debate-smartmoney-grant-80650c","SmartMoney consumer reporter; later CNBC personal finance"
"dow-jones-company","Dow Jones & Company","company","publishing","acquired","News Corp (2007)","1882-present","great-rebate-debate-smartmoney-grant-80650c","SmartMoney parent (with Hearst)"
"hearst-corp","Hearst Corporation","company","publishing","active","","1887-present","great-rebate-debate-smartmoney-grant-80650c","SmartMoney parent (with Dow Jones)"
"consumer-world","Consumer World","publication","consumer-advocacy-website","active","","1995-present","great-rebate-debate-smartmoney-grant-80650c","Edgar Dworsky's consumer-protection site"
"edgar-dworsky-consumer","Edgar Dworsky","person","consumer-advocate","active","","1990s-present","great-rebate-debate-smartmoney-grant-80650c","Consumer World founder; former Massachusetts Assistant Attorney General"
"federal-trade-commission","Federal Trade Commission","agency","US-consumer-protection","active","","1914-present","great-rebate-debate-smartmoney-grant-80650c","Rebate-enforcement agency"
"kerry-obrien-ftc","Kerry O'Brien","person","government-attorney","active","","2000s-present","great-rebate-debate-smartmoney-grant-80650c","FTC staff attorney 2006; consumer-protection enforcement"
"staples-inc","Staples, Inc.","company","office-supply-retail","active","Sycamore Partners (2017 buyout)","1986-present","great-rebate-debate-smartmoney-grant-80650c","Easy Rebates program pioneer 2005"
"best-buy","Best Buy Co., Inc.","company","consumer-electronics-retail","active","","1966-present","great-rebate-debate-smartmoney-grant-80650c","Cited as simplifying rebates"
"rite-aid","Rite Aid Corporation","company","drug-retail","active (Ch 11 2023)","","1962-present","great-rebate-debate-smartmoney-grant-80650c","Cited as simplifying rebates"
"pc-world-magazine","PC World Magazine","publication","tech-magazine","dissolved","IDG (online only since 2013)","1983-2013","great-rebate-debate-smartmoney-grant-80650c","'Rebate! Rebate!' consumer tool author"
"better-business-bureau","Better Business Bureau","institution","consumer-protection","active","","1912-present","great-rebate-debate-smartmoney-grant-80650c","Rebate-complaint venue"
"pc-magazine","PC Magazine / PCMag.com","publication","tech-magazine","active (online only since 2009)","Ziff Davis","1982-present","great-rebate-debate-smartmoney-grant-80650c","Cross-reference"
