"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","intel-quad-core-outlook-newsfactor-garre-c32252","VP and research director for enterprise technology at Aberdeen Group (2006)"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks 2002; Spiceworks-Ziff Davis 2019+","1988-2019","intel-quad-core-outlook-newsfactor-garre-c32252","Kastner's employer"
"intel-corp","Intel Corporation","company","semiconductors","active","","1968-present","intel-quad-core-outlook-newsfactor-garre-c32252","Subject of article; launching quad-core in Nov 2006"
"amd","Advanced Micro Devices","company","semiconductors","active","","1969-present","intel-quad-core-outlook-newsfactor-garre-c32252","Intel competitor; had momentum via Opteron"
"dell","Dell Inc.","company","PC-manufacturing","active","","1984-present","intel-quad-core-outlook-newsfactor-garre-c32252","Finally launched Opteron-based servers in 2006 after years of Intel-exclusivity"
"pat-gelsinger-intel","Pat Gelsinger","person","executive","active","CEO Intel 2021-present","1979-2009-Intel; VMware 2012-2021; Intel CEO 2021-present","intel-quad-core-outlook-newsfactor-garre-c32252","Intel senior VP in 2006; quote: 'In one year, we've achieved a four-fold increase in performance'"
"hewlett-packard","Hewlett-Packard","company","IT-hardware","active","split HP Inc./HPE 2015","1939-2015","intel-quad-core-outlook-newsfactor-garre-c32252","Earlier-adopter of Opteron servers"
"sun-microsystems","Sun Microsystems","company","server-hardware","acquired","acquired by Oracle 2010","1982-2010","intel-quad-core-outlook-newsfactor-garre-c32252","Earlier-adopter of Opteron servers"
"financial-times","Financial Times","firm","business-press","active","owned by Nikkei from 2015","1888-present","intel-quad-core-outlook-newsfactor-garre-c32252","Cited for Pat Gelsinger interview"
"newsfactor-network","NewsFactor Network","firm","tech-press","inactive","domain redirects [REVIEW]","1998-2010s-approx","intel-quad-core-outlook-newsfactor-garre-c32252","ECT News Network publisher"
"david-garrett-newsfactor","David Garrett","person","journalism","unknown [REVIEW]","","2000s","intel-quad-core-outlook-newsfactor-garre-c32252","NewsFactor reporter"
