"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"minicomputer-news-ase-asep-1979-2b5327-OBS-001","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","asep","expert-opinion","1979","Time-of-day rating customer benefit","Small lifestyle change enables savings; Ralph Abbott (AS&E VP) asserts users will adopt TOU","medium","expert-interview","p.1","Quoted in Minicomputer News"
"minicomputer-news-ase-asep-1979-2b5327-OBS-002","minicomputer-news-ase-asep-1979-2b5327","us-department-of-energy","time-of-day-rates","market-data","1979","DoE forecast: states using TOU rates within 5-6 years","Most U.S. states forecast to adopt TOU by 1984-1985","medium","government-forecast","p.1","Actual adoption slower but directionally correct; TOU now universal"
"minicomputer-news-ase-asep-1979-2b5327-OBS-003","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","asep","market-data","1979","ASEP experimental deployments","Utilities in ~12 states using ASEP on experimental basis in 1979","high","news-reporting","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-004","minicomputer-news-ase-asep-1979-2b5327","wisconsin-electric-power","asep","market-data","1979","WEPco ASEP water-heater control","154,000 homes under ASEP water-heater load control","high","news-reporting","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-005","minicomputer-news-ase-asep-1979-2b5327","martin-annis","asep","expert-opinion","1979","National-energy-conservation benefit","TOU reduces oil needed for generation — aids national energy conservation goal","medium","expert-interview","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-006","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","asep","expert-opinion","1979","ASEP brownout prevention capability","Can shed non-essential loads during dangerous usage spikes; only minor customer inconvenience","medium","expert-interview","p.1","Abbott quote; precursor to modern demand-response programs"
"minicomputer-news-ase-asep-1979-2b5327-OBS-007","minicomputer-news-ase-asep-1979-2b5327","florida-power-corp","time-of-day-rates","market-data","1979","Dynamic rate pilot","Florida Power Corp. to test dynamic rate system charging peak only when peak reached","high","news-reporting","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-008","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","asep","market-data","1979","ASEP deployment states","Florida, Wisconsin, Missouri, New Jersey, Minnesota, California","high","news-reporting","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-009","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","asep","market-data","1979","ASEP metering granularity","Individual meter usage checkable as often as every 30 minutes or as infrequently as monthly","high","news-reporting","p.1",""
"minicomputer-news-ase-asep-1979-2b5327-OBS-010","minicomputer-news-ase-asep-1979-2b5327","peter-s-kastner","","personal-recollection","1979","Kastner ADL employment era","Article dates to Kastner's Arthur D. Little tenure (1972-1979); likely an ADL reference piece on utility-automation minicomputer applications relevant to ADL clients","medium","archival-inference","filename","Filename token 'WEPco' suggests ADL client-engagement relevance"
"minicomputer-news-ase-asep-1979-2b5327-OBS-011","minicomputer-news-ase-asep-1979-2b5327","american-science-engineering","power-line-carrier","market-data","1979","ASEP communications medium","Two-way signaling over powerlines — communications medium already in place","high","news-reporting","p.1","Early example of BPL/PLC for utility telemetry"
"minicomputer-news-ase-asep-1979-2b5327-OBS-012","minicomputer-news-ase-asep-1979-2b5327","florida-power-and-light","asep","expert-opinion","1979","FP&L planned control applications","Residential AC/heating systems and electrical water heaters under ASEP control","high","news-reporting","p.1",""
