"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Boston-based IT industry analyst firm"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1970s-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","VP research director / chief research officer Aberdeen Group; later Adoptex"
"oracle-corp","Oracle Corporation","company","database-software","active","","1977-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Flagship database vendor; acquired Sun Microsystems 2010"
"dell-computer","Dell Computer / Dell Inc.","company","PC-manufacturing","active","Dell Technologies (2016-)","1984-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Direct-sales PC maker"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Redmond WA software company"
"red-hat","Red Hat, Inc.","company","open-source-software","acquired","IBM (2019)","1993-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Enterprise Linux vendor"
"intel-corporation","Intel Corporation","company","semiconductor","active","","1968-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Leading x86 CPU manufacturer"
"larry-ellison","Larry Ellison","person","technology-executive","active","","1977-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Oracle co-founder / CEO at time of article"
"michael-dell","Michael Dell","person","technology-executive","active","","1984-present","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Dell founder/chairman/CEO"
"larry-greenemeier","Larry Greenemeier","person","journalist","active","","","oracle-and-dell-take-aim-at-midsize-busi-770ea6","InformationWeek journalist"
"red-flag-linux","Red Flag Software","company","open-source-software","dissolved","","1999-2014","oracle-and-dell-take-aim-at-midsize-busi-770ea6","Chinese Linux distro vendor; Red Flag DC 4.0 certified on Dell PowerEdge for China partnership"
