"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"ra-bpm-2007-890201-obs-001","ra-bpm-2007-890201","","","survey-statistic","2006","Top pressure driving SOA - need to support new agile business processes","62%","high","SURVEY","1","Figure 1: 62% cite agile business processes as top pressure"
"ra-bpm-2007-890201-obs-002","ra-bpm-2007-890201","","","survey-statistic","2006","Pressure - ERP/supply chain solution does not provide desired functionality","44%","high","SURVEY","1","Figure 1: Surprising #2 finding"
"ra-bpm-2007-890201-obs-003","ra-bpm-2007-890201","","","survey-statistic","2006","Pressure - lower cost integration and application upgrades","43%","high","SURVEY","1","Figure 1"
"ra-bpm-2007-890201-obs-004","ra-bpm-2007-890201","","","survey-statistic","2006","Pressure - critical user functions in legacy systems needing composite apps","34%","high","SURVEY","1","Figure 1"
"ra-bpm-2007-890201-obs-005","ra-bpm-2007-890201","","","survey-statistic","2006","Application flexibility - can adapt quickly to most customer requirements","19%","high","SURVEY","2","Figure 2: Only 19% have desired flexibility — this is the BIC group"
"ra-bpm-2007-890201-obs-006","ra-bpm-2007-890201","","","survey-statistic","2006","Application flexibility - force manual processes to meet requirements","49%","high","SURVEY","2","Figure 2: 49% must use manual processes"
"ra-bpm-2007-890201-obs-007","ra-bpm-2007-890201","","","survey-statistic","2006","Application flexibility - force limits on service offerings","19%","high","SURVEY","2","Figure 2"
"ra-bpm-2007-890201-obs-008","ra-bpm-2007-890201","","","survey-statistic","2006","Application flexibility - offer little or no flexibility","13%","high","SURVEY","2","Figure 2"
"ra-bpm-2007-890201-obs-009","ra-bpm-2007-890201","","","market-data","2006","Aberdeen forecast - % of companies with SOA strategies by end of 2006","90%","high","SURVEY","3","Aberdeen forecasts 90% of companies had SOA strategies in place by end of 2006"
"ra-bpm-2007-890201-obs-010","ra-bpm-2007-890201","","","survey-statistic","2006","Companies with current SOA projects","40%","high","SURVEY","4","40% have current SOA projects; another 26% planning to start within next 12 months"
"ra-bpm-2007-890201-obs-011","ra-bpm-2007-890201","","","survey-statistic","2006","Companies with SOA-based solutions already in place","42%","high","SURVEY","4","42% have SOA solutions in place; another 26% budgeted to start within next 12 months"
"ra-bpm-2007-890201-obs-012","ra-bpm-2007-890201","","","survey-statistic","2006","Companies viewing technology integration capability as very important","63%","high","SURVEY","4","Figure 3: 63% say very important that technologies integrate into any critical data system"
"ra-bpm-2007-890201-obs-013","ra-bpm-2007-890201","","","survey-statistic","2006","Companies using spreadsheets for critical business process functions","63%","high","SURVEY","4","Two-thirds use spreadsheets; 35% use legacy mainframe for critical processes"
"ra-bpm-2007-890201-obs-014","ra-bpm-2007-890201","","","survey-statistic","2006","Companies using legacy mainframe for critical business process functions","35%","high","SURVEY","4","~35-34% use legacy mainframe"
"ra-bpm-2007-890201-obs-015","ra-bpm-2007-890201","","bpm-tools","survey-statistic","2006","BPM tools investment - all companies","57%","high","SURVEY","5","Figure 4: Top infrastructure middleware investment"
"ra-bpm-2007-890201-obs-016","ra-bpm-2007-890201","","bam-monitoring","survey-statistic","2006","BI/business performance monitoring tools investment - all companies","55%","high","SURVEY","5","Figure 4: Second highest investment category"
"ra-bpm-2007-890201-obs-017","ra-bpm-2007-890201","","esb-soa-middleware","survey-statistic","2006","ESB and SOA middleware investment - all companies","45%","high","SURVEY","5","Figure 4"
