"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-001","remarks-of-peter-kastner-to-the-massachu-96335b","peter-s-kastner","","personal-recollection","2003","MA high-tech 2002 job losses","15,000 jobs lost in Massachusetts high-tech in 2002 — 5.7% of the high-tech job base — with many at the high-income white collar, middle manager, and executive level.","high","ingest-extraction","industry-analysis","p1","Regional economic assessment",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-002","remarks-of-peter-kastner-to-the-massachu-96335b","peter-s-kastner","","expert-opinion","2003","No 90-day turnaround","Based on the duration, breadth and severity of this recession, there will be no 90 day turnaround that gets us back to what we had been two or three years ago.","high","ingest-extraction","expert-opinion","p1","Recession prognosis",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-003","remarks-of-peter-kastner-to-the-massachu-96335b","aberdeen-group","it-spending-forecast","viability-prediction","2003","2003 IT spending forecast","Aberdeen Group is predicting a global expansion in information technology spending in the 3%-4% range — back-end loaded in 2003 due to Q1 concerns about the economy and war.","verified","outcome-linkage","industry-analysis","p1","Aberdeen IT spending forecast",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-004","remarks-of-peter-kastner-to-the-massachu-96335b","peter-s-kastner","","viability-prediction","2004","2004 MA startup wave","I expect 2004 to be a banner year for new and innovative products from companies now building ideas and prototypes in Massachusetts garages. Preferably, heated garages.","high","ingest-extraction","expert-opinion","p1","MA startup forecast",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-005","remarks-of-peter-kastner-to-the-massachu-96335b","peter-s-kastner","","viability-prediction","2003","VC closed to new ventures","The funding for these new companies will come from angels, friends, and family, since the traditional VC sources of funds is largely closed out for new ventures at this time.","high","ingest-extraction","expert-opinion","p1","VC market condition; proved accurate for 2003-2004 seed market",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-006","remarks-of-peter-kastner-to-the-massachu-96335b","rational-software","","market-data","2003","IBM-Rational cash payout","IBM acquisition of Rational Software resulting in cash payouts of $2.1 billion.","high","ingest-extraction","press-release","p1","IBM acquirer; Rational target; $2.1B cash",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-007","remarks-of-peter-kastner-to-the-massachu-96335b","genuity","","market-data","2003","Level 3-Genuity deal","Genuity of Woburn was acquired by Level 3 Communications with the loss of 800 jobs.","high","ingest-extraction","industry-analysis","p1","Level 3 acquirer; Genuity target; 800 jobs lost",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-008","remarks-of-peter-kastner-to-the-massachu-96335b","precise-software","","market-data","2003","Veritas-Precise acquisition","Precise Software was purchased by Veritas.","high","ingest-extraction","press-release","p1","Veritas acquirer; Precise target",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-009","remarks-of-peter-kastner-to-the-massachu-96335b","intel-corporation","intel-xscale","viability-prediction","2003","Intel xScale in Hudson","Intel is building a whole new multi-billion dollar xScale business around the ARM-architecture microprocessors manufactured in the old Digital Equipment plant in Hudson.","refuted","outcome-linkage","industry-analysis","p1","Intel MA strategic investment",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-010","remarks-of-peter-kastner-to-the-massachu-96335b","peter-s-kastner","","personal-recollection","2003","Root canal metaphor","All in all, 2002 was like a root canal — best forgotten as soon as possible. Yet in spite of these difficult changes to the Massachusetts high-tech situation, all is not doom and gloom.","high","ingest-extraction","personal-opinion","p1","Characteristic Kastner wry framing",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-011","remarks-of-peter-kastner-to-the-massachu-96335b","","it-spending-forecast","actual-outcome","2003","IT spending outcome 2003","Global IT spending grew roughly 3-4% in 2003 (Gartner reported ~4%; IDC ~3%), matching Aberdeen/Kastner forecast.","verified","web-source","industry-consensus","backfill","Backfill",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-012","remarks-of-peter-kastner-to-the-massachu-96335b","","","actual-outcome","2004","MA startup wave 2004","2004 did see elevated MA startup formation — especially in biotech (life sciences cluster), Web 2.0 (early social / consumer internet), and infrastructure software — validating the forecast.","verified","web-source","industry-consensus","backfill","Backfill",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-013","remarks-of-peter-kastner-to-the-massachu-96335b","intel-corporation","intel-xscale","actual-outcome","2006","Intel xScale divested","Intel sold the XScale ARM processor business to Marvell Technology in June 2006 for $600M, abandoning the ARM strategy Kastner had highlighted. Intel remained committed to x86; Hudson fab continued x86 production.","refuted","ingest-extraction","industry-consensus","backfill","Kastner xScale prediction refuted; Intel reversed strategy",""
"remarks-of-peter-kastner-to-the-massachu-96335b-OBS-014","remarks-of-peter-kastner-to-the-massachu-96335b","rational-software","","actual-outcome","2003","IBM-Rational closed","IBM-Rational acquisition closed February 21, 2003 for $2.1B in cash — consistent with Kastner remarks.","verified","web-source","press-release","backfill","Backfill; IBM acquirer",""
